Actor/EditorSuffix/GuideVisualQuadSplat,(Deprecated)=0
Actor/Name/GenericUnitBaseNoAutoSoundLinks,GenericUnitBaseNoAutoSoundLinks=190
Actor/Name/GenericUnitCritter,Generic Unit Critter=191
Actor/Name/GenericUnitEmpty,GenericUnitEmpty=192
Actor/Name/GenericUnitFallback,Generic Unit Fallback=193
Actor/Name/GenericUnitMinimal,GenericUnitMinimal=194
Actor/Name/GenericUnitMorph,GenericUnitMorph=195
Actor/Name/GenericUnitSelectable,GenericUnitSelectable=196
Actor/Name/GenericUnitSelectableNoAutoSoundLinks,GenericUnitSelectableNoAutoSoundLinks=197
Actor/Name/GenericUnitSplat,GenericUnitSplat=198
Actor/Name/GenericUnitSplatBase,GenericUnitSplatBase=199
Actor/Name/GenericUnitStandard,GenericUnitStandard=200
Actor/Name/GenericUnitStandardNoAutoSoundLinks,GenericUnitStandardNoAutoSoundLinks=201
Actor/Name/GlobalLoopMacro,GlobalLoopMacro=202
Actor/Name/GlobalLoopMacroMore,Global Loop Macro More=203
Actor/Name/GlobalLoopMacroMoreRemove,Global Loop Macro More Remove=204
Actor/Name/GlobalLoopMacroRemove,Global Loop Macro Remove=205
Actor/Name/GroundLocalFlashingSelection,Ground Local Flashing Selection=206
Actor/Name/GroundLocalSelection,GroundLocalSelection=207
Actor/Name/GroundPreSelection,GroundPreSelection=208
Actor/Name/GroundShadow,GroundShadow=209
Actor/Name/GroundSyncFlashingSelection,Ground Sync Flashing Selection=210
Actor/Name/GroundSyncSelection,GroundSyncSelection=211
Actor/Name/GuideRegion,Guide Region=212
Actor/Name/GuideRegionAdd,Guide Region Add=213
Actor/Name/GuideRegionArc,Guide Region Arc=214
Actor/Name/GuideRegionCircle,Guide Region Circle=215
Actor/Name/GuideRegionClosest,Guide Region Closest=216
Actor/Name/GuideRegionNormal,Guide Region Normal=217
Actor/Name/GuideRegionQuadDown,Guide Region Quad Down=218
Actor/Name/GuideRegionQuadDownClosest,Guide Region Quad Down Closest=219
Actor/Name/GuideRegionQuadDownDetached,Guide Region Quad Down Detached=220
Actor/Name/GuideRegionQuadDownScaled,Guide Region Quad Down Scaled=221
Actor/Name/GuideRegionQuadDownScaledClosest,Guide Region Quad Down Scaled Closest=222
Actor/Name/GuideRegionQuadPerpendicular,Guide Region Quad Perpendicular=223
Actor/Name/GuideRegionRemove,Guide Region Remove=224
Actor/Name/GuideRegionScaled,Guide Region Scaled=225
Actor/Name/GuideRegionScaledClosest,Guide Region Scaled Closest=226
Actor/Name/GuideVisualArc,Guide Visual Arc=227
Actor/Name/GuideVisualCircle,Guide Visual Circle=228
Actor/Name/GuideVisualQuad,Guide Visual Quad=229
Actor/Name/GuideVisualQuadCenter,Guide Visual Quad Center=230
Actor/Name/GuideVisualQuadDown,Guide Visual Quad Down=231
Actor/Name/GuideVisualQuadDownClosest,Guide Visual Quad Down Closest=232
Actor/Name/GuideVisualQuadDownDetached,Guide Visual Quad Down Detached=233
Actor/Name/GuideVisualQuadDownScaled,Guide Visual Quad Down Scaled=234
Actor/Name/GuideVisualQuadDownScaledClosest,Guide Visual Quad Down Scaled Closest=235
Actor/Name/GuideVisualQuadImpact,Guide Visual Quad Impact=236
Actor/Name/GuideVisualQuadLaunch,Guide Visual Quad Launch=237
Actor/Name/GuideVisualQuadModel,Guide Visual Quad Model=238
Actor/Name/GuideVisualQuadPerpendicular,Guide Visual Quad Perpendicular=239
Actor/Name/GuideVisualQuadSplat,GuideVisualQuadSplat=240
Actor/Name/GuideVisualQuadSplatCenter,GuideVisualQuadSplatCenter=241
Actor/Name/GuideVisualQuadSplatDown,GuideVisualQuadSplatDown=242
Actor/Name/GuideVisualQuadSplatDownClosest,GuideVisualQuadSplatDownClosest=243
Actor/Name/GuideVisualQuadSplatDownDetached,GuideVisualQuadSplatDownDetached=244
Actor/Name/GuideVisualQuadSplatDownScaled,GuideVisualQuadSplatDownScaled=245
Actor/Name/GuideVisualQuadSplatDownScaledClosest,GuideVisualQuadSplatDownScaledClosest=246
Actor/Name/GuideVisualQuadSplatImpact,GuideVisualQuadSplatImpact=247
Actor/Name/GuideVisualQuadSplatLaunch,GuideVisualQuadSplatLaunch=248
Actor/Name/GuideVisualQuadSplatModel,GuideVisualQuadSplatModel=249
Actor/Name/GuideVisualQuadSplatPerpendicular,GuideVisualQuadSplatPerpendicular=250
Actor/Name/HerdSound,Herd Sound=251
Actor/Name/Indicator,Indicator=252
Actor/Name/IndicatorBase,IndicatorBase=253
Actor/Name/IndicatorBlack,IndicatorBlack=254
Actor/Name/IndicatorBlue,IndicatorBlue=255
Actor/Name/IndicatorGreen,IndicatorGreen=256
Actor/Name/IndicatorMissilePhaseChange,Indicator Missile Phase Change=257
Actor/Name/IndicatorRed,IndicatorRed=258
Actor/Name/IndicatorSticky,IndicatorSticky=259
Actor/Name/LightOmni,Light Omni=260
Actor/Name/LightOmniBlue,Light Omni Blue=261
Actor/Name/LightOmniBlueLarge,Light Omni Blue Large=262
Actor/Name/LightOmniCyan,Light Omni Cyan=263
Actor/Name/LightOmniCyanLarge,Light Omni Cyan Large=264
Actor/Name/LightOmniGreen,Light Omni Green=265
Actor/Name/LightOmniGreenLarge,Light Omni Green Large=266
Actor/Name/LightOmniOrange,Light Omni Orange=267
Actor/Name/LightOmniOrangeLarge,Light Omni Orange Large=268
Actor/Name/LightOmniPurple,Light Omni Purple=269
Actor/Name/LightOmniPurpleLarge,Light Omni Purple Large=270
Actor/Name/LightOmniRed,Light Omni Red=271
Actor/Name/LightOmniRedLarge,Light Omni Red Large=272
Actor/Name/LightOmniWhite,Light Omni White=273
Actor/Name/LightOmniWhiteLarge,Light Omni White Large=274
Actor/Name/LightOmniYellow,Light Omni Yellow=275
Actor/Name/LightOmniYellowLarge,Light Omni Yellow Large=276
Actor/Name/LightSpot,Light Spot=277
Actor/Name/List,List=278
Actor/Name/ListTinter,ListTinter=279
Actor/Name/LocalFlashingSelection,LocalFlashingSelection=280
Actor/Name/LocalSelection,LocalSelection=281
Actor/Name/LookAt,Look At=282
Actor/Name/LookAtTarget,Look At Target=283
Actor/Name/MapTemplate,Map Template=284
Actor/Name/MeleeAttackDeathImpulse,Melee Attack Death Impulse=285
Actor/Name/MeleeAttackForce,Melee Attack Force=286
Actor/Name/MeleePhysicRandomizer,Melee Physic Randomizer=287
Actor/Name/MissileAttackDeathForce,Missile Attack Death Force=288
Actor/Name/MissileAttackDeathImpulse,Missile Attack Death Impulse=289
Actor/Name/Model,Model=290
Actor/Name/ModelAddition,ModelAddition=291
Actor/Name/ModelAdditionHarness,Model Addition Harness=292
Actor/Name/ModelAdditionNoAnims,Model Addition No Anims=293
Actor/Name/ModelAdditionStatic,ModelAdditionStatic=294
Actor/Name/ModelAnimationStyleContinuous,ModelAnimationStyleContinuous=295
Actor/Name/ModelAnimationStyleContinuousUNIT,Model Animation Style Continuous Unit=296
Actor/Name/ModelAnimationStyleOneShot,ModelAnimationStyleOneShot=297
Actor/Name/ModelAnimationStyleOneShotNoOrphan,ModelAnimationStyleOneShotNoOrphan=298
Actor/Name/ModelAnimationStyleOneShotUNIT,Model Animation Style One Shot Unit=299
Actor/Name/ModelConstruction,Model Construction=300
Actor/Name/ModelHosted,ModelHosted=301
Actor/Name/ModelHostedInheritVisibility,ModelHostedInheritVisibility=302
Actor/Name/ModelNoAnims,ModelNoAnims=303
Actor/Name/ModelOneShot,ModelOneShot=304
Actor/Name/ModelPlaceholder,ModelPlaceholder=305
Actor/Name/ModelPretarget,ModelPretarget=306
Actor/Name/ModelPretargetAir,ModelPretargetAir=307
Actor/Name/ModelPretargetGround,ModelPretargetGround=308
Actor/Name/ModelRagdoll,Model Ragdoll=309
Actor/Name/NanniteCreationMacro,Nannite Creation Macro=310
Actor/Name/PathingBlocker,Pathing Blocker=311
Actor/Name/PhysicsImpactHarness,Physics Impact Harness=312
Actor/Name/PhysicsImpactSound,Physics Impact Sound=313
Actor/Name/PhysicsWaterBloodSlickHarness,Physics Water Blood Slick Harness=314
Actor/Name/PlaceholderBase,PlaceholderBase=315
Actor/Name/PlaceholderModel,Placeholder Model=316
Actor/Name/PlacementModel,Placement Model=317
Actor/Name/PlacementSound,Placement Sound=318
Actor/Name/PointBlockPathing,PointBlockPathing=319
Actor/Name/PointBlockPathingEditor,PointBlockPathingEditor=320
Actor/Name/PointBlockPathingName,PointBlockPathingName=321
Actor/Name/PointBlockPathingNameSite,PointBlockPathingNameSite=322
Actor/Name/PointNoFlyZone,Point No Fly Zone=323
Actor/Name/PointNoFlyZoneEditor,Point No Fly Zone Editor=324
Actor/Name/PointNoFlyZoneName,Point No Fly Zone Name=325
Actor/Name/PointNormal,PointNormal=326
Actor/Name/PointNormalEditor,PointNormalEditor=327
Actor/Name/PointNormalName,PointNormalName=328
Actor/Name/PointNormalNameSite,PointNormalNameSite=329
Actor/Name/PointSoundEmitter,PointSoundEmitter=330
Actor/Name/PointSoundEmitterEditor,PointSoundEmitterEditor=331
Actor/Name/PointSoundEmitterName,PointSoundEmitterName=332
Actor/Name/PointSoundEmitterNameSite,PointSoundEmitterNameSite=333
Actor/Name/PointSoundEmitterRange,Point Sound Emitter Range=334
Actor/Name/PointStartLoc,PointStartLoc=335
Actor/Name/PointStartLocEditor,PointStartLocEditor=336
Actor/Name/PointStartLocName,PointStartLocName=337
Actor/Name/PointStartLocNameSite,PointStartLocNameSite=338
Actor/Name/PointStartLocUnit,PointStartLocUnit=339
Actor/Name/PointStartLocUnitSite,PointStartLocUnitSite=340
Actor/Name/PointThreeD,PointThreeD=341
Actor/Name/PointThreeDEditor,PointThreeDEditor=342
Actor/Name/PointThreeDName,PointThreeDName=343
Actor/Name/PointThreeDNameSite,PointThreeDNameSite=344
Actor/Name/PortraitActor,Portrait Actor=345
Actor/Name/PowerVisual,PowerVisual=346
Actor/Name/PreSelection,PreSelection=347
Actor/Name/PreservedDoodad,Preserved Doodad=348
Actor/Name/PreviewerCamera,Previewer Camera=349
Actor/Name/PreviewerModel,PreviewerModel=350
Actor/Name/PreviewerSound,Previewer Sound=351
Actor/Name/PreviewerText,Previewer Text=352
Actor/Name/ProgressSound,ProgressSound=353
Actor/Name/PropertyCurveSet,Property Curve Set=354
Actor/Name/RangeAbil,Range Abil=355
Actor/Name/RangeAbilHover,RangeAbilHover=356
Actor/Name/RangeBehavior,Range Behavior=357
Actor/Name/RangeSight,Range Sight=358
Actor/Name/RangeWeapon,Range Weapon=359
Actor/Name/RangedAttackDeathForce,Ranged Attack Death Force=360
Actor/Name/RangedAttackDeathImpulse,Ranged Attack Death Impulse=361
Actor/Name/RemoveFlyerHelperMacro,Remove Flyer Helper Macro=362
Actor/Name/SOp180,SOp180=363
Actor/Name/SOp270,SOp270=364
Actor/Name/SOp2DRotation,SOp2DRotation=365
Actor/Name/SOp90,SOp90=366
Actor/Name/SOpActionCenter,SOpActionCenter=367
Actor/Name/SOpActionImpact,SOpActionImpact=368
Actor/Name/SOpActionLaunch,SOpActionLaunch=369
Actor/Name/SOpAttachCenter,SOpAttachCenter=370
Actor/Name/SOpAttachCenterSoft,SOpAttachCenterSoft=371
Actor/Name/SOpAttachCenterStationary,SOpAttachCenterStationary=372
Actor/Name/SOpAttachCustomA,SOpAttachCustomA=373
Actor/Name/SOpAttachDamage,SOp Attach Damage=374
Actor/Name/SOpAttachHardPoint,SOpAttachHardPoint=375
Actor/Name/SOpAttachHardPoint01,SOpAttachHardPoint01=376
Actor/Name/SOpAttachHardPoint02,SOpAttachHardPoint02=377
Actor/Name/SOpAttachHardPoint03,SOpAttachHardPoint03=378
Actor/Name/SOpAttachHardPoint04,SOpAttachHardPoint04=379
Actor/Name/SOpAttachHarness,SOpAttachHarness=380
Actor/Name/SOpAttachHarnessSoft,SOpAttachHarnessSoft=381
Actor/Name/SOpAttachHarnessStationary,SOpAttachHarnessStationary=382
Actor/Name/SOpAttachHead,SOpAttachHead=383
Actor/Name/SOpAttachHeadSound,SOpAttachHeadSound=384
Actor/Name/SOpAttachInternalDetonation,SOp Attach Internal Detonation=385
Actor/Name/SOpAttachOrigin,SOpAttachOrigin=386
Actor/Name/SOpAttachOriginHoldPosition,SOpAttachOriginHoldPosition=387
Actor/Name/SOpAttachOriginStationary,SOpAttachOriginStationary=388
Actor/Name/SOpAttachOverhead,SOpAttachOverhead=389
Actor/Name/SOpAttachRandomDamage,SOpAttachRandomDamage=390
Actor/Name/SOpAttachRandomWeapon,SOpAttachRandomWeapon=391
Actor/Name/SOpAttachRollingWeaponStripe,SOpAttachRollingWeaponStripe=392
Actor/Name/SOpAttachShield,SOpAttachShield=393
Actor/Name/SOpAttachTarget,SOpAttachTarget=394
Actor/Name/SOpAttachTarget1,SOpAttachTarget1=395
Actor/Name/SOpAttachTarget2,SOpAttachTarget2=396
Actor/Name/SOpAttachTarget3,SOpAttachTarget3=397
Actor/Name/SOpAttachTarget4,SOpAttachTarget4=398
Actor/Name/SOpAttachTargetSoft,SOp Attach Target Soft=399
Actor/Name/SOpAttachTurret,SOpAttachTurret=400
Actor/Name/SOpAttachVolumeNoVizEnhance,SOpAttachVolumeNoVizEnhance=401
Actor/Name/SOpAttachVolumeStandard,SOpAttachVolumeStandard=402
Actor/Name/SOpAttachWeapon,SOpAttachWeapon=403
Actor/Name/SOpAttachWeapon00,SOpAttachWeapon00=404
Actor/Name/SOpAttachWeapon01,SOpAttachWeapon01=405
Actor/Name/SOpAttachWeapon01Soft,SOpAttachWeapon01Soft=406
Actor/Name/SOpAttachWeapon02,SOpAttachWeapon02=407
Actor/Name/SOpAttachWeapon03,SOpAttachWeapon03=408
Actor/Name/SOpAttachWeapon04,SOpAttachWeapon04=409
Actor/Name/SOpAttachWeapon05,SOpAttachWeapon05=410
Actor/Name/SOpAttachWeapon06,SOpAttachWeapon06=411
Actor/Name/SOpAttachWeapon07,SOpAttachWeapon07=412
Actor/Name/SOpAttachWeapon08,SOpAttachWeapon08=413
Actor/Name/SOpAttachWeapon09,SOpAttachWeapon09=414
Actor/Name/SOpAttachWeapon10,SOpAttachWeapon10=415
Actor/Name/SOpAttachWeapon11,SOpAttachWeapon11=416
Actor/Name/SOpAttachWeapon12,SOpAttachWeapon12=417
Actor/Name/SOpAttachWeapon14,SOpAttachWeapon14=418
Actor/Name/SOpAttachWeapon21,SOpAttachWeapon21=419
Actor/Name/SOpAttachWeapon24,SOpAttachWeapon24=420
Actor/Name/SOpAttachWeaponLeft,SOpAttachWeaponLeft=421
Actor/Name/SOpAttachWeaponRight,SOpAttachWeaponRight=422
Actor/Name/SOpAttachWeaponSoft,SOp Attach Weapon Soft=423
Actor/Name/SOpBanker,SOpBanker=424
Actor/Name/SOpBankerBuilding,SOpBankerBuilding=425
Actor/Name/SOpBankerUnit,SOpBankerUnit=426
Actor/Name/SOpBankerUnitBuilding,SOpBankerUnitBuilding=427
Actor/Name/SOpBasicActorPositionFollow,SOpBasicActorPositionFollow=428
Actor/Name/SOpBasicCreatorFollow,SOpBasicCreatorFollow=429
Actor/Name/SOpBasicCreatorPositionFollow,SOpBasicCreatorPositionFollow=430
Actor/Name/SOpBasicCreatorStationary,SOpBasicCreatorStationary=431
Actor/Name/SOpBasicInitialBearings,SOpBasicInitialBearings=432
Actor/Name/SOpBasicScopeFollow,SOpBasicScopeFollow=433
Actor/Name/SOpBasicScopePositionFollowHoldRotation,SOpBasicScopePositionFollowHoldRotation=434
Actor/Name/SOpBasicScopeStationary,SOpBasicScopeStationary=435
Actor/Name/SOpCasterPoint,SOpCasterPoint=436
Actor/Name/SOpCasterUnitZ,SOpCasterUnitZ=437
Actor/Name/SOpDeathMotionFlier,SOpDeathMotionFlier=438
Actor/Name/SOpDeathMotionGround,SOpDeathMotionGround=439
Actor/Name/SOpForwardCasterCenter,SOpForwardCasterCenter=440
Actor/Name/SOpForwardCasterCenterInverted,SOp Forward Caster Center Inverted=441
Actor/Name/SOpForwardCasterPoint,SOpForwardCasterPoint=442
Actor/Name/SOpForwardCasterPointInverted,SOpForwardCasterPointInverted=443
Actor/Name/SOpForwardDefault,SOpForwardDefault=444
