AUTHENTICATION_BETA_REGION,Beta=0
ActorDebug/AnimHookSetBadActor,以名稱%1參照的行動者不存在。=123
ActorDebug/AnimHookSetEmptyName,無法設定沒有連結名稱的動畫連結。=124
ActorDebug/AnimLoadFailure,模型%1；無法將動畫載至模型%2。=125
ActorDebug/AnimNameInvalid,%1訊息：找不到動畫名稱%2。=126
ActorDebug/AnimPlayRequiresName,播放動畫時必須分配一個有效的動畫名稱。訊息：%1。=127
ActorDebug/AnimTimeScaleInvalid,%1訊息：找不到標為%2的動畫時間比例。=128
ActorDebug/AttachInitFailureOwnerNotModel,初始化失敗，因為動作者並非為預設動作者：%1=129
ActorDebug/AttachMessageCannotSetSiteOps,訊息無法設定指定的部位運算。問題：%1。=130
ActorDebug/AttachMessageMustCreateCActorModelOrSubclass,訊息創建了一個預設動作者，該動作者並非預設動作者模型。問題：%1。=131
ActorDebug/AttachMessageRequiresMethods,訊息必須要有附加方法，這樣才知道要如何附加指定模型和/或動作者問題：%1。=132
ActorDebug/AttachMethodPatternAttachOverflow,AttachMethodPattern；太多附加點導致無法追蹤，正在忽視一部分。=133
ActorDebug/AttachMethodProximityAttachOverflow,AttachMethodProximity；太多附加點導致無法排序，正在忽視一部分。=134
ActorDebug/AttachPropertiesMismatch,ModelLink[%1]模型%2；偵測到附加點%3的屬性不存在。=135
ActorDebug/AttachQueryFailure,依附查詢失敗。請求者%1。查詢%2。=136
ActorDebug/BaseModelScaleRequiresScale,在繼承比例支援的情況下，繼承基礎模型比例。=137
ActorDebug/BaselineNoOutroIntroStacking,無法同時有性質群組為[%1]的「行走-尾段」（Walk Outro）和「站立-開場」（Stand Intro）=138
ActorDebug/BaselineStandIntroTurnMismatch,沒有性質群組為[%1]的「站立-開始-左邊」（Stand,Start,Left）和「站立-開始-右邊」（Stand,Start,Right）的完整動畫集=139
ActorDebug/BaselineStandIntroTurnsMissing,如果模型為「站立-開始」（Stand,Start）的動畫，以及擁有性質群組為[%1]「站立-左邊」（Stand,Left）和「站立-右邊」（Stand,Right）的動畫，則其必須同時擁有該群組的「站立-開始-左邊」（Stand,Start,Left）和「站立-開始-右邊」（Stand,Start,Right）的動畫。比方說一個單位在跟隨另一個單位時，該單位可以在進入「站立」（Stand）動畫時轉向。當它靠近時便開始進行站立，不過需轉向以持續面向其所跟隨的單位。=140
ActorDebug/BaselineStandTurnMismatch,沒有性質群組為[%1]的「站立-左邊」（Stand,Left）和「站立-右邊」（Stand,Right）的完整動畫集=141
ActorDebug/BaselineStartCannotLoop,無法將動畫[%1]標為循環。=142
ActorDebug/BaselineWalkIntroTurnMismatch,沒有性質群組為[%1]的「行走-開始-左邊」和「行走-開始-右邊」的完整動畫集=143
ActorDebug/BaselineWalkIntroTurnsMissing,如果模型為「行走-開始」（Walk,Start）的動畫，以及擁有性質群組為[%1]「行走-左邊」（Walk,Left）和「行走-右邊」（Walk,Right）的動畫，則其必須同時擁有該群組的「行走-開始-左邊」（Walk,Start,Left）和「行走-開始-右邊」（Walk,Start,Right）的動畫。單位可以在進行「行走」（Walk）動畫時轉向，若沒有其他的「行走-開始-左邊/右邊」（Walk Start Left/Right）的動畫時，則會中斷單位的「行走-開始」（Walk Start）動畫。=144
ActorDebug/BaselineWalkTurnMismatch,沒有性質群組為[%1]的「行走-左邊」和「行走-右邊」的完整動畫集=145
ActorDebug/BearingsInfiniteLoop,藉由%2把方位改成%1時，偵測到方位更新循環。進行註銷以免進入無限迴圈。=146
ActorDebug/BearingsInfiniteLoopStart,在滲透或次滲透開始時導入方位至此動作者將偵測方位更新循環。=147
ActorDebug/BearingsMsgFailedHardAttach,%1訊息無效，因為此動作者是硬附加至另一個動作者，而硬附加擁有比任何位置或旋轉修改還要高的優先權。=148
ActorDebug/BearingsMsgFailedSiteOpChain,%1訊息無效，因為此動作者的部位運算鏈發生錯誤。=149
ActorDebug/BodySquibModelInvalid,主體爆破指定的模型%1無效。=150
ActorDebug/BodySquibSoundInvalid,主體爆破%2的指定音效%1無效。=151
ActorDebug/BoundingSphereSizeZero,尺寸為0的框界球。=152
ActorDebug/CActorForceConfiguredToApplyNoForce,無效的設定；此動作者的持續時間和力度皆為0，所以在遊戲環境中不會有任何效果。=153
ActorDebug/CActorRefDoesNotExist,「預設動作者參照」[%1] 不存在=154
ActorDebug/CModelSetNull,嘗試設定「預設模型」[%1]時得到 NULL 模型。=155
ActorDebug/CanOnlyHaveOneCActorCreep,同一時間只能有一個即時的「預設動作者蟲苔」。=156
ActorDebug/CanOnlyHaveOneCActorScene,每個場景只能有一個即時的「預設動作者場景」。此為系統動作者，不應從資料中創建。=157
ActorDebug/CanOnlyHaveOneCActorTerrain,同一時間只能有一個即時的「預設動作者地形」。=158
ActorDebug/CanOnlyHaveShieldFullWithNoSiteOpAttachVolume,若未在相關的「衝擊」或「傷害」部位運算指定「預設動作者部位運算的附加物體積」，則「預設動作者動作 」僅可支援的護盾閃光類型為'全滿'或'無'。=159
ActorDebug/CanOnlyHostCActorForceOffCActorModels,只能使局部動力脫離「預設動作者模型」，因為需要模型去驅動才能有任何效果。=160
ActorDebug/CanOnlyHostCActorImpulseOffCActorModels,只能使區域推進力脫離「預設動作者模型」，因為推進力需要模型去驅動才能有任何效果。=161
ActorDebug/CannotAcquireImpactSource,無法從此行動者找到主動作者衝擊來源。=162
ActorDebug/CannotAcquireReceiverCActorModel,物理動作者無法找到套用其局部動力或推進力的接受方預設動作者模型。=163
ActorDebug/CannotAddFileAlias,無法添加欄位%2，檔案路徑%3的檔案別名%1。=164
ActorDebug/CannotAddSiteOps,無法於主動作者%1添加部位運算。=165
ActorDebug/CannotBeSaveLoadSuppressed,無法標為SaveLoadSuppressed。=166
ActorDebug/CannotClearBaseline,無法清除基準線。=167
ActorDebug/CannotClearClonedProp,無法清除被複製的屬性或屬性項目。清除位於高階層且被過濾複製的客戶端設定值。=168
ActorDebug/CannotClearInternalProp,無法清除此系統內部建立或使用的性質。=169
ActorDebug/CannotClearMissingLabel,無法找到含標籤[%1]的屬性或屬性項目。=170
ActorDebug/CannotClearMissingProp,無法清除屬性類型%1。該屬性並不存在。=171
ActorDebug/CannotClearPropGeneric,不明錯誤，清除屬性%1。=172
ActorDebug/CannotClearPropMissingExternals,沒有使用者設定的%1類型屬性可清除。=173
ActorDebug/CannotCopyActor,無法複製動作者。問題：%1。=174
ActorDebug/CannotCreateActor,除非請求者是由一個效果所創建，否則無法在請求者以外的範圍創建動作者。請求者：%1=175
ActorDebug/CannotCreateActorBadLink,無法創建動作者目錄項目為%1的動作者。=176
ActorDebug/CannotCreateActorForAttach,無法為附加物創建動作者。問題：%1。=177
ActorDebug/CannotCreateActorSiteOpWithCreateMsg,無法直接以「創建」訊息這個動作者來建立部位運算，因為部位運算必須存在於部位運算鍊的環境中。問題：%1。=178
ActorDebug/CannotCreateActorUnitWithoutUnit,無法在底層Cunit的CActorScope外創建一個CActorUnit。試著在現有單位的CActorScope內創建動作者，或是創建一個CActorModel。=179
ActorDebug/CannotCreateCBeamAsync,無法創建「預設非同步光束」[%1]。=180
ActorDebug/CannotCreateFromSystemActor,無法從系統動作者參照中創建。請求者：%1=181
ActorDebug/CannotCreateSnapshot,無法創建「預設動作者擷圖」[%1]。=182
ActorDebug/CannotFindCreepHeightClass,無法在此動作者或其父項中找到蟲苔高度級別[%1]，需要用此高度級別來使用隱含蟲苔吞沒高度和偏移。=183
ActorDebug/CannotFindCreepMaterial,找不到蟲苔材料！遺失素材嗎？=184
ActorDebug/CannotFindEffect,=185
ActorDebug/CannotFindMatchingTexture,%1 %2；無法從欄位%4中找到相符欄位%3的材質。=186
ActorDebug/CannotFindNonzeroShieldRadius,無法在含模型%2的%1上找到護盾半徑>0。=187
ActorDebug/CannotFindShieldImpact,無法在內含範圍中找到一個CActorShieldImpact的動作者。=188
ActorDebug/CannotFindSlot,無法找到欄位%1。=189
ActorDebug/CannotFindSlotMapping,%1;沒有與欄位%2相對應的貼圖。=190
ActorDebug/CannotFindSourceTexture,%1 %2；無法找到欄位%3的來源材質。=191
ActorDebug/CannotFindTextureByFileAlias,%1 %2；無法找到檔案別名%3的材質。=192
ActorDebug/CannotFindTextureById,%1 %2；無法找到%3ID的材質。=193
ActorDebug/CannotFindTextureBySlot,%1 %2；無法找到%3欄位與%4呈現的材質。=194
ActorDebug/CannotHaveNestedDeathGroups,「預設動作者單位」[%1]；死亡自訂資料群組%2包含屬於自身為資料群組%3的成員，此點不被允許。=195
ActorDebug/CannotHostActor,動作者%1不支援宿主。=196
ActorDebug/CannotHostAgain,嘗試脫離%1，但先前已脫離於此（雖然未必為直接脫離）。=197
ActorDebug/CannotHostAgainCleared,嘗試脫離%1，但先前已脫離於此（雖然未必為直接脫離）。現在已清除。=198
ActorDebug/CannotHostSelf,無法自我脫離。問題可能是%1。=199
ActorDebug/CannotHostSelfSiteOps,無法自我脫離。問題可能是%2中的%1。=200
ActorDebug/CannotInheritDeath,「預設動作者單位」[%1]；死亡%2無法從死亡%3進行繼承。只能從死亡列表中較早成功初始化的進行繼承。=201
ActorDebug/CannotInitializeHost,無法初始化主動作者。=202
ActorDebug/CannotInitializeHostedAttachDueToQuery,無法初始化依附主動作者%1。附加查詢未返回任何附加點。=203
ActorDebug/CannotInitializeHostedAttachDueToSiteOps,無法初始化依附主動作者%1。無法初始化部位運算。=204
ActorDebug/CannotInitializeHostedAttachDueToUpdateBearings,無法初始化依附主動作者%1。無法更新方位。=205
ActorDebug/CannotMonitorStates,無法監視超過%1個狀況。=206
ActorDebug/CannotOverrideAndInheritDeathSimultaneously,「預設動作者單位」[%1]；無法同時覆寫死亡%2和從死亡%3進行繼承。=207
ActorDebug/CannotOverrideDeathAndHaveMembers,「預設動作者單位」[%1]；死亡自訂資料群組%2無法在同時擁有成員的情況下覆寫同名死亡。=208
ActorDebug/CannotParseActorMessage,無法剖析動作者訊息[%1]。=209
ActorDebug/CannotParseActorTerm,無法剖析動作者條件[%1]。=210
ActorDebug/CannotPopulateValidLinkOnMsgTextureSelectByUpdateLink,嘗試以連結[%1]構成CActorMsgTextureSelectByUpdateLink失敗，此為無效連結。=211
ActorDebug/CannotReattachBeam,無法在模型轉換至%1時將光束重新附加上去。=212
ActorDebug/CannotRemoveSiteOps,無法於主動作者%1移除部位運算。=213
ActorDebug/CannotResolveActor,%1訊息：無法從參考名稱%2解析動作者。=214
ActorDebug/CannotRouteMessage,無製造效果，無法正常以內部訊息路線發送。=215
ActorDebug/CannotSelectTextureBadLink,無法選取材質目錄項目為[%1]的材質。=216
ActorDebug/CannotSetContinuousPhysics,嘗試設定物理以持續性地在「預設模型」[%1] 上運作，其無任何內建值。=217
ActorDebug/CannotSetSiteOps,無法於主動作者%1設定部位運算。=218
ActorDebug/CannotSpawnActor,SetQueriedSpawn；無法生成動作者%1。=219
ActorDebug/CannotSpawnBeam,無法在範圍%1中生成光束。=220
ActorDebug/CannotSpawnFoliageFX,無法生成植物叢FX。動作者[%1]。=221
ActorDebug/CannotSupersedeSelf,死亡資料群組%1無法替代其動作者項目%2!=222
ActorDebug/CannotUseSourceNarrowing,無法將來源限制（如「請求」或「排除」）用於專門傳遞非「創建」訊息的訊息。%1=223
ActorDebug/CannotUseSourceNarrowingWithName,無法將來源限制（如「請求」或「排除」）用於特定來源名稱的訊息。%1=224
ActorDebug/CannotUseSourceNarrowingWithoutUnit,無法將來源限制（如「請求」或「排除」）用於非單位自身所傳送的訊息。%1=225
ActorDebug/CannotWithdrawActor,無製造效果，無法撤回以內部訊息路線發送單位元。=226
ActorDebug/CreateCannotRegisterTerm,包含「創建」（Create）與無法登錄的條件：條件[%1]。=227
ActorDebug/CreatedWithoutUnit,在沒有單位的狀況下，在範圍內創建；即，沒有宿主。擊殺中。=228
ActorDebug/CustomDeathMissingPriority,自訂死亡%1在項目%2被忽略，因為它遺失了它的死亡優先順序。若要解決此問題，需為此死亡新增「死亡自訂優先順序表」元素至相關的「預設動作者全域設定」動作者。=229
ActorDebug/CustomPortrait,自訂頭像=230
ActorDebug/CutsceneBadFilter,%1訊息需要有效的過濾器名稱。=231
ActorDebug/CutsceneBookmarkDoesNotExist,書籤%1不存在於過場動畫%2中。=232
ActorDebug/CutsceneBookmarkNameRequired,CutsceneGoToBookmark訊息需要有效的書籤名稱。=233
ActorDebug/CutsceneCannotPlay,無法播放過場動畫%1。=234
ActorDebug/CutsceneStepBookmarkNext,無法往前跳至下一個書籤。=235
ActorDebug/CutsceneStepBookmarkPrev,無法向後跳回上一個書籤。=236
ActorDebug/DamagePhysicsArrivedBeforeAction,資料設定錯誤；ActionDamagePhysics訊息已在%1開始前送達。=237
ActorDebug/DeathGroupContainsInvalidDeath,「預設動作者單位」[%1]；死亡自訂資料群組%2參照不存在的無效死亡%3。=238
ActorDebug/EffectLinkRedundant,不需要指定此關鍵詞的效果連結；目的地為效果樹的範圍。請求者：%1=239
ActorDebug/ErrorCannotInheritScale,無法繼承比例。=240
ActorDebug/EventMacroRunnableInvalid,指定的CActorEventMacroRunnable[%1]為無效。=241
ActorDebug/EventWithInvalidMsg,含有無效訊息詞彙的事件。%1=242
ActorDebug/EventWithInvalidSend,含有無效「寄送欄」（Send field）的事件。%1=243
ActorDebug/EventWithoutTrigger,含無觸發訊息的事件。%1=244
ActorDebug/GamePortrait,遊戲頭像=245
ActorDebug/GlazeFailed,=246
ActorDebug/HostSetSiteOpsDoesNotSupportLiveHardAttaches,「主動作者設定部位運算」訊息目前並未將部位運算設在硬附加的動作者身上，而是用軟附加。問題：%1。=247
ActorDebug/HoverTarget,游標懸停目標=248
ActorDebug/ImpactArrivedBeforeAction,資料設定錯誤；ActionImpact訊息已在%1開始前送達。=249
ActorDebug/ImpactMonitorCouldNotFindTAV,無法完全初始化衝擊監視器；在目標%2找不到]附加ID為[%1的附加體積(TAV)。目標模型在TAV上另有附加點。要處理此錯誤的話，可以設定攻擊以成功找到目標的TAV；若攻擊不需附加體積則使用預設動作者部位運算體積。=250
ActorDebug/ImpactPhysicsArrivedBeforeAction,資料設定錯誤；ActionImpactPhysics訊息已在%1開始前送達。=251
ActorDebug/ImpactSourceMustBeCActorAction,衝擊來源%1必須是預設動作者動作類型的動作者。=252
ActorDebug/InitialBearings,初始=253
ActorDebug/InnateTextureClash,訊息%1中；ModelLink[%2]模型%3；使原始材質%4對應欄位[%5]，但欄位[%5]已被指派對應原始材質[%6]。無法同時使同一個欄位對應兩種不同的材質。=254
ActorDebug/InvalidAttachMethod,%2中無效的依附方法%1。=255
ActorDebug/InvalidAttachMethodUnavailable,在%1中[不可用的]無效的依附方法。=256
ActorDebug/InvalidBlendDuration,此作業需要融合持續時間大於0.0才合理。=257
ActorDebug/InvalidCreepHeightClassValue,蟲苔高度級別%1中的無效數值，數值必須>= 0=258
ActorDebug/InvalidDeath,「預設動作者單位」[%1]；死亡自訂資料群組%2參照不存在的死亡。=259
ActorDebug/InvalidEffectParams,預設動作者動作必須由有效之參數創造。=260
ActorDebug/InvalidLink,無效的連結=261
ActorDebug/InvalidModelBounds,=262
ActorDebug/InvalidModelVariation,%1 %2；無效變量%3。所有變量必須擁有相同數量的依附件。=263
ActorDebug/InvalidPortraitActor,無效的頭像動作者%1。=264
ActorDebug/InvalidPortraitActorCustomization,PortraitCustomize訊息含有無效的頭像動作者%1。=265
ActorDebug/InvalidPortraitCamera,無效的頭像鏡頭%1。=266
ActorDebug/InvalidPortraitModel,無效的頭像模型%1。=267
ActorDebug/InvalidPortraitModelCustomization,PortraitCustomize訊息含有無效的頭像模型%1。=268
ActorDebug/InvalidRequest,含無效的要求：主題[%1]。=269
ActorDebug/InvalidShieldAttach,無法在含模型%2的單位%1上找到依附於其上的e_attachShield或動態護盾。=270
ActorDebug/InvalidShieldRadius,無效的護盾範圍。單位%1的模型%2比例指數為0。=271
ActorDebug/InvalidSiteOp,無效的部位運算[%1]。=272
ActorDebug/InvalidSiteOpHost,主動作者[%1]的部位運算[%2]無效。=273
ActorDebug/InvalidSiteOpLink,無效的部位運算連結=274
ActorDebug/LightInvalidModel,燈光動作者上的無效模型。問題：%1。=275
ActorDebug/LookAtCannotCreateActor,%1；無法為來源%2在動作者上建立表情。=276
ActorDebug/LookAtCouldNotAcquireTarget,無法從來源%1獲得目標。=277
ActorDebug/LookAtDumpTurrets,砲台：=278
ActorDebug/LookAtDumpTurretsNone,-- None --=279
ActorDebug/LookAtDumpTurretsSourced,dumping turrets on source %1:=280
ActorDebug/LookAtInvalidSource,來源%1上的無效表情。=281
ActorDebug/LookAtInvalidTarget,%1；目標%2上的無效表情。=282
ActorDebug/LookAtInvalidType,Could not find definition of look at type [%1].=283
ActorDebug/LookAtModelSwapFailure,Could not restore turrets from model %1 to model %2.=284
ActorDebug/LookAtNoAcquireTarget,無可獲得的目標。%1只有在某些遊戲訊息（如Abil、WeaponStart以及TurretTarget）出現時，才會自動獲得目標。=285
ActorDebug/LookAtNoActiveTarget,No active target to get bearings from for turret group [%1].=286
ActorDebug/LookAtNoSource,無對象=287
ActorDebug/LookAtNoTurretType,No look at turret type.=288
ActorDebug/LookAtNoType,No look at type.=289
ActorDebug/LookAtUnassignedSource,來源上的未指定表情。=290
ActorDebug/LookAtUnassignedTarget,目標上的未指定表情。=291
ActorDebug/MessagePassingStackOverflow,訊息處理累積數量已達上限。所有超過此限度的訊息都會被忽略。可能會產生未預期的結果。=292
ActorDebug/MissileDirectCreate,嘗試直接製造一飛彈並非為背景攻擊。=293
