RequirementNode/Name/1,1=0
Actor/Name/AdeptPiercingAttackMissile,Adept Piercing Attack Missile ///Auto - Copied from enUS Locale=39
Actor/Name/BansheeBoostModel,Banshee Boost Model ///Auto - Copied from enUS Locale=40
Actor/Name/BypassArmorDrone,Bypass Armor Drone ///Auto - Copied from enUS Locale=41
Actor/Name/BypassArmorDroneAttack,Bypass Armor Drone Attack ///Auto - Copied from enUS Locale=42
Actor/Name/BypassArmorDroneAttackBeam,Bypass Armor Drone Attack Beam ///Auto - Copied from enUS Locale=43
Actor/Name/BypassArmorDroneCURange,Bypass Armor Drone CU Range ///Auto - Copied from enUS Locale=44
Actor/Name/BypassArmorImpact,Bypass Armor Impact ///Auto - Copied from enUS Locale=45
Actor/Name/BypassArmorLaunchSound,Bypass Armor Launch Sound ///Auto - Copied from enUS Locale=46
Actor/Name/BypassArmorSoundLoop,Bypass Armor Sound Loop ///Auto - Copied from enUS Locale=47
Actor/Name/CarrierInterceptorDummy,Carrier Interceptor Dummy ///Auto - Copied from enUS Locale=48
Actor/Name/ChannelSnipe,Channel Snipe ///Auto - Copied from enUS Locale=49
Actor/Name/ChannelSnipeBeam,Channel Snipe Beam ///Auto - Copied from enUS Locale=50
Actor/Name/ChannelSnipeLaunchSquib,Channel Snipe Launch Squib ///Auto - Copied from enUS Locale=51
Actor/Name/ChannelSnipeRange,Channel Snipe Range ///Auto - Copied from enUS Locale=52
Actor/Name/ChannelSnipeTrackingBeam,Channel Snipe Tracking Beam ///Auto - Copied from enUS Locale=53
Actor/Name/CycloneAirAttackLeft,Cyclone Air Attack Left ///Auto - Copied from enUS Locale=54
Actor/Name/CycloneAirAttackRight,Cyclone Air Attack Right ///Auto - Copied from enUS Locale=55
Actor/Name/CycloneLockOnAirRange,Cyclone Lock On Air Range ///Auto - Copied from enUS Locale=56
Actor/Name/DarkTemplarBlinkCloudSound,Dark Templar Blink Cloud Sound ///Auto - Copied from enUS Locale=57
Actor/Name/DarkTemplarBlinkIn,Dark Templar Blink In ///Auto - Copied from enUS Locale=58
Actor/Name/DarkTemplarBlinkInSmoke,Dark Templar Blink In Smoke ///Auto - Copied from enUS Locale=59
Actor/Name/DarkTemplarBlinkOut,Dark Templar Blink Out ///Auto - Copied from enUS Locale=60
Actor/Name/DarkTemplarBlinkOutSmoke,Dark Templar Blink Out Smoke ///Auto - Copied from enUS Locale=61
Actor/Name/DarkTemplarBlinkRange,Dark Templar Blink Range ///Auto - Copied from enUS Locale=62
Actor/Name/DarkTemplarBlinkStopSound,Dark Templar Blink Stop Sound ///Auto - Copied from enUS Locale=63
Actor/Name/DisruptorPurificationNovaTargettedRange,Disruptor Purification Nova Targetted Range ///Auto - Copied from enUS Locale=64
Actor/Name/InfestorBurrowedCocoonModelAddition,Infestor Burrowed Cocoon Model Addition ///Auto - Copied from enUS Locale=65
Actor/Name/InfestorBurrowedNeuralParasiteGroundSplat,Infestor Burrowed Neural Parasite Ground Splat ///Auto - Copied from enUS Locale=66
Actor/Name/InterceptorVoid,Interceptor (Void) ///Auto - Copied from enUS Locale=67
Actor/Name/LiberatorAGSearchRange,Liberator AG Search Range ///Auto - Copied from enUS Locale=68
Actor/Name/LiberatorDummyRange,Liberator Dummy Range ///Auto - Copied from enUS Locale=69
Actor/Name/LurkerAttackRange,Lurker Attack Range ///Auto - Copied from enUS Locale=70
Actor/Name/MarauderAttackLeft,Marauder Attack Left ///Auto - Copied from enUS Locale=71
Actor/Name/MarauderAttackRight,Marauder Attack Right ///Auto - Copied from enUS Locale=72
Actor/Name/OrbitalDropMULERange,Orbital Drop MULE Range ///Auto - Copied from enUS Locale=73
Actor/Name/OverlordTransport,Overlord Transport ///Auto - Copied from enUS Locale=74
Actor/Name/ReleaseInterceptorsAction,Release Interceptors (Action) ///Auto - Copied from enUS Locale=75
Actor/Name/ReleaseInterceptorsMissile,Release Interceptors (Missile) ///Auto - Copied from enUS Locale=76
Actor/Name/SOpForwardDarkTemplarBlinkLaunchLocation,SOp Forward Dark Templar Blink Launch Location ///Auto - Copied from enUS Locale=77
Actor/Name/SOpForwardDarkTemplarBlinkTargetLocation,SOp Forward Dark Templar Blink Target Location ///Auto - Copied from enUS Locale=78
Actor/Name/SiegeTankLoadSOpOffset,Siege Tank Load SOp Offset ///Auto - Copied from enUS Locale=79
Actor/Name/SiegeTankLoadTransit,Siege Tank Load Transit ///Auto - Copied from enUS Locale=80
Actor/Name/SpawnInterceptors,Spawn Interceptors ///Auto - Copied from enUS Locale=81
Actor/Name/SpawnInterceptorsAttackRange,Spawn Interceptors Attack Range ///Auto - Copied from enUS Locale=82
Actor/Name/SpawnInterceptorsCursor,Spawn Interceptors (Cursor) ///Auto - Copied from enUS Locale=83
Actor/Name/SpyDrone,Spy Drone ///Auto - Copied from enUS Locale=84
Actor/Name/SpyDroneDamageBuffer,Spy Drone Damage Buffer ///Auto - Copied from enUS Locale=85
Actor/Name/TempestDisruptionBlastCasterUnitChargeUpElectric,Tempest Disruption Blast Caster Unit Charge Up Electric ///Auto - Copied from enUS Locale=86
Actor/Name/TempestDisruptionBlastCasterUnitChargeUpElectricExpire,Tempest Disruption Blast Caster Unit Charge Up Electric Expire ///Auto - Copied from enUS Locale=87
Actor/Name/TempestDisruptionBlastCasterUnitChargeUpElectricSound,Tempest Disruption Blast Caster Unit Charge Up Electric Sound ///Auto - Copied from enUS Locale=88
Actor/Name/TempestDisruptionBlastCasterUnitChargeUpSound,Tempest Disruption Blast Caster Unit Charge Up Sound ///Auto - Copied from enUS Locale=89
Actor/Name/TempestDisruptionBlastCursorSplat,Tempest Disruption Blast Cursor Splat ///Auto - Copied from enUS Locale=90
Actor/Name/TempestDisruptionBlastTargetLocationChargeUp,Tempest Disruption Blast Target Location Charge Up ///Auto - Copied from enUS Locale=91
Actor/Name/TempestDisruptionBlastTargetLocationExpireElectric,Tempest Disruption Blast Target Location Expire Electric ///Auto - Copied from enUS Locale=92
Actor/Name/TempestDisruptionBlastTargetUnitDamage,Tempest Disruption Blast Target Unit Damage ///Auto - Copied from enUS Locale=93
Actor/Name/TempestDisruptionBlastTargetUnitStun,Tempest Disruption Blast Target Unit Stun ///Auto - Copied from enUS Locale=94
Actor/Name/TempestDisruptionSphereMissile,Tempest Disruption Sphere Missile ///Auto - Copied from enUS Locale=95
Actor/Name/Tempest_DisruptionBlastCursorConfirmationSound,Tempest_DisruptionBlastCursorConfirmationSound ///Auto - Copied from enUS Locale=96
Actor/Name/Tempest_DisruptionBlast_ChargeStartSound,Tempest_DisruptionBlast_ChargeStartSound ///Auto - Copied from enUS Locale=97
Actor/Name/Tempest_DisruptionBlast_ChargeUpSound,Tempest_DisruptionBlast_ChargeUpSound ///Auto - Copied from enUS Locale=98
Actor/Name/Tempest_DisruptionBlast_EndSound,Tempest_DisruptionBlast_EndSound ///Auto - Copied from enUS Locale=99
Actor/Name/Tempest_DisruptionBlast_ImpactSound,Tempest_DisruptionBlast_ImpactSound ///Auto - Copied from enUS Locale=100
Actor/Name/Tempest_DisruptionBlast_StunSoundLoop,Tempest_DisruptionBlast_StunSoundLoop ///Auto - Copied from enUS Locale=101
Actor/Name/Tempest_DisruptionBlast_TargetGlowSound,Tempest_DisruptionBlast_TargetGlowSound ///Auto - Copied from enUS Locale=102
Actor/Name/TemporalFieldAfterBubbleModel,Temporal Field After Bubble Model ///Auto - Copied from enUS Locale=103
Actor/Name/TemporalFieldBubbleEnd,Temporal Field Bubble End ///Auto - Copied from enUS Locale=104
Actor/Name/TemporalFieldBubbleLaunch,Temporal Field Bubble Launch ///Auto - Copied from enUS Locale=105
Actor/Name/TemporalFieldBubbleLaunch2,Temporal Field Bubble Launch2 ///Auto - Copied from enUS Locale=106
Actor/Name/TemporalFieldBubbleLaunch3,Temporal Field Bubble Launch3 ///Auto - Copied from enUS Locale=107
Actor/Name/TemporalFieldBubbleLoop,Temporal Field Bubble Loop ///Auto - Copied from enUS Locale=108
Actor/Name/TemporalFieldGrowingBubbleModel,Temporal Field Growing Bubble Model ///Auto - Copied from enUS Locale=109
Actor/Name/TerranFlameSetFireBypassArmorDrone,Terran Flame Set Fire Bypass Armor Drone ///Auto - Copied from enUS Locale=110
Actor/Name/TerranFlamesBypassArmorDrone,Terran Flames Bypass Armor Drone ///Auto - Copied from enUS Locale=111
Actor/Name/ThermalBeamAttack,Thermal Beam (Attack) ///Auto - Copied from enUS Locale=112
Actor/Name/ThermalBeamBeam,Thermal Beam (Beam) ///Auto - Copied from enUS Locale=113
Actor/Name/ThermalBeamEndSound,Thermal Beam (End Sound) ///Auto - Copied from enUS Locale=114
Actor/Name/ThermalBeamLoopSound,Thermal Beam (Loop Sound) ///Auto - Copied from enUS Locale=115
Actor/Name/ThermalBeamStartSound,Thermal Beam (Start Sound) ///Auto - Copied from enUS Locale=116
Actor/Name/ThorSelfRepair,Thor Self Repair ///Auto - Copied from enUS Locale=117
Actor/Name/TransportOverlordCocoon,Transport Overlord Cocoon ///Auto - Copied from enUS Locale=118
Actor/Name/TransportOverlordCocoonDeath,Transport Overlord Cocoon Death ///Auto - Copied from enUS Locale=119
Actor/Name/WidowMineTargetingBeam,Widow Mine Targeting Beam ///Auto - Copied from enUS Locale=120
Behavior/EditorPrefix/BarrierDamageResponse,Immortal - ///Auto - Copied from enUS Locale=121
Behavior/EditorPrefix/BypassArmorDebuffOne,Ghost - ///Auto - Copied from enUS Locale=122
Behavior/EditorPrefix/BypassArmorDebuffThree,Ghost - ///Auto - Copied from enUS Locale=123
Behavior/EditorPrefix/BypassArmorDebuffTwo,Ghost - ///Auto - Copied from enUS Locale=124
Behavior/EditorPrefix/BypassArmorDroneInitialUnselectable,Ghost - ///Auto - Copied from enUS Locale=125
Behavior/EditorPrefix/BypassArmorDroneMovement,Ghost - ///Auto - Copied from enUS Locale=126
Behavior/EditorPrefix/BypassArmorDroneTimedLife,Ghost - ///Auto - Copied from enUS Locale=127
Behavior/EditorPrefix/BypassArmorStun,Ghost - ///Auto - Copied from enUS Locale=128
Behavior/EditorPrefix/ChannelSnipeCombat, ///Auto - Copied from enUS Locale=129
Behavior/EditorPrefix/ChannelingCausticSpray, ///Auto - Copied from enUS Locale=130
Behavior/EditorPrefix/ChargingAttack,Zealot - ///Auto - Copied from enUS Locale=131
Behavior/EditorPrefix/ChargingAttackCheck,Zealot - ///Auto - Copied from enUS Locale=132
Behavior/EditorPrefix/CommandCenterKnockbackBehavior, ///Auto - Copied from enUS Locale=133
Behavior/EditorPrefix/InterceptorTimedLife,Carrier - ///Auto - Copied from enUS Locale=134
Behavior/EditorPrefix/IsTransportOverlord, ///Auto - Copied from enUS Locale=135
Behavior/EditorPrefix/LurkerHoldFireB,Lurker - ///Auto - Copied from enUS Locale=136
Behavior/EditorPrefix/MorphingintoWarpGate, ///Auto - Copied from enUS Locale=137
Behavior/EditorPrefix/NearWarpgate, ///Auto - Copied from enUS Locale=138
Behavior/EditorPrefix/NydusWormInvuln, ///Auto - Copied from enUS Locale=139
Behavior/EditorPrefix/PurificationNovaPost,Disruptor - ///Auto - Copied from enUS Locale=140
Behavior/EditorPrefix/PurificationNovaTargettedCaster,Disruptor - ///Auto - Copied from enUS Locale=141
Behavior/EditorPrefix/PurificationNovaTargettedTarget,Disruptor - ///Auto - Copied from enUS Locale=142
Behavior/EditorPrefix/QueenSpawnLarvaHiddenStack,Queen - ///Auto - Copied from enUS Locale=143
Behavior/EditorPrefix/SelfRepair,Thor - ///Auto - Copied from enUS Locale=144
Behavior/EditorPrefix/SiegeTankUnloadDelay, ///Auto - Copied from enUS Locale=145
Behavior/EditorPrefix/SpyDroneCloakSupressor,Reaper - ///Auto - Copied from enUS Locale=146
Behavior/EditorPrefix/SpyDroneDamageBuff,Reaper - ///Auto - Copied from enUS Locale=147
Behavior/EditorPrefix/SpyDroneDamageBuffer,Reaper - ///Auto - Copied from enUS Locale=148
Behavior/EditorPrefix/SpyDroneTimedLife,Reaper - ///Auto - Copied from enUS Locale=149
Behavior/EditorPrefix/TakenDamage,Immortal - ///Auto - Copied from enUS Locale=150
Behavior/EditorPrefix/TempestDisruptionBlastStunBehavior,Tempest - ///Auto - Copied from enUS Locale=151
Behavior/EditorSuffix/BypassArmorDebuffOne,(Debuff One) ///Auto - Copied from enUS Locale=152
Behavior/EditorSuffix/BypassArmorDebuffThree,(Debuff Three) ///Auto - Copied from enUS Locale=153
Behavior/EditorSuffix/BypassArmorDebuffTwo,(Debuff Two) ///Auto - Copied from enUS Locale=154
Behavior/EditorSuffix/PurificationNovaPost,Post ///Auto - Copied from enUS Locale=155
Behavior/EditorSuffix/TempestDisruptionBlastStunBehavior,Stun Behavior ///Auto - Copied from enUS Locale=156
Behavior/Name/BarrierDamageResponse,Barrier Damage Response ///Auto - Copied from enUS Locale=157
Behavior/Name/BypassArmorDroneInitialUnselectable,Bypass Armor Drone Initial Unselectable ///Auto - Copied from enUS Locale=158
Behavior/Name/BypassArmorDroneMovement,Bypass Armor Drone Movement ///Auto - Copied from enUS Locale=159
Behavior/Name/BypassArmorDroneTimedLife,Bypass Armor Drone Timed Life ///Auto - Copied from enUS Locale=160
Behavior/Name/BypassArmorStun,Bypass Armor Stun ///Auto - Copied from enUS Locale=161
Behavior/Name/ChannelingCausticSpray,Channeling Caustic Spray ///Auto - Copied from enUS Locale=162
Behavior/Name/ChargingAttack,Charging Attack ///Auto - Copied from enUS Locale=163
Behavior/Name/ChargingAttackCheck,Charging Attack Check ///Auto - Copied from enUS Locale=164
Behavior/Name/CommandCenterKnockbackBehavior,Command Center Knockback Behavior ///Auto - Copied from enUS Locale=165
Behavior/Name/FastEnablerGatewayMorphingPowerSource,Fast Enabler Gateway Morphing Power Source ///Auto - Copied from enUS Locale=166
Behavior/Name/ImmortalBarrierSupressed,Immortal Barrier Supressed ///Auto - Copied from enUS Locale=167
Behavior/Name/IsTransportOverlord,Is Transport Overlord ///Auto - Copied from enUS Locale=168
Behavior/Name/LocustMPFlyingSwoopUncommandable,Locust MP Flying Swoop Uncommandable ///Auto - Copied from enUS Locale=169
Behavior/Name/MorphingintoWarpGate,Morphing into Warp Gate ///Auto - Copied from enUS Locale=170
Behavior/Name/NydusWormInvuln,Nydus Worm Invuln ///Auto - Copied from enUS Locale=171
Behavior/Name/QueenSpawnLarvaHiddenStack,Spawn Larva Hidden Stack ///Auto - Copied from enUS Locale=172
Behavior/Name/SiegeTankDummyWeaponDisable,Siege Tank Dummy Weapon Disable ///Auto - Copied from enUS Locale=173
Behavior/Name/SiegeTankUnloadDelay,Siege Tank Unload Delay ///Auto - Copied from enUS Locale=174
Behavior/Name/SiegeTankUnmorphDummyWeaponDisable,Siege Tank Unmorph Dummy Weapon Disable ///Auto - Copied from enUS Locale=175
Behavior/Name/TakenDamage,Taken Damage ///Auto - Copied from enUS Locale=176
Behavior/Name/TerranStructuresKnockbackBehavior,Terran Structures Knockback Behavior ///Auto - Copied from enUS Locale=177
Button/EditorPrefix/ActivateStasisWard,Stasis Ward - ///Auto - Copied from enUS Locale=178
Button/EditorPrefix/AdeptPiercingUpgrade,Adept - ///Auto - Copied from enUS Locale=179
Button/EditorPrefix/AdeptResearchPiercingUpgrade,Adept - ///Auto - Copied from enUS Locale=180
Button/EditorPrefix/CorrosiveParasite,Infestor - ///Auto - Copied from enUS Locale=181
Button/EditorPrefix/CycloneLockOnAir,Cyclone - ///Auto - Copied from enUS Locale=182
Button/EditorPrefix/CycloneLockOnDamageUpgrade,Cyclone - ///Auto - Copied from enUS Locale=183
Button/EditorPrefix/CycloneResearchIncreasedAttackRange,Cyclone - ///Auto - Copied from enUS Locale=184
Button/EditorPrefix/DarkTemplarBlink,Dark Templar ///Auto - Copied from enUS Locale=185
Button/EditorPrefix/EvolveGroovedSpines,Hydralisk - ///Auto - Copied from enUS Locale=186
Button/EditorPrefix/EvolveMuscularAugments,Hydralisk - ///Auto - Copied from enUS Locale=187
Button/EditorPrefix/ExplosiveShrapnelShells,Raven - ///Auto - Copied from enUS Locale=188
Button/EditorPrefix/HydraliskIncreasedAttackRange,Hydralisk - ///Auto - Copied from enUS Locale=189
Button/EditorPrefix/HydraliskIncreasedMovementSpeed,Hydralisk - ///Auto - Copied from enUS Locale=190
Button/EditorPrefix/LaunchDefenders,Carrier - ///Auto - Copied from enUS Locale=191
Button/EditorPrefix/LockOnAir,Cyclone - ///Auto - Copied from enUS Locale=192
Button/EditorPrefix/MagFieldLaunchers,Cyclone - ///Auto - Copied from enUS Locale=193
Button/EditorPrefix/MorphToWaspFlyingAir,Wasp - ///Auto - Copied from enUS Locale=194
Button/EditorPrefix/MorphtoBeetle,Wasp - ///Auto - Copied from enUS Locale=195
Button/EditorPrefix/MorphtoOverlordTransport,Overlord - ///Auto - Copied from enUS Locale=196
Button/EditorPrefix/PurificationNovaTargeted,Disruptor - ///Auto - Copied from enUS Locale=197
Button/EditorPrefix/RapidDeploymentTubes,Medivac - ///Auto - Copied from enUS Locale=198
Button/EditorPrefix/Ravager,Roach - ///Auto - Copied from enUS Locale=199
Button/EditorPrefix/RavenRecalibratedExplosives,Raven - ///Auto - Copied from enUS Locale=200
Button/EditorPrefix/ResearchDarkTemplarBlink,Dark Templar ///Auto - Copied from enUS Locale=201
Button/EditorPrefix/ResearchMagFieldLaunchers,Cyclone - ///Auto - Copied from enUS Locale=202
Button/EditorPrefix/ResearchRavenRecalibratedExplosives,Raven - ///Auto - Copied from enUS Locale=203
Button/EditorPrefix/SelfRepair,Thor - ///Auto - Copied from enUS Locale=204
Button/EditorPrefix/SpyDrones,Reaper - ///Auto - Copied from enUS Locale=205
Button/EditorPrefix/TempestDisruptionBlast,Tempest - ///Auto - Copied from enUS Locale=206
Button/EditorPrefix/WaspSwoop,Wasp - ///Auto - Copied from enUS Locale=207
Button/EditorSuffix/MorphToWaspFlyingAir,(Morph to WaspFlyingAir) ///Auto - Copied from enUS Locale=208
Button/EditorSuffix/PurificationNovaTargeted,(Targeted) ///Auto - Copied from enUS Locale=209
Effect/EditorPrefix/AdeptPhaseShiftCancel,Adept - ///Auto - Copied from enUS Locale=210
Effect/EditorPrefix/AdeptPhaseShiftTimerSet,Adept - ///Auto - Copied from enUS Locale=211
Effect/EditorPrefix/AdeptPiercingDamage,Adept - ///Auto - Copied from enUS Locale=212
Effect/EditorPrefix/AdeptPiercingInitialPersistent,Adept - ///Auto - Copied from enUS Locale=213
Effect/EditorPrefix/AdeptPiercingSearch,Adept - ///Auto - Copied from enUS Locale=214
Effect/EditorPrefix/AdeptPiercingSet,Adept - ///Auto - Copied from enUS Locale=215
Effect/EditorPrefix/AdeptShadePhaseShiftCancel,Adept - ///Auto - Copied from enUS Locale=216
Effect/EditorPrefix/AdeptShadePhaseShiftCancelCasterBehavior,Adept - ///Auto - Copied from enUS Locale=217
Effect/EditorPrefix/BypassArmorABSet,Ghost - ///Auto - Copied from enUS Locale=218
Effect/EditorPrefix/BypassArmorCU,Ghost - ///Auto - Copied from enUS Locale=219
Effect/EditorPrefix/BypassArmorCreatePersistent,Ghost - ///Auto - Copied from enUS Locale=220
Effect/EditorPrefix/BypassArmorDebuffDamageDummy,Ghost - ///Auto - Copied from enUS Locale=221
Effect/EditorPrefix/BypassArmorDebuffOneAB,Ghost - ///Auto - Copied from enUS Locale=222
Effect/EditorPrefix/BypassArmorDebuffOneRB,Ghost - ///Auto - Copied from enUS Locale=223
Effect/EditorPrefix/BypassArmorDebuffOneSet,Ghost - ///Auto - Copied from enUS Locale=224
Effect/EditorPrefix/BypassArmorDebuffThreeAB,Ghost - ///Auto - Copied from enUS Locale=225
Effect/EditorPrefix/BypassArmorDebuffThreeRB,Ghost - ///Auto - Copied from enUS Locale=226
Effect/EditorPrefix/BypassArmorDebuffThreeSet,Ghost - ///Auto - Copied from enUS Locale=227
Effect/EditorPrefix/BypassArmorDebuffTwoAB,Ghost - ///Auto - Copied from enUS Locale=228
Effect/EditorPrefix/BypassArmorDebuffTwoRB,Ghost - ///Auto - Copied from enUS Locale=229
Effect/EditorPrefix/BypassArmorDebuffTwoSet,Ghost - ///Auto - Copied from enUS Locale=230
Effect/EditorPrefix/BypassArmorDestroyPersistent,Ghost - ///Auto - Copied from enUS Locale=231
Effect/EditorPrefix/BypassArmorDroneMove,Ghost - ///Auto - Copied from enUS Locale=232
Effect/EditorPrefix/BypassArmorMovementDebuffAB,Ghost - ///Auto - Copied from enUS Locale=233
Effect/EditorPrefix/BypassArmorRBSet,Ghost - ///Auto - Copied from enUS Locale=234
Effect/EditorPrefix/BypassArmorStunAB,Ghost - ///Auto - Copied from enUS Locale=235
Effect/EditorPrefix/BypassArmorStunRB,Ghost - ///Auto - Copied from enUS Locale=236
Effect/EditorPrefix/ChannelSnipeCombat,Ghost - ///Auto - Copied from enUS Locale=237
Effect/EditorPrefix/ChannelSnipeCombatBeamDummy,Ghost - ///Auto - Copied from enUS Locale=238
Effect/EditorPrefix/ChannelSnipeCombatRB,Ghost - ///Auto - Copied from enUS Locale=239
Effect/EditorPrefix/ChannelSnipeCreatePersistent,Ghost - ///Auto - Copied from enUS Locale=240
Effect/EditorPrefix/ChannelSnipeDamage,Ghost - ///Auto - Copied from enUS Locale=241
Effect/EditorPrefix/ChannelSnipeDamageSet,Ghost - ///Auto - Copied from enUS Locale=242
Effect/EditorPrefix/ChannelSnipeInitialSet,Ghost - ///Auto - Copied from enUS Locale=243
Effect/EditorPrefix/ChargeAttackApplyBuff,Zealot - ///Auto - Copied from enUS Locale=244
Effect/EditorPrefix/ChargeCheckApplyBuff,Zealot - ///Auto - Copied from enUS Locale=245
Effect/EditorPrefix/ChargingDamage,Zealot - ///Auto - Copied from enUS Locale=246
Effect/EditorPrefix/ChargingDamageSecondary,Zealot - ///Auto - Copied from enUS Locale=247
Effect/EditorPrefix/ChargingPrimaryDamageSet,Zealot - ///Auto - Copied from enUS Locale=248
Effect/EditorPrefix/ChargingRemoveSecondarySet,Zealot - ///Auto - Copied from enUS Locale=249
Effect/EditorPrefix/DamageTakenBarrieAutocastAB,Immortal - ///Auto - Copied from enUS Locale=250
Effect/EditorPrefix/LockOnAirCP,Cyclone - ///Auto - Copied from enUS Locale=251
Effect/EditorPrefix/LockOnAirFireSet,Cyclone - ///Auto - Copied from enUS Locale=252
Effect/EditorPrefix/LockOnAirInitialSet,Cyclone - ///Auto - Copied from enUS Locale=253
Effect/EditorPrefix/LockOnAirTurretStart,Cyclone - ///Auto - Copied from enUS Locale=254
Effect/EditorPrefix/LockOnGroundAirSet,Cyclone - ///Auto - Copied from enUS Locale=255
Effect/EditorPrefix/LockOnResetCooldownInitial,Cyclone - ///Auto - Copied from enUS Locale=256
Effect/EditorPrefix/NexusChronoBoostIssueOrder,Nexus - ///Auto - Copied from enUS Locale=257
Effect/EditorPrefix/PhaseMothershipCoreRecalledRemove,Adept - ///Auto - Copied from enUS Locale=258
Effect/EditorPrefix/PhaseMothershipCoreRecallingRemove,Adept - ///Auto - Copied from enUS Locale=259
Effect/EditorPrefix/PhaseShiftRemoveRecall,Adept - ///Auto - Copied from enUS Locale=260
Effect/EditorPrefix/PhaseShiftTimerCancelSet,Adept - ///Auto - Copied from enUS Locale=261
Effect/EditorPrefix/PiercingInitialLM,Adept - ///Auto - Copied from enUS Locale=262
Effect/EditorPrefix/PiercingLM,Adept - ///Auto - Copied from enUS Locale=263
Effect/EditorPrefix/PunisherGrenadesLMLeft,Marauder - ///Auto - Copied from enUS Locale=264
Effect/EditorPrefix/PunisherGrenadesLMRight,Marauder - ///Auto - Copied from enUS Locale=265
Effect/EditorPrefix/PunisherGrenadesLaunchSet,Marauder - ///Auto - Copied from enUS Locale=266
Effect/EditorPrefix/PurificationNovaMorphBackFromTransport,Disruptor - ///Auto - Copied from enUS Locale=267
