Library/Name/VdMp,Void Multi ///Auto - Copied from enUS Locale=0
Variable/Name/lib_UEDC_BD6B5872,UEDPlayers=81
Variable/Name/lib_UEDC_BE9352FE,Pickup Mineral Crystal Glow Model=82
Variable/Name/lib_UEDC_C0B859B1,Transport Shuttle=83
Variable/Name/lib_UEDC_C6C9A08C,OH.=84
Variable/Name/lib_UEDC_CB867B03,BeaconsButtonCountLabel=85
Variable/Name/lib_UEDC_D9702700,Beacon=86
Variable/Name/lib_UEDC_DAC8E66B,Beacon Construction unit group=87
Variable/Name/lib_UEDC_DBA48AC4,Attach Model Arsenal=88
Variable/Name/lib_UEDC_DC5CCFAC,Placement model=89
Variable/Name/lib_UEDC_DE14B69B,Beam Model 1=90
Variable/Name/lib_UEDC_E122A637,Beam Model 2=91
Variable/Name/lib_UEDC_E7EBE490,icon=92
Variable/Name/lib_UEDC_EA80EC63,Выполнилось?=93
Variable/Name/lib_UEDC_EF5C3E81,Loaded Heavy Towers=94
FunctionDef/Name/lib_UEDC_8704E652,Unit is Main Structure=95
FunctionDef/Name/lib_UEDC_AC02BA5A,Structure is medium=96
FunctionDef/Name/lib_UEDC_E36ECA4D,Unit is Small=97
FunctionDef/Name/lib_UEDC_E9473317,Unit is Structure=98
ParamDef/Name/lib_UEDC_01124C96,Unit=99
ParamDef/Name/lib_UEDC_53905576,Unit=100
ParamDef/Name/lib_UEDC_BEC461B1,Unit=101
ParamDef/Name/lib_UEDC_DA18DBA6,Unit=102
Preset/Name/lib_UEDC_B8295EE3,Hide or Show=103
Preset/Name/lib_UEDC_F79ED018,ON or OFF=104
PresetValue/Name/lib_UEDC_65C1C261,ON=105
PresetValue/Name/lib_UEDC_7F3E8546,Show=106
PresetValue/Name/lib_UEDC_9131F21D,Hide=107
PresetValue/Name/lib_UEDC_926A83B5,OFF=108
Variable/Name/lib_UEDC_BE3C236C,Player=109
