AUTHENTICATION_BETA_REGION,Beta /// Beta=0
ActorCheat/CouldNotResolveActor,No se pudo resolver el actor. /// Could not resolve actor.=77
ActorCheat/CouldNotReturnActor,No se pudo devolver el actor. /// Could not return actor.=78
ActorCheat/CouldNotReturnActorScope,No se pudo devolver el alcance del autor. /// Could not return actor scope.=79
ActorCheat/ExpectedOverlayLock,Se espera 0 o 1 para activar y desactivar el bloqueo de superposición. /// Expected 0 or 1 to toggle overlay lock.=80
ActorCheat/ExpectedSendAutoTargeting,Expected 0 or 1 to toggle send auto-targeting. /// Expected 0 or 1 to toggle send auto-targeting.=81
ActorCheat/FXAnimator,Animador FX /// FX Animator=82
ActorCheat/HasNoParameters,No tiene parámetros. /// Has no parameters.=83
ActorCheat/InvalidCatalog,Catálogo no válido. /// Invalid catalog.=84
ActorCheat/InvalidKey,Tecla no válida. /// Invalid key.=85
ActorCheat/InvalidMessage,Mensaje no válido. /// Invalid message.=86
ActorCheat/InvalidOlderThanAge,Edad 'mayor que' no válida. /// Invalid 'older than' age.=87
ActorCheat/ModelWithoutActor,MODELO SIN ACTOR /// MODEL W/O ACTOR=88
ActorCheat/NoUserActor,No ::actor usuario. /// No ::User actor.=89
ActorCheat/NoUserActorScope,No ::alcance de actor usuario. /// No ::User actor scope.=90
ActorCheat/ParametersRequired,Se requieren parámetros. /// Parameters required.=91
ActorCheat/PrimaryNameRequired,Se requiere un nombre principal. /// Primary name required.=92
ActorCheat/RefNameHasNoValidActor,RefName[%1] no devolvió un actor válido. /// RefName[%1] did not return a valid actor.=93
ActorCheat/RequiresGameScene,Este comando actualmente no se admite fuera de la escena de juego. /// This command is not currently supported outside of the game scene.=94
ActorCheat/ScopeNameRequired,Se requiere un nombre de alcance. /// Scope name required.=95
ActorCheat/StandaloneModel,Modelo autónomo /// Standalone Model=96
ActorCheat/TargetNameRequired,Se requiere un nombre de objetivo. /// Target name required.=97
ActorCheat/TracingDisabled,Rastreo desactivado para %1. /// Tracing disabled for %1.=98
ActorCheat/TracingEnabled,Rastreo activado para %1. /// Tracing enabled for %1.=99
ActorCheat/UnknownActorClass,Clase de actor desconocida [%1]. /// Unknown actor class [%1].=100
ActorCheat/UnknownCommand,Comando desconocido. /// Unknown command.=101
ActorCheat/UserActorSetTo,::Actor usuario establecido en %1. /// ::User actor set to %1.=102
ActorCheat/UserScopeSetTo,::Alcance de usuario establecido en %1. /// ::User scope set to %1.=103
ActorCheat/XYPositionRequired,se requiere posición x, y. /// x, y position required.=104
ActorDebug/ActionDamageMsgMustBeSentFromEffectMsg,El mensaje de ActionDamage debe enviarse en respuesta a un mensaje de Efecto para que pueda determinar el objetivo del daño. Responsable: %1.=105
ActorDebug/ActorNot,no es un %1.=106
ActorDebug/ActorScopeCannotBeKilledByUser,Este alcance de actor no se puede matar directamente con el código de usuario.=107
ActorDebug/ActorScopeCannotBeOrphanedByUser,Este alcance de actor no puede quedar huérfano directamente con el código de usuario.=108
ActorDebug/ActorTraceActor,Rastro del actor [A]: %1.%2=109
ActorDebug/ActorTraceMsg,Rastro del actor [M]: %1=110
ActorDebug/ActorTraceScope,Rastro del actor [S]: %1=111
ActorDebug/AnimClearAllButNeedsName,EliminarAnimTodasExcepto requiere un nombreAnim.=112
ActorDebug/AnimContinueNotForBaselines,Cannot use AnimContinue message on baseline anims.=113
ActorDebug/AnimContinueRequiresPreexistingAnim,AnimContinue requires an anim with a matching name (in this case %1) to be playing when sent, so it has an anim to continue!=114
ActorDebug/AnimContinueRequiresValidAnimName,AnimContinue requires a valid animation name that matches a running animation on the model.=115
ActorDebug/AnimHookClearInvalidName,Cannot find anim hook [%1].=116
ActorDebug/AnimHookClearUnavailable,No anim hooks to clear.=117
ActorDebug/AnimHookNameConflict,Cannot use the name %1 since it is already in use by an anim hook.=118
ActorDebug/AnimHookNone,No anim hooks.=119
ActorDebug/AnimHookRefreshActorConflict,El gancho de animación [%1] se ha restablecido y adquirió un actor que no es un CActorModel ni una de sus subclases. Como resultado, este gancho de animación se ha eliminado.=120
ActorDebug/AnimHookSelfNotAllowed,Cannot hook an animation on the same actor.=121
ActorDebug/AnimHookSetActorConflict,Cannot hook an anim from an actor that is not a CActorModel or one of its subclasses.=122
ActorDebug/AnimHookSetBadActor,The actor referenced by name %1 does not exist.=123
ActorDebug/AnimHookSetEmptyName,Cannot set an anim hook without a hook name.=124
ActorDebug/AnimLoadFailure,Modelo %1; No se pudo cargar las animaciones del modelo %2.=125
ActorDebug/AnimNameInvalid,%1 message: Cannot find anim name %2.=126
ActorDebug/AnimPlayRequiresName,Se debe asignar un nombre de animación válido cuando se reproduce una animación. Mensaje:  %1.=127
ActorDebug/AnimTimeScaleInvalid,%1 message: Cannot find anim time scale labeled %2.=128
ActorDebug/AttachInitFailureOwnerNotModel,Se produjo un error de inicialización porque el actor propietario no es CActorModel: %1=129
ActorDebug/AttachMessageCannotSetSiteOps,El mensaje no puede definir las operaciones de sitio especificadas. El responsable es %1.=130
ActorDebug/AttachMessageMustCreateCActorModelOrSubclass,El mensaje creó un CActor que no era del tipo CActorModel. Responsable: %1.=131
ActorDebug/AttachMessageRequiresMethods,El mensaje requiere métodos de anexión para saber cómo anexar el modelo y/o actor especificado. Responsable: %1.=132
ActorDebug/AttachMethodPatternAttachOverflow,AttachMethodPattern; demasiados puntos de anexión para rastrear, ignorando algunos.=133
ActorDebug/AttachMethodProximityAttachOverflow,AttachMethodProximity; demasiados puntos de anexión para clasificar, ignorando algunos.=134
ActorDebug/AttachPropertiesMismatch,Modelo %2 ModeloEnlace[%1]; Propiedades detectadas para punto de anexión %3 que no existe.=135
ActorDebug/AttachQueryFailure,Falló la consulta de anexión. Solicitante %1. Consulta %2.=136
ActorDebug/BaseModelScaleRequiresScale,No se permite heredar la escala del modelo básico sin heredar la escala.=137
ActorDebug/BaselineNoOutroIntroStacking,No se puede tener simultáneamente Secuencia final de caminar y Secuencia inicial de caminar, Introducción con el grupo de propiedades [%1]=138
ActorDebug/BaselineStandIntroTurnMismatch,No tener un juego completo de animaciones de Parado, Inicio, Izquierda y Parado, Inicio, Derecha con el grupo de propiedades [%1]=139
ActorDebug/BaselineStandIntroTurnsMissing,Si el modelo tiene animaciones de Parado, Inicio; Parado, Izquierda; y animaciones de Parado, Derecha con el grupo de propiedades [%1] entonces también debe tener Parado, Inicio, Izquierda y Parado, Inicio, Derecha con ese grupo. Una unidad puede girar mientras está entrando en posición de Parado, por ejemplo si está siguiendo a otra unidad. Se acerca, comienza a ponerse Parado, pero luego debe girar para continuar de frente a lo que está siguiendo.=140
ActorDebug/BaselineStandTurnMismatch,No tener un conjunto completo de animaciones de Parado, Izquierda y Parado, Derecha con el grupo de propiedades [%1]=141
ActorDebug/BaselineStartCannotLoop,No puede tener la animación [%1] marcada como reproducción en bucle.=142
ActorDebug/BaselineWalkIntroTurnMismatch,No tiene un conjunto completo de animaciones de Caminar, Inicio, Izquierda y Caminar, Inicio, Derecha con el grupo de propiedades [%1]=143
ActorDebug/BaselineWalkIntroTurnsMissing,Si el modelo tiene animaciones de Caminar, Inicio; Caminar, Izquierda; y animaciones de Caminar, Derecha, con el grupo de propiedades [%1] entonces también debe tener Caminar, Inicio, Izquierda y Caminar, Inicio, Derecha con ese grupo. Las unidades pueden girar mientras están comenzando a Caminar y esto hará que la unidad abandone Caminar, Inicio si no tiene las animaciones adicionales Caminar, Inicio, Izquierda/Derecha.=144
ActorDebug/BaselineWalkTurnMismatch,No tener un conjunto completo de animaciones de Caminar, Izquierda y Caminar, Derecha con el grupo de propiedades [%1]=145
ActorDebug/BearingsInfiniteLoop,Ciclo de actualización de orientación detectado al empujar la orientación a %1 mediante %2. Acortando para impedir un bucle infinito.=146
ActorDebug/BearingsInfiniteLoopStart,Se detectó un ciclo de actualización de interrelación cuando se empujó la relación a este actor al principio de la percolación o subpercolación. Acortando para impedir un bucle infinito.=147
ActorDebug/BearingsMsgFailedHardAttach,El mensaje %1 falló porque este actor está anexado directamente a otro actor. Los anexos directos tienen prioridad sobre todos los cambios de posición y rotación.=148
ActorDebug/BearingsMsgFailedSiteOpChain,El mensaje %1 falló debido a un error en la cadena siteOp de este actor.=149
ActorDebug/BodySquibModelInvalid,El modelo %1 especificado en el ataque de cuerpo %2 no es válido.=150
ActorDebug/BodySquibSoundInvalid,El sonido %1 especificado en el ataque de cuerpo %2 no es válido.=151
ActorDebug/BoundingSphereSizeZero,Esfera de limitación de tamaño 0.=152
ActorDebug/CActorForceConfiguredToApplyNoForce,Configuración no válida. Este actor tiene una duración 0 y una magnitud de fuerza 0 que no tendría efecto en el mundo.=153
ActorDebug/CActorRefDoesNotExist,CActorRef[%1] no existe.=154
ActorDebug/CModelSetNull,Se obtuvo un modelo NULL al tratar de establecer CModelo[%1].=155
ActorDebug/CanOnlyHaveOneCActorCreep,Solo puede tener un CActorCreep vivo a la vez.=156
ActorDebug/CanOnlyHaveOneCActorScene,Solo puede tener un CActorScene vivo por escena. Este es un actor de sistema y no debería crearse a partir de datos.=157
ActorDebug/CanOnlyHaveOneCActorTerrain,Can only have one live CActorTerrain at a time.=158
ActorDebug/CanOnlyHaveShieldFullWithNoSiteOpAttachVolume,CActorAcción solo admite Escudo - Tipo de destello 'Completo' o 'Ninguno', si no se especificó ningún CActorSiteOpAttachVolume en SiteOps de impacto o daño relevantes.=159
ActorDebug/CanOnlyHostCActorForceOffCActorModels,Solo se pueden desalojar fuerzas locales de CActorModels, dado que necesitan un modelo para accionar a fin de que suceda algo.=160
ActorDebug/CanOnlyHostCActorImpulseOffCActorModels,Solo se pueden desalojar impulsos locales de CActorModels, dado que necesitan un modelo para accionar a fin de que suceda algo.=161
ActorDebug/CannotAcquireImpactSource,No se puede encontrar la fuente de impacto de anfitrión en este actor.=162
ActorDebug/CannotAcquireReceiverCActorModel,El actor de física no puede encontrar un receptor CActorModel sobre el cual aplicar su fuerza o impulso local.=163
ActorDebug/CannotAddFileAlias,No se puede agregar el alias de archivo %1 con la ranura %2 y la ruta de archivo %3.=164
ActorDebug/CannotAddSiteOps,Cannot add site ops on host %1.=165
ActorDebug/CannotBeSaveLoadSuppressed,No se puede marcar como SaveLoadSuppressed.=166
ActorDebug/CannotClearBaseline,No se puede borrar la base.=167
ActorDebug/CannotClearClonedProp,No se puede borrar una propiedad u objeto de propiedad clonado. Borra el valor establecido por el cliente que está más arriba en la jerarquía que se coló hasta el clon.=168
ActorDebug/CannotClearInternalProp,No se puede borrar una propiedad creada y usada internamente por el sistema.=169
ActorDebug/CannotClearMissingLabel,No se pudo encontrar la propiedad o el objeto de propiedad con la etiqueta %1.=170
ActorDebug/CannotClearMissingProp,No se puede borrar el tipo de propiedad  %1. Falta esta propiedad.=171
ActorDebug/CannotClearPropGeneric,Error inespecífico al borrar la propiedad %1.=172
ActorDebug/CannotClearPropMissingExternals,No hay propiedades establecidas por el usuario del tipo %1 para borrar.=173
ActorDebug/CannotCopyActor,No se pudo copiar el actor. Culpable: %1.=174
ActorDebug/CannotCreateActor,No se puede crear un actor en alcances diferentes a los del solicitante a menos que el solicitante haya sido creado por un efecto. Solicitante: %1=175
ActorDebug/CannotCreateActorBadLink,No se puede crear un actor con la entrada de catálogo de actores %1.=176
ActorDebug/CannotCreateActorForAttach,No se puede crear un actor para anexar. Responsable: %1.=177
ActorDebug/CannotCreateActorSiteOpWithCreateMsg,No se puede crear un siteOp directamente con el actor Create message porque el siteOp debe existir dentro del contexto de una cadena siteOp. Responsable: %1.=178
ActorDebug/CannotCreateActorUnitWithoutUnit,No se puede crear un CActorUnit fuera del CActorScope de CUnit subyacente. Intenta crear el actor dentro del CActorScope de una unidad viva o bien crear un CAactorModel.=179
ActorDebug/CannotCreateCBeamAsync,No se pudo crear CRayoAsínc[%1].=180
ActorDebug/CannotCreateFromSystemActor,No se puede crear desde una referencia de actor de sistema. Solicitante: %1=181
ActorDebug/CannotCreateSnapshot,No se pudo crear CActorSnapshot[%1].=182
ActorDebug/CannotFindCreepHeightClass,No se pudo encontrar una clase de altura de talo [%1] en este actor ni en ninguno de sus primarios. Se necesita la clase de altura para usar los valores implícitos de ajuste y de altura envolvente del talo.=183
ActorDebug/CannotFindCreepMaterial,No se pudo encontrar material de talo.  ¿Falta un recurso?=184
ActorDebug/CannotFindEffect,=185
ActorDebug/CannotFindMatchingTexture,%1 %2; No se pudo encontrar la textura coincidente para el casillero %3 desde el casillero %4.=186
ActorDebug/CannotFindNonzeroShieldRadius,No se pudo encontrar el radio de escudo > 0 en %1 con el modelo %2.=187
ActorDebug/CannotFindShieldImpact,No se pudo encontrar un actor CActorEscudoImpacto dentro del alcance contenedor.=188
ActorDebug/CannotFindSlot,No se pudo encontrar el casillero %1.=189
ActorDebug/CannotFindSlotMapping,%1; No hay mapeo para la ranura %2.=190
ActorDebug/CannotFindSourceTexture,%1 %2; No se pudo encontrar la textura de origen con el casillero %3.=191
ActorDebug/CannotFindTextureByFileAlias,%1 %2; no se pudo encontrar la textura con el alias de archivo %3.=192
ActorDebug/CannotFindTextureById,%1 %2; no se pudo encontrar la textura con el ID %3.=193
ActorDebug/CannotFindTextureBySlot,%1 %2; No se pudo encontrar la textura con el casillero %3 y la expresión %4.=194
ActorDebug/CannotHaveNestedDeathGroups,CActorUnit[%1]; El grupo de datos personalizados de muerte %2 tiene un miembro %3 que es un grupo de datos en sí mismo, lo que no está permitido.=195
ActorDebug/CannotHostActor,=196
ActorDebug/CannotHostAgain,Intento de desalojar %1, que ya está desalojado de aquí (aunque quizá no directamente).=197
ActorDebug/CannotHostAgainCleared,Intento de desalojar %1, que ya está desalojado de aquí (aunque quizá no directamente). Anfitrión borrado.=198
ActorDebug/CannotHostSelf,No se puede desalojar a sí mismo. El responsable es %1.=199
ActorDebug/CannotHostSelfSiteOps,No se puede desalojar a sí mismo. El responsable es %1 en %2.=200
ActorDebug/CannotInheritDeath,CActorUnit[%1]; La muerte %2 no puede heredar de la muerte %3. Solo puede heredar de muertes inicializadas exitosamente en la lista de muertes.=201
ActorDebug/CannotInitializeHost,No se pudo inicializar el anfitrión.=202
ActorDebug/CannotInitializeHostedAttachDueToQuery,No se pudo inicializar la anexión alojada %1. La consulta no arrojó ningún punto de anexión.=203
ActorDebug/CannotInitializeHostedAttachDueToSiteOps,No se pudo inicializar la anexión alojada %1. No se pudo inicializar siteOps.=204
ActorDebug/CannotInitializeHostedAttachDueToUpdateBearings,No se pudo inicializar la anexión alojada %1. No se pudo actualizar la relación.=205
ActorDebug/CannotMonitorStates,No se puede supervisar más de %1 estados.=206
ActorDebug/CannotOverrideAndInheritDeathSimultaneously,CActorUnit[%1]; no se puede reemplazar muerte %2 y heredar de muerte %3 simultáneamente.=207
ActorDebug/CannotOverrideDeathAndHaveMembers,CActorUnit[%1]; El grupo de datos personalizados de muerte %2 no puede reemplazar la muerte del mismo nombre mientras también tiene miembros.=208
ActorDebug/CannotParseActorMessage,No se pudo analizar el mensaje del actor [%1].=209
ActorDebug/CannotParseActorTerm,No se pudo analizar el término del actor [%1].=210
ActorDebug/CannotPopulateValidLinkOnMsgTextureSelectByUpdateLink,El intento de llenar CActorMsgTextureSelectByUpdateLink con el enlace [%1] ha fallado porque el enlace no es válido.=211
ActorDebug/CannotReattachBeam,No se pudo reanexar el rayo durante el intercambio de modelo a %1.=212
ActorDebug/CannotRemoveSiteOps,Cannot remove site ops on host %1.=213
ActorDebug/CannotResolveActor,Mensaje %1: No se puede resolver el actor a partir del nombre de referencia %2.=214
ActorDebug/CannotRouteMessage,No hay efecto creador, no se pueden enrutar correctamente los mensajes internos.=215
ActorDebug/CannotSelectTextureBadLink,No se puede seleccionar la textura con la entrada de catálogo de texturas [%1].=216
ActorDebug/CannotSetContinuousPhysics,Intento de configurar la física para que funcione continuamente en un CModelo[%1], que no tiene física integrada.=217
ActorDebug/CannotSetSiteOps,No se pueden asignar las operaciones del lugar al anfitrión %1.=218
ActorDebug/CannotSpawnActor,EstablecerEngendraciónConsultada; No se puede engendrar el actor %1.=219
ActorDebug/CannotSpawnBeam,No se puede engendrar el rayo en el alcance %1.=220
ActorDebug/CannotSpawnFoliageFX,No se pudo engendrar el FX de follaje. Actor[%1].=221
ActorDebug/CannotSupersedeSelf,El grupo de datos de muerte %1 no puede sustituirse a sí mismo en la entrada de actor %2.=222
ActorDebug/CannotUseSourceNarrowing,No se puede usar reducción de origen (como Requerir o Excluir) sobre un mensaje que envía un mensaje diferente a 'Crear'. %1=223
ActorDebug/CannotUseSourceNarrowingWithName,No se puede usar la reducción de origen (como Requerir o Excluir) en un mensaje con un nombre de origen específico. %1=224
ActorDebug/CannotUseSourceNarrowingWithoutUnit,No se puede usar reducción de origen (como Requerir o Excluir) sobre un mensaje enviado desde cualquier punto que no sea una unidad. %1=225
ActorDebug/CannotWithdrawActor,No hay efecto creador, no se puede retirar al actor del enrutamiento de mensajes internos.=226
ActorDebug/CreateCannotRegisterTerm,Contiene Crear con términos que no se pueden registrar: Términos[%1].=227
ActorDebug/CreatedWithoutUnit,Creado en el alcance sin unidad; es decir sin anfitrión. Eliminando.=228
ActorDebug/CustomDeathMissingPriority,Se ignora la muerte personalizada %1 en la entrada %2 porque falta su prioridad de muerte. Para resolver este problema, agregue un elemento DeathCustomPriorityList para esta muerte al actor CActorGlobalConfig pertinente.=229
ActorDebug/CustomPortrait,RETRATO PERSONALIZADO=230
ActorDebug/CutsceneBadFilter,El mensaje %1 requiere un nombre de filtro válido.=231
ActorDebug/CutsceneBookmarkDoesNotExist,El marcador %1 no existe en la escena %2.=232
ActorDebug/CutsceneBookmarkNameRequired,El mensaje CutsceneGoToBookmark requiere un nombre de marcador válido.=233
ActorDebug/CutsceneCannotPlay,No se puede reproducir la escena %1.=234
ActorDebug/CutsceneStepBookmarkNext,No se puede pasar al próximo marcador.=235
ActorDebug/CutsceneStepBookmarkPrev,No se volver al marcador anterior.=236
ActorDebug/DamagePhysicsArrivedBeforeAction,Error de configuración de datos. El mensaje de ActionDamagePhysics llegó antes de que %1 haya comenzado.=237
ActorDebug/DeathGroupContainsInvalidDeath,CActorUnit[%1]; El grupo de datos personalizados de muerte %2 hace referencia a una muerte no válida %3, que no existe.=238
ActorDebug/EffectLinkRedundant,Es redundante especificar un enlace de efecto con esta palabra clave; el destino es el alcance del árbol de efectos. Solicitante: %1=239
ActorDebug/ErrorCannotInheritScale,No se puede heredar la escala.=240
ActorDebug/EventMacroRunnableInvalid,The specified CActorEventMacroRunnable[%1] is invalid.=241
ActorDebug/EventWithInvalidMsg,Posee un evento con un término de mensaje no válido. %1=242
ActorDebug/EventWithInvalidSend,Posee un evento con el campo Enviar no válido. %1=243
ActorDebug/EventWithoutTrigger,Posee un evento sin un mensaje disparador. %1=244
ActorDebug/GamePortrait,RETRATO DEL JUEGO=245
ActorDebug/GlazeFailed,=246
ActorDebug/HostSetSiteOpsDoesNotSupportLiveHardAttaches,Los mensajes HostSetSiteOps no establecen siteOps sobre un actor que fue anexado directamente. Se deben usar anexos suaves. El responsable es %1.=247
ActorDebug/HoverTarget,SOBREVOLAR OBJETIVO=248
ActorDebug/ImpactArrivedBeforeAction,Error en la configuración de datos. El mensaje AcciónImpacto llegó antes de que comenzara %1.=249
ActorDebug/ImpactMonitorCouldNotFindTAV,No se puede inicializar completamente el monitor de impacto. No se pudo encontrar el volumen de anexión del objetivo (TAV) en la id. de anexión [%1] sobre el objetivo: %2. Sin embargo, el modelo del objetivo tiene TAV en otros puntos de anexión. Para resolver este error, se debe configurar el ataque para que encuentre con éxito los TAV del objetivo, o no usar CActorSiteOpAttachVolume si el ataque no necesita utilizar TAV.=250
ActorDebug/ImpactPhysicsArrivedBeforeAction,Data configuration error; ActionImpactPhysics message arrived before %1 commenced.=251
ActorDebug/ImpactSourceMustBeCActorAction,La fuente de impacto %1 debe ser un actor del tipo CActorAction.=252
ActorDebug/InitialBearings,Inicial=253
ActorDebug/InnateTextureClash,En mensaje %1, ModelLink[%2] Modelo %3; La textura innata %4 se está asignando al casillero[%5] que ya está asignado a la textura innata %6. No se puede tener dos texturas diferentes asignadas al mismo casillero simultáneamente.=254
ActorDebug/InvalidAttachMethod,Método de anexión %1 no válido en %2.=255
ActorDebug/InvalidAttachMethodUnavailable,Método de anexión [No disponible] no válido en %1.=256
ActorDebug/InvalidBlendDuration,Esta operación requiere DuraciónFundido > 0.0 para tener efecto.=257
ActorDebug/InvalidCreepHeightClassValue,Valor no válido en clase de altura de talo %1. Los valores deben ser >= 0.=258
ActorDebug/InvalidDeath,CActorUnit[%1]; El grupo de datos personalizados de muerte %2 hace referencia a una muerte inexistente.=259
ActorDebug/InvalidEffectParams,CActorAcción se debe crear con parámetros de efecto válidos.=260
ActorDebug/InvalidLink,Enlace no válido=261
ActorDebug/InvalidModelBounds,=262
ActorDebug/InvalidModelVariation,%1 %2; Variación %3 no válida. Todas las variaciones deben tener el mismo número de anexiones.=263
ActorDebug/InvalidPortraitActor,Actor de retrato %1 no válido.=264
ActorDebug/InvalidPortraitActorCustomization,El mensaje RetratoPersonalizar tiene el actor de retrato no válido %1.=265
ActorDebug/InvalidPortraitCamera,Cámara de retrato %1 no válida.=266
ActorDebug/InvalidPortraitModel,Modelo de retrato %1 no válido.=267
ActorDebug/InvalidPortraitModelCustomization,El mensaje RetratoPersonalizar tiene el modelo de retrato no válido %1.=268
ActorDebug/InvalidRequest,Tiene una solicitud no válida: Tema[%1].=269
ActorDebug/InvalidShieldAttach,No se pudo encontrar e_attachShield o una anexión de escudo dinámica en la unidad %1 con el modelo %2.=270
ActorDebug/InvalidShieldRadius,Radio de escudo no válido. Escala con componente 0 en unidad %1 con modelo %2.=271
ActorDebug/InvalidSiteOp,Op de sitio [%1] no válida.=272
ActorDebug/InvalidSiteOpHost,Op de sitio [%1] no válida de Host[%1].=273
ActorDebug/InvalidSiteOpLink,Enlace siteOp no válido=274
ActorDebug/LightInvalidModel,Modelo no válido en CActorLight.  Responsable: %1.=275
ActorDebug/LookAtCannotCreateActor,%1: No se puede crear una visualización de actor para el origen %2.=276
ActorDebug/LookAtCouldNotAcquireTarget,No se puede adquirir un objetivo de la fuente %1.=277
ActorDebug/LookAtDumpTurrets,torretas:=278
ActorDebug/LookAtDumpTurretsNone,-- Ninguna --=279
