Actor/EditorSuffix/GuideVisualQuadSplat,=0
Actor/Name/BeamSimpleAnimationStyleContinuous,Rayo simple - Estilo de animación continuo=47
Actor/Name/BeamSimpleAnimationStyleContinuousClosingFull,BeamSimpleAnimationStyleContinuousClosingFull=48
Actor/Name/BeamSimpleAnimationStyleOneShot,Rayo simple - Estilo de animación único=49
Actor/Name/BeamStandard,Rayo estándar=50
Actor/Name/BeamStandardAnimationStyleContinuous,Rayo estándar - Estilo de animación continuo=51
Actor/Name/BeamStandardAnimationStyleOneShot,Rayo estándar - Estilo de animación único=52
Actor/Name/BlipVisual,SeñalVisual=53
Actor/Name/BuffContinuous,PotenciaciónContinua=54
Actor/Name/BuffOneShot,PotenciaciónÚnico=55
Actor/Name/BuildingFlattenTerrainMacro,Edificación terran aplanar - Macro=56
Actor/Name/BuildingTerrainFlatten,Edificación terran aplanar=57
Actor/Name/BuildingTerrainFlattenEditor,Edificación terran aplanar - Editor=58
Actor/Name/BuildingTerrainFlattenInstant,Edificación terran aplanar - Instante=59
Actor/Name/BurrowedSplat,EnterradoFiguraPlana=60
Actor/Name/BurrowedSplatBase,EnterradoFiguraPlanaBase=61
Actor/Name/CActor,CActor=62
Actor/Name/CActorArc,CActorArc=63
Actor/Name/CActorBase,CActorBase=64
Actor/Name/CActorBeam,CActorRayo=65
Actor/Name/CActorBeamStandard,CActorBeamStandard=66
Actor/Name/CActorBearings,CActorOrientación=67
Actor/Name/CActorCamera,CActorCamera=68
Actor/Name/CActorDoodad,CActorAccesorio=69
Actor/Name/CActorForce,CActorForce=70
Actor/Name/CActorForceSphere,CActor - Fuerza - Esfera=71
Actor/Name/CActorLightModel,CActorLightModel=72
Actor/Name/CActorLightOmni,CActorLightOmni=73
Actor/Name/CActorLightSpot,CActorLightSpot=74
Actor/Name/CActorLookAt,CActorLookAt=75
Actor/Name/CActorModel,CActorModelo=76
Actor/Name/CActorPortrait,CActorPortrait=77
Actor/Name/CActorPower,CActorPoder=78
Actor/Name/CActorProgress,CActorProgreso=79
Actor/Name/CActorQuad,CActorQuad=80
Actor/Name/CActorRange,CActorRange=81
Actor/Name/CActorSelection,CActorSelección=82
Actor/Name/CActorSetQueried,CActorEstablecerConsultado=83
Actor/Name/CActorShadow,CActorSombra=84
Actor/Name/CActorShieldImpact,CActorEscudoImpacto=85
Actor/Name/CActorSite,CActorSitio=86
Actor/Name/CActorSiteHosted,CActorSitioAlojado=87
Actor/Name/CActorSiteOpAttach,CActorSiteOpAttach=88
Actor/Name/CActorSiteOpBankerUnit,CActorSiteOpBankerUnit=89
Actor/Name/CActorSiteOpRandomPointInCircle,CActorSiteOpRandomPointInCircle=90
Actor/Name/CActorSound,CActorSonido=91
Actor/Name/CActorSplat,CActorFiguraPlana=92
Actor/Name/CActorSquib,CActorSquib=93
Actor/Name/CActorStateMonitor,CActorStateMonitor=94
Actor/Name/CActorTerrainDeformer,CActorTerrainDeformer=95
Actor/Name/CActorText,CActorTexto=96
Actor/Name/CActorTurret,CActorTorreta=97
Actor/Name/CActorUnit,=98
Actor/Name/CameraTest,Prueba de cámara=99
Actor/Name/CliffLocalFlashingSelection,Risco - Local - Selección destellante=100
Actor/Name/CliffLocalSelection,RiscoLocalSelección=101
Actor/Name/CliffPreSelection,RiscoPreselección=102
Actor/Name/CliffSyncFlashingSelection,Risco - Sinc - Selección destellante=103
Actor/Name/CliffSyncSelection,RiscoSincronizaciónSelección=104
Actor/Name/CommandUIHarness,ComandoInterfazUtilizable=105
Actor/Name/Confirmation,Confirmación=106
Actor/Name/ConfirmationLocalAir,ConfirmaciónLocalAire=107
Actor/Name/ConfirmationLocalAirAttack,Confirmación - Ataque aéreo local=108
Actor/Name/ConfirmationLocalGround,ConfirmaciónLocalTierra=109
Actor/Name/ConfirmationLocalGroundAttack,Confirmación - Ataque terrestre local=110
Actor/Name/ConfirmationSyncAir,ConfirmaciónSincronizaciónAire=111
Actor/Name/ConfirmationSyncAirAttack,Confirmación - Ataque aéreo sincronizado=112
Actor/Name/ConfirmationSyncGround,ConfirmaciónSincronizaciónTierra=113
Actor/Name/ConfirmationSyncGroundAttack,Confirmación - Ataque terrestre sincronizado=114
Actor/Name/CursorModel,Modelo de cursor=115
Actor/Name/CursorRegion,Región de cursor=116
Actor/Name/CursorSplat,Figura plana de cursor=117
Actor/Name/CutsceneCameraModel,Escena - Modelo de cámara=118
Actor/Name/CutsceneLightOmniModel,Escena - Modelo de luz omni=119
Actor/Name/CutsceneLightSpotModel,Escena - Modelo de luz puntual=120
Actor/Name/DeadAnimationMacro,MuertoAnimaciónMacro=121
Actor/Name/DeadAnimationRemoveMacro,Muerto - Animación - Quitar macro=122
Actor/Name/DestructibleUnitStandard,DestruibleUnidadEstándar=123
Actor/Name/DoodadDeathMacro,Accesorio muerte macro=124
Actor/Name/DoodadDeathMacroB,Accesorio muerte macro=125
Actor/Name/EditorCamera,EditorCámara=126
Actor/Name/EditorHelper,Ayudante del editor=127
Actor/Name/EditorSelection,Selección del editor=128
Actor/Name/EditorUnitOverheadText,Editor - Texto sobre unidad=129
Actor/Name/EventCustom,Evento personalizado=130
Actor/Name/EventFootprint,Evento - Huella=131
Actor/Name/EventSound,EventoSonido=132
Actor/Name/EventSoundFromData,Sonido de evento de datos=133
Actor/Name/EventSpawn,EventoEngendración=134
Actor/Name/EventSplat,EventoFiguraPlana=135
Actor/Name/ExplosionAttackDeathImpulse,Explosión - Ataque - Muerte - Impulso=136
Actor/Name/ExplosionAttackForce,Ataque de explosión - Fuerza=137
Actor/Name/ExplosiveRangedAttackDeathForce,Ataque explosivo a distancia - Muerte - Fuerza=138
Actor/Name/ExplosiveRangedAttackDeathImpulse,Explosión - Ataque a distancia - Muerte - Impulso=139
Actor/Name/FlashingSelection,IntermitenteSelección=140
Actor/Name/FlyerHelperBeam,Ayuda de unidades voladoras - Rayo=141
Actor/Name/FlyerHelperSplat,Ayuda de unidades voladoras - Figura plana=142
Actor/Name/FlyerLocalSelection,FlyerLocalSelection=143
Actor/Name/FlyerPreSelection,UnidadVoladoraPreselección=144
Actor/Name/FlyerShadow,UnidadVoladoraSombra=145
Actor/Name/FlyerSyncSelection,UnidadVoladoraSincronizaciónSelección=146
Actor/Name/FoliageFXDefault,Follaje FXDefault=147
Actor/Name/FoliageFXSpawnerDefault,Follaje FXSpawner predeterminado=148
Actor/Name/GenericAttack,GenéricoAtaque=149
Actor/Name/GenericAttackBase,GenéricoAtaqueBase=150
Actor/Name/GenericAttackBeam,GenéricoAtaqueRayo=151
Actor/Name/GenericAttackDamageModel,Daño de ataque genérico - Modelo=152
Actor/Name/GenericAttackDamageModelReaction,Daño de ataque genérico - Modelo - Reacción=153
Actor/Name/GenericAttackDamageSite,GenéricoAtaqueDañoLugar=154
Actor/Name/GenericAttackDamageSound,Daño de ataque genérico - Sonido=155
Actor/Name/GenericAttackDamageTerrainSquibModel,Ataque genérico - Daño - Modelo de ataque de terreno=156
Actor/Name/GenericAttackDamageTerrainSquibSound,Ataque genérico - Daño - Sonido de ataque de terreno=157
Actor/Name/GenericAttackImpactFallbackSite,Impacto de ataque genérico - Lugar de reserva=158
Actor/Name/GenericAttackImpactModel,Impacto de ataque genérico - Modelo=159
Actor/Name/GenericAttackImpactModelReaction,Impacto de ataque genérico - Modelo - Reacción=160
Actor/Name/GenericAttackImpactMonitor,GenéricoAtaqueImpactoMonitor=161
Actor/Name/GenericAttackImpactPointSite,Impacto de ataque genérico - Lugar de punto=162
Actor/Name/GenericAttackImpactSite,GenéricoAtaqueImpactoLugar=163
Actor/Name/GenericAttackImpactSiteBase,GenéricoAtaqueImpactoLugarBase=164
Actor/Name/GenericAttackImpactSiteFacer,GenéricoAtaqueImpactoLugarFrente=165
Actor/Name/GenericAttackImpactSiteHeader,GenéricoAtaqueImpactoLugarEncabezado=166
Actor/Name/GenericAttackImpactSitePoint,GenéricoAtaqueImpactoLugarPunto=167
Actor/Name/GenericAttackImpactSiteStander,GenéricoAtaqueImpactoLugarSoporte=168
Actor/Name/GenericAttackImpactSound,Impacto de ataque genérico - Sonido=169
Actor/Name/GenericAttackImpactTerrainSquibModel,Ataque genérico - Impacto - Modelo de ataque de terreno=170
Actor/Name/GenericAttackImpactTerrainSquibSound,Ataque genérico - Impacto - Sonido de ataque de terreno=171
Actor/Name/GenericAttackLaunchFallbackSite,GenéricoAtaqueLanzamientoReservaSitio=172
Actor/Name/GenericAttackLaunchModel,Lanzamiento de ataque genérico - Modelo=173
Actor/Name/GenericAttackLaunchSite,GenéricoAtaqueLanzamientoLugar=174
Actor/Name/GenericAttackLaunchSiteFacer,GenéricoAtaqueLanzamientoLugarFrente=175
Actor/Name/GenericAttackLaunchSound,Lanzamiento de ataque genérico - Sonido=176
Actor/Name/GenericAttackLaunchTerrainSquibModel,Ataque genérico - Lanzamiento - Modelo de ataque de terreno=177
Actor/Name/GenericAttackLaunchTerrainSquibSound,Ataque genérico - Lanzamiento - Sonido de ataque de terreno=178
Actor/Name/GenericAttackMissile,GenéricoAtaqueMisil=179
Actor/Name/GenericAttackMissileWithDeathAnim,=180
Actor/Name/GenericAttackModel,GenéricoAtaqueModelo=181
Actor/Name/GenericAttackNoCreateBase,Ataque genérico - No crear base=182
Actor/Name/GenericAttackSet,GenéricoAtaqueEstablecer=183
Actor/Name/GenericAttackSound,GenéricoAtaqueSonido=184
Actor/Name/GenericPhysicsDriver,GenéricoFísicaControlador=185
Actor/Name/GenericPhysicsHarness,GenéricoFísicaUtilizable=186
Actor/Name/GenericTentacleMissile,Misil de tentáculo genérico=187
Actor/Name/GenericUnitBase,GenéricoUnidadBase=188
Actor/Name/GenericUnitBaseMorphTransition,GenéricoUnidadBaseTransformaciónTransición=189
Actor/Name/GenericUnitBaseNoAutoSoundLinks,GenericUnitBaseNoAutoSoundLinks=190
Actor/Name/GenericUnitCritter,Unidad genérica - Criatura=191
Actor/Name/GenericUnitEmpty,=192
Actor/Name/GenericUnitFallback,Unidad genérica de reserva=193
Actor/Name/GenericUnitMinimal,GenéricoUnidadMínimo=194
Actor/Name/GenericUnitMorph,GenéricoUnidadTransformación=195
Actor/Name/GenericUnitSelectable,GenéricoUnidadSeleccionable=196
Actor/Name/GenericUnitSelectableNoAutoSoundLinks,GenericUnitSelectableNoAutoSoundLinks=197
Actor/Name/GenericUnitSplat,GenéricoUnidadFiguraPlana=198
Actor/Name/GenericUnitSplatBase,GenéricoUnidadFiguraPlanaBase=199
Actor/Name/GenericUnitStandard,GenéricoUnidadEstándar=200
Actor/Name/GenericUnitStandardNoAutoSoundLinks,GenericUnitStandardNoAutoSoundLinks=201
Actor/Name/GlobalLoopMacro,GlobalBucleMacro=202
Actor/Name/GlobalLoopMacroMore,Bucle global- Macro más=203
Actor/Name/GlobalLoopMacroMoreRemove,Bucle global- Macro más - Quitar=204
Actor/Name/GlobalLoopMacroRemove,Bucle global- Macro - Quitar=205
Actor/Name/GroundLocalFlashingSelection,Tierra - Local - Selección destellante=206
Actor/Name/GroundLocalSelection,TierraLocalSelección=207
Actor/Name/GroundPreSelection,TierraPreselección=208
Actor/Name/GroundShadow,TierraSombra=209
Actor/Name/GroundSyncFlashingSelection,Tierra - Sinc - Selección destellante=210
Actor/Name/GroundSyncSelection,TierraSincronizaciónSelección=211
Actor/Name/GuideRegion,Guía - Región=212
Actor/Name/GuideRegionAdd,Guía - Región - Agregar=213
Actor/Name/GuideRegionArc,Guía - Región - Arco=214
Actor/Name/GuideRegionCircle,Guía - Región - Círculo=215
Actor/Name/GuideRegionClosest,Guía - Región - Más próxima=216
Actor/Name/GuideRegionNormal,Guía - Región - Normal=217
Actor/Name/GuideRegionQuadDown,Guía - Región - Cuadrante inferior=218
Actor/Name/GuideRegionQuadDownClosest,Guía - Región - Cuadrante inferior - Más próximo=219
Actor/Name/GuideRegionQuadDownDetached,Guía - Región - Cuadrante inferior - Separado=220
Actor/Name/GuideRegionQuadDownScaled,Guía - Región - Cuadrante inferior - En escala=221
Actor/Name/GuideRegionQuadDownScaledClosest,Guía - Región - Cuadrante inferior - En escala - Más próximo=222
Actor/Name/GuideRegionQuadPerpendicular,Guía - Región - Cuadrante perpendicular=223
Actor/Name/GuideRegionRemove,Guía - Región - Quitar=224
Actor/Name/GuideRegionScaled,Guía - Región - En escala=225
Actor/Name/GuideRegionScaledClosest,Guía - Región - En escala - Más próxima=226
Actor/Name/GuideVisualArc,Guía - Visual - Arco=227
Actor/Name/GuideVisualCircle,Guía - Visual - Círculo=228
Actor/Name/GuideVisualQuad,Guía - Visual - Cuadrante=229
Actor/Name/GuideVisualQuadCenter,Guía - Visual - Cuadrante central=230
Actor/Name/GuideVisualQuadDown,Guía - Visual - Cuadrante inferior=231
Actor/Name/GuideVisualQuadDownClosest,Guía - Visual - Cuadrante inferior - Más próxima=232
Actor/Name/GuideVisualQuadDownDetached,Guía - Visual - Cuadrante inferior - Separado=233
Actor/Name/GuideVisualQuadDownScaled,Guía - Visual - Cuadrante inferior - En escala=234
Actor/Name/GuideVisualQuadDownScaledClosest,Guía - Visual - Cuadrante inferior - En escala - Más próxima=235
Actor/Name/GuideVisualQuadImpact,Guía - Visual - Cuadrante - Impacto=236
Actor/Name/GuideVisualQuadLaunch,Guía - Visual - Cuadrante - Lanzamiento=237
Actor/Name/GuideVisualQuadModel,Guía - Visual - Cuadrante - Modelo=238
Actor/Name/GuideVisualQuadPerpendicular,Guía - Visual - Cuadrante perpendicular=239
Actor/Name/GuideVisualQuadSplat,=240
Actor/Name/GuideVisualQuadSplatCenter,=241
Actor/Name/GuideVisualQuadSplatDown,=242
Actor/Name/GuideVisualQuadSplatDownClosest,=243
Actor/Name/GuideVisualQuadSplatDownDetached,=244
Actor/Name/GuideVisualQuadSplatDownScaled,=245
Actor/Name/GuideVisualQuadSplatDownScaledClosest,=246
Actor/Name/GuideVisualQuadSplatImpact,=247
Actor/Name/GuideVisualQuadSplatLaunch,=248
Actor/Name/GuideVisualQuadSplatModel,=249
Actor/Name/GuideVisualQuadSplatPerpendicular,=250
Actor/Name/HerdSound,Sonido de manada=251
Actor/Name/Indicator,Indicador=252
Actor/Name/IndicatorBase,IndicadorBase=253
Actor/Name/IndicatorBlack,IndicadorNegro=254
Actor/Name/IndicatorBlue,IndicadorAzul=255
Actor/Name/IndicatorGreen,IndicadorVerde=256
Actor/Name/IndicatorMissilePhaseChange,Indicador - Cambio de fase de misil /// Indicator Missile Phase Change=257
Actor/Name/IndicatorRed,IndicadorRojo=258
Actor/Name/IndicatorSticky,=259
Actor/Name/LightOmni,Luz omni=260
Actor/Name/LightOmniBlue,Luz omni azul=261
Actor/Name/LightOmniBlueLarge,Luz omni azul grande=262
Actor/Name/LightOmniCyan,Luz omni cian=263
Actor/Name/LightOmniCyanLarge,Luz omni cian grande=264
Actor/Name/LightOmniGreen,Luz omni verde=265
Actor/Name/LightOmniGreenLarge,Luz omni verde grande=266
Actor/Name/LightOmniOrange,Luz omni anaranjada=267
Actor/Name/LightOmniOrangeLarge,Luz omni anaranjada grande=268
Actor/Name/LightOmniPurple,Luz omni púrpura=269
Actor/Name/LightOmniPurpleLarge,Luz omni púrpura grande=270
Actor/Name/LightOmniRed,Luz omni roja=271
Actor/Name/LightOmniRedLarge,Luz omni roja grande=272
Actor/Name/LightOmniWhite,Luz omni blanca=273
Actor/Name/LightOmniWhiteLarge,Luz omni blanca grande=274
Actor/Name/LightOmniYellow,Luz omni amarilla=275
Actor/Name/LightOmniYellowLarge,Luz omni amarilla grande=276
Actor/Name/LightSpot,Luz puntual=277
Actor/Name/List,Lista=278
Actor/Name/ListTinter,ListaColoreador=279
Actor/Name/LocalFlashingSelection,LocalIntermitenteSelección=280
Actor/Name/LocalSelection,LocalSelección=281
Actor/Name/LookAt,Mirar a=282
Actor/Name/LookAtTarget,Mirar a Objetivo=283
Actor/Name/MapTemplate,Plantilla de mapa=284
Actor/Name/MeleeAttackDeathImpulse,Ataque melé - Muerte - Impulso=285
Actor/Name/MeleeAttackForce,Ataque melé - Fuerza=286
Actor/Name/MeleePhysicRandomizer,Física melé - Sector aleatorio=287
Actor/Name/MissileAttackDeathForce,Ataque de misil - Muerte - Fuerza=288
Actor/Name/MissileAttackDeathImpulse,Ataque de misil - Muerte - Impulso=289
Actor/Name/Model,Modelo=290
Actor/Name/ModelAddition,ModeloAgregado=291
Actor/Name/ModelAdditionHarness,Adición de modelo utilizable=292
Actor/Name/ModelAdditionNoAnims,Modelo - Adición - Sin animación=293
Actor/Name/ModelAdditionStatic,ModeloAgregadoEstático=294
Actor/Name/ModelAnimationStyleContinuous,ModeloAnimaciónEstiloContinuo=295
Actor/Name/ModelAnimationStyleContinuousUNIT,=296
Actor/Name/ModelAnimationStyleOneShot,ModeloAnimaciónEstiloÚnico=297
Actor/Name/ModelAnimationStyleOneShotNoOrphan,ModeloAnimaciónEstiloÚnicoSinHuérfanos=298
Actor/Name/ModelAnimationStyleOneShotUNIT,=299
Actor/Name/ModelConstruction,Modelo - Construcción=300
Actor/Name/ModelHosted,ModeloAlojado=301
Actor/Name/ModelHostedInheritVisibility,=302
Actor/Name/ModelNoAnims,=303
Actor/Name/ModelOneShot,ModeloÚnico=304
Actor/Name/ModelPlaceholder,ModeloMarcadorPosición=305
Actor/Name/ModelPretarget,ModeloPrefocalización=306
Actor/Name/ModelPretargetAir,ModeloPrefocalizaciónAire=307
Actor/Name/ModelPretargetGround,ModeloPrefocalizaciónTierra=308
Actor/Name/ModelRagdoll,Modelo - Ragdoll=309
Actor/Name/NanniteCreationMacro,Creación nannite - Macro=310
Actor/Name/PathingBlocker,Bloqueador de senderos=311
Actor/Name/PhysicsImpactHarness,Impacto de física utilizable=312
Actor/Name/PhysicsImpactSound,Sonido de impacto de física=313
Actor/Name/PhysicsWaterBloodSlickHarness,Física - Agua - Sangre - Superficie resbaladiza - Utilizable=314
Actor/Name/PlaceholderBase,MarcadorPosiciónBase=315
Actor/Name/PlaceholderModel,Modelo de marcador de posición=316
Actor/Name/PlacementModel,Modelo de emplazamiento=317
Actor/Name/PlacementSound,Sonido de emplazamiento=318
Actor/Name/PointBlockPathing,PuntoBloquearSenderos=319
Actor/Name/PointBlockPathingEditor,PuntoBloquearSenderosEditor=320
Actor/Name/PointBlockPathingName,PuntoBloquearSenderosNombre=321
Actor/Name/PointBlockPathingNameSite,PointBlockPathingNameSite=322
Actor/Name/PointNoFlyZone,Punto - Zona de vuelo prohibido=323
Actor/Name/PointNoFlyZoneEditor,Punto - Zona de vuelo prohibido - Editor=324
Actor/Name/PointNoFlyZoneName,Punto - Zona de vuelo prohibido - Nombre=325
Actor/Name/PointNormal,PuntoNormal=326
Actor/Name/PointNormalEditor,PuntoNormalEditor=327
Actor/Name/PointNormalName,PuntoNormalNombre=328
Actor/Name/PointNormalNameSite,PuntoNormalNombreSitio=329
Actor/Name/PointSoundEmitter,PuntoSonidoEmisor=330
Actor/Name/PointSoundEmitterEditor,PointSoundEmitterEditor=331
Actor/Name/PointSoundEmitterName,PuntoSonidoEmisorNombre=332
Actor/Name/PointSoundEmitterNameSite,PuntoSonidoEmisorNombreSitio=333
Actor/Name/PointSoundEmitterRange,Punto - Emisor de sonido - Rango=334
Actor/Name/PointStartLoc,PuntoInicioUbic=335
Actor/Name/PointStartLocEditor,PuntoInicioUbicEditor=336
Actor/Name/PointStartLocName,PuntoInicioUbicNombre=337
Actor/Name/PointStartLocNameSite,PuntoInicioUbicNombreSitio=338
Actor/Name/PointStartLocUnit,PuntoInicioUbicUnidad=339
Actor/Name/PointStartLocUnitSite,PointStartLocUnitSite=340
Actor/Name/PointThreeD,PuntoTresD=341
Actor/Name/PointThreeDEditor,PuntoTresDEditor=342
Actor/Name/PointThreeDName,PuntoTresDNombre=343
Actor/Name/PointThreeDNameSite,PuntoTresDNombreLugar=344
Actor/Name/PortraitActor,Portrait Actor=345
Actor/Name/PowerVisual,EnergíaVisual=346
Actor/Name/PreSelection,Preselección=347
Actor/Name/PreservedDoodad,Accesorio preservado=348
Actor/Name/PreviewerCamera,Previsualizador - Cámara=349
Actor/Name/PreviewerModel,PrevisualizadorModelo=350
Actor/Name/PreviewerSound,Previsualizador - Sonido=351
Actor/Name/PreviewerText,Previsualizador - Texto=352
Actor/Name/ProgressSound,ProgresoSonido=353
Actor/Name/PropertyCurveSet,Configurar curva de propiedad=354
Actor/Name/RangeAbil,Abil. de rango=355
Actor/Name/RangeAbilHover,=356
Actor/Name/RangeBehavior,Comportamiento de rango=357
Actor/Name/RangeSight,Vista de rango=358
Actor/Name/RangeWeapon,Arma de rango=359
Actor/Name/RangedAttackDeathForce,Ataque a distancia - Muerte - Fuerza=360
Actor/Name/RangedAttackDeathImpulse,Ataque a distancia - Muerte - Impulso=361
Actor/Name/RemoveFlyerHelperMacro,Quitar ayuda de unidades voladoras - Macro=362
Actor/Name/SOp180,SOp180=363
Actor/Name/SOp270,SOp270=364
Actor/Name/SOp2DRotation,SOp2DRotation=365
Actor/Name/SOp90,SOp90=366
Actor/Name/SOpActionCenter,SOpActionCenter=367
Actor/Name/SOpActionImpact,SOpActionImpact=368
Actor/Name/SOpActionLaunch,SOpActionLaunch=369
Actor/Name/SOpAttachCenter,SOpAttachCenter=370
Actor/Name/SOpAttachCenterSoft,SOpAttachCenterSoft=371
Actor/Name/SOpAttachCenterStationary,SOpAttachCenterStationary=372
Actor/Name/SOpAttachCustomA,SOpAttachCustomA=373
Actor/Name/SOpAttachDamage,OpS - Anexar - Daño=374
Actor/Name/SOpAttachHardPoint,SOpAttachHardPoint=375
Actor/Name/SOpAttachHardPoint01,SOpAttachHardPoint01=376
Actor/Name/SOpAttachHardPoint02,SOpAttachHardPoint02=377
Actor/Name/SOpAttachHardPoint03,SOpAttachHardPoint03=378
Actor/Name/SOpAttachHardPoint04,SOpAttachHardPoint04=379
Actor/Name/SOpAttachHarness,SOpAttachHarness=380
Actor/Name/SOpAttachHarnessSoft,SOpAttachHarnessSoft=381
Actor/Name/SOpAttachHarnessStationary,SOpAttachHarnessStationary=382
Actor/Name/SOpAttachHead,SOpAttachHead=383
Actor/Name/SOpAttachHeadSound,SOpAttachHeadSound=384
Actor/Name/SOpAttachInternalDetonation,OpS - Anexar - Detonación interna=385
Actor/Name/SOpAttachOrigin,SOpAttachOrigin=386
Actor/Name/SOpAttachOriginHoldPosition,SOpAttachOriginHoldPosition=387
Actor/Name/SOpAttachOriginStationary,SOpAttachOriginStationary=388
Actor/Name/SOpAttachOverhead,SOpAttachOverhead=389
Actor/Name/SOpAttachRandomDamage,SOpAttachRandomDamage=390
Actor/Name/SOpAttachRandomWeapon,SOpAttachRandomWeapon=391
Actor/Name/SOpAttachRollingWeaponStripe,SOpAttachRollingWeaponStripe=392
Actor/Name/SOpAttachShield,SOpAttachShield=393
Actor/Name/SOpAttachTarget,SOpAttachTarget=394
Actor/Name/SOpAttachTarget1,SOpAttachTarget1=395
Actor/Name/SOpAttachTarget2,SOpAttachTarget2=396
Actor/Name/SOpAttachTarget3,SOpAttachTarget3=397
Actor/Name/SOpAttachTarget4,SOpAttachTarget4=398
Actor/Name/SOpAttachTargetSoft,OpS - Anexar - Objetivo - Suave=399
Actor/Name/SOpAttachTurret,SOpAttachTurret=400
Actor/Name/SOpAttachVolumeNoVizEnhance,SOpAttachVolumeNoVizEnhance=401
Actor/Name/SOpAttachVolumeStandard,SOpAttachVolumeStandard=402
Actor/Name/SOpAttachWeapon,SOpAttachWeapon=403
Actor/Name/SOpAttachWeapon00,SOpAttachWeapon00=404
Actor/Name/SOpAttachWeapon01,SOpAttachWeapon01=405
Actor/Name/SOpAttachWeapon01Soft,SOpAttachWeapon01Soft=406
Actor/Name/SOpAttachWeapon02,SOpAttachWeapon02=407
Actor/Name/SOpAttachWeapon03,SOpAttachWeapon03=408
Actor/Name/SOpAttachWeapon04,SOpAttachWeapon04=409
Actor/Name/SOpAttachWeapon05,SOpAttachWeapon05=410
Actor/Name/SOpAttachWeapon06,SOpAttachWeapon06=411
Actor/Name/SOpAttachWeapon07,SOpAttachWeapon07=412
Actor/Name/SOpAttachWeapon08,SOpAttachWeapon08=413
Actor/Name/SOpAttachWeapon09,SOpAttachWeapon09=414
Actor/Name/SOpAttachWeapon10,SOpAttachWeapon10=415
Actor/Name/SOpAttachWeapon11,SOpAttachWeapon11=416
Actor/Name/SOpAttachWeapon12,SOpAttachWeapon12=417
Actor/Name/SOpAttachWeapon14,SOpAttachWeapon14=418
Actor/Name/SOpAttachWeapon21,SOpAttachWeapon21=419
Actor/Name/SOpAttachWeapon24,SOpAttachWeapon24=420
Actor/Name/SOpAttachWeaponLeft,SOpAttachWeaponLeft=421
Actor/Name/SOpAttachWeaponRight,SOpAttachWeaponRight=422
Actor/Name/SOpAttachWeaponSoft,OpS - Anexar - Arma - Suave=423
Actor/Name/SOpBanker,SOpBanker=424
Actor/Name/SOpBankerBuilding,SOpBankerBuilding=425
Actor/Name/SOpBankerUnit,SOpBankerUnit=426
Actor/Name/SOpBankerUnitBuilding,SOpBankerUnitBuilding=427
