AUTHENTICATION_BETA_REGION,内测或公测 /// Beta=0
Abil/Name/CAbilMergeable,默认能力(CAbilMergeable) /// Default Ability (CAbilMergeable)=26
Abil/Name/CAbilMorph,默认能力(CAbilMorph) /// Default Ability (CAbilMorph)=27
Abil/Name/CAbilMorphPlacement,默认能力(CAbilMorphPlacement) /// Default Ability (CAbilMorphPlacement)=28
Abil/Name/CAbilMove,默认能力(CAbilMove) /// Default Ability (CAbilMove)=29
Abil/Name/CAbilPawn,CAbilPawn /// CAbilPawn=30
Abil/Name/CAbilProgress,CAbilProgress /// CAbilProgress=31
Abil/Name/CAbilQueue,默认能力(CAbilQueue) /// Default Ability (CAbilQueue)=32
Abil/Name/CAbilQueueable,默认能力(CAbilQueueable) /// Default Ability (CAbilQueueable)=33
Abil/Name/CAbilRally,默认能力(CAbilRally) /// Default Ability (CAbilRally)=34
Abil/Name/CAbilRedirect,CAbilRedirect /// CAbilRedirect=35
Abil/Name/CAbilResearch,默认能力(CAbilResearch) /// Default Ability (CAbilResearch)=36
Abil/Name/CAbilRevive,CAbilRevive /// CAbilRevive=37
Abil/Name/CAbilSpecialize,默认能力(CAbilSpecialize) /// Default Ability (CAbilSpecialize)=38
Abil/Name/CAbilStop,默认能力(CAbilStop) /// Default Ability (CAbilStop)=39
Abil/Name/CAbilTrain,默认能力(CAbilTrain) /// Default Ability (CAbilTrain)=40
Abil/Name/CAbilTransport,默认能力(CAbilTransport) /// Default Ability (CAbilTransport)=41
Abil/Name/CAbilWarpTrain,默认能力(CAbilWarpTrain) /// Default Ability (CAbilWarpTrain)=42
Abil/Name/CAbilWarpable,默认能力(CAbilWarpable) /// Default Ability (CAbilWarpable)=43
Abil/Name/HoldFire,停火 /// Hold Fire=44
Abil/Name/ReviveSelf,自我复活 /// Revive Self=45
Abil/Name/ReviveSelfAtTarget,在目标位置自我复活 /// Revive Self At Target=46
Abil/Name/ReviveSelfOnCreep,在菌毯上自我复活 /// Revive Self On Creep=47
Abil/Name/ReviveSelfReplaceTarget,自我复活并替代目标 /// Revive Self Replace Target=48
Abil/Name/Taunt,嘲讽 /// Taunt=49
Abil/Name/move,移动 /// Move=50
Abil/Name/stop,停止 /// Stop=51
Achievement/Category/Challenge,挑战任务 /// Challenges=52
Achievement/Category/Combat,交战模式 /// Combat=53
Achievement/Category/Exploration,探索 /// Exploration=54
Achievement/Category/QuickMatch,快速比赛 /// Quick Match=55
Achievement/Category/Skirmish,模拟战模式 /// Skirmish=56
Achievement/Name/CAMPAIGN,战役 /// CAMPAIGN=57
Achievement/Name/CAchievement,战役成就 /// CAchievement=58
Achievement/Name/CHALLENGE,挑战任务 /// CHALLENGE=59
Achievement/Name/COMBAT,战斗 /// COMBAT=60
Achievement/Name/EXPLORATION,探索 /// EXPLORATION=61
Achievement/Name/QUICKMATCH,快速比赛 /// QUICKMATCH=62
AchievementTerm/Name/CAchievementTerm,CAchievementTerm /// CAchievementTerm=63
AchievementTerm/Name/CAchievementTermAchievement,CAchievementTermAchievement /// CAchievementTermAchievement=64
AchievementTerm/Name/CAchievementTermGeneric,CAchievementTermGeneric /// CAchievementTermGeneric=65
AchievementTerm/Name/CAchievementTermTime,CAchievementTermTime /// CAchievementTermTime=66
ActorCheat/ActorDiedNormally,Actor died normally during creation. /// Actor died normally during creation.=67
ActorCheat/ActorInfoDisplayOff,关闭演算体信息显示。 /// Actor info display off.=68
ActorCheat/ActorInfoDisplayOn,开启演算体信息显示。 /// Actor info display on.=69
ActorCheat/ActorInfoDisplayPortraitsOff,关闭为“头像”显示演算体信息。 /// Actor info display for portraits off.=70
ActorCheat/ActorInfoDisplayPortraitsOn,开启为“头像”显示演算体信息。 /// Actor info display for portraits on.=71
ActorCheat/ActorNameRequired,Actor name required. /// Actor name required.=72
ActorCheat/CannotKillScopeFromCheat,Cannot kill this scope from a cheat. /// Cannot kill this scope from a cheat.=73
ActorCheat/CannotOrphanScopeFromCheat,Cannot orphan this scope from a cheat. /// Cannot orphan this scope from a cheat.=74
ActorCheat/CouldNotCreateActor,Could not create actor. /// Could not create actor.=75
ActorCheat/CouldNotCreateScope,Could not create scope. /// Could not create scope.=76
ActorCheat/CouldNotResolveActor,Could not resolve actor. /// Could not resolve actor.=77
ActorCheat/CouldNotReturnActor,Could not return actor. /// Could not return actor.=78
ActorCheat/CouldNotReturnActorScope,Could not return actor scope. /// Could not return actor scope.=79
ActorCheat/ExpectedOverlayLock,Expected 0 or 1 to toggle overlay lock. /// Expected 0 or 1 to toggle overlay lock.=80
ActorCheat/ExpectedSendAutoTargeting,Expected 0 or 1 to toggle send auto-targeting.=81
ActorCheat/FXAnimator,FX动画制作器 /// FX Animator=82
ActorCheat/HasNoParameters,Has no parameters. /// Has no parameters.=83
ActorCheat/InvalidCatalog,Invalid catalog. /// Invalid catalog.=84
ActorCheat/InvalidKey,Invalid key. /// Invalid key.=85
ActorCheat/InvalidMessage,Invalid message. /// Invalid message.=86
ActorCheat/InvalidOlderThanAge,Invalid 'older than' age. /// Invalid 'older than' age.=87
ActorCheat/ModelWithoutActor,无演算体的模型 /// MODEL W/O ACTOR=88
ActorCheat/NoUserActor,No ::User actor. /// No ::User actor.=89
ActorCheat/NoUserActorScope,No ::User actor scope. /// No ::User actor scope.=90
ActorCheat/ParametersRequired,Parameters required. /// Parameters required.=91
ActorCheat/PrimaryNameRequired,Primary name required. /// Primary name required.=92
ActorCheat/RefNameHasNoValidActor,RefName[%1] did not return a valid actor. /// RefName[%1] did not return a valid actor.=93
ActorCheat/RequiresGameScene,游戏场景外不支持此项指令。 /// This command is not currently supported outside of the game scene.=94
ActorCheat/ScopeNameRequired,Scope name required. /// Scope name required.=95
ActorCheat/StandaloneModel,独立模型 /// Standalone Model=96
ActorCheat/TargetNameRequired,Target name required. /// Target name required.=97
ActorCheat/TracingDisabled,Tracing disabled for %1. /// Tracing disabled for %1.=98
ActorCheat/TracingEnabled,Tracing enabled for %1. /// Tracing enabled for %1.=99
ActorCheat/UnknownActorClass,Unknown actor class [%1]. /// Unknown actor class [%1].=100
ActorCheat/UnknownCommand,Unknown command. /// Unknown command.=101
ActorCheat/UserActorSetTo,::User actor set to %1. /// ::User actor set to %1.=102
ActorCheat/UserScopeSetTo,::User scope set to %1. /// ::User scope set to %1.=103
ActorCheat/XYPositionRequired,x, y position required. /// x, y position required.=104
ActorDebug/ActionDamageMsgMustBeSentFromEffectMsg,The ActionDamage message must be sent in response to an Effect message so it can determine the target of the damage. Culprit: %1.=105
ActorDebug/ActorNot,is not a %1.=106
ActorDebug/ActorScopeCannotBeKilledByUser,This actor scope cannot directly be killed by user code.=107
ActorDebug/ActorScopeCannotBeOrphanedByUser,This actor scope cannot directly be orphaned by user code.=108
ActorDebug/ActorTraceActor,Actor trace [A]: %1.%2=109
ActorDebug/ActorTraceMsg,Actor trace [M]: %1=110
ActorDebug/ActorTraceScope,Actor trace [S]: %1=111
ActorDebug/AnimClearAllButNeedsName,AnimClearAllBut requires an animName.=112
ActorDebug/AnimContinueNotForBaselines,Cannot use AnimContinue message on baseline anims.=113
ActorDebug/AnimContinueRequiresPreexistingAnim,AnimContinue requires an anim with a matching name (in this case %1) to be playing when sent, so it has an anim to continue!=114
ActorDebug/AnimContinueRequiresValidAnimName,AnimContinue requires a valid animation name that matches a running animation on the model.=115
ActorDebug/AnimHookClearInvalidName,Cannot find anim hook [%1].=116
ActorDebug/AnimHookClearUnavailable,No anim hooks to clear.=117
ActorDebug/AnimHookNameConflict,Cannot use the name %1 since it is already in use by an anim hook.=118
ActorDebug/AnimHookNone,No anim hooks.=119
ActorDebug/AnimHookRefreshActorConflict,The anim hook [%1] refreshed and acquired an actor that is not a CActorModel or one of its subclasses.  As a result, this anim hook has been cleared.=120
ActorDebug/AnimHookSelfNotAllowed,Cannot hook an animation on the same actor.=121
ActorDebug/AnimHookSetActorConflict,Cannot hook an anim from an actor that is not a CActorModel or one of its subclasses.=122
ActorDebug/AnimHookSetBadActor,The actor referenced by name %1 does not exist.=123
ActorDebug/AnimHookSetEmptyName,Cannot set an anim hook without a hook name.=124
ActorDebug/AnimLoadFailure,Model %1; Could not load anims on model %2.=125
ActorDebug/AnimNameInvalid,%1 message: Cannot find anim name %2.=126
ActorDebug/AnimPlayRequiresName,Must assign a valid animation name when playing an anim. Message:  %1.=127
ActorDebug/AnimTimeScaleInvalid,%1 message: Cannot find anim time scale labeled %2.=128
ActorDebug/AttachInitFailureOwnerNotModel,init failed because owner actor is not a CActorModel: %1=129
ActorDebug/AttachMessageCannotSetSiteOps,The message cannot set the specified site ops. Culprit %1.=130
ActorDebug/AttachMessageMustCreateCActorModelOrSubclass,The message created a CActor that was not of type CActorModel.  Culprit: %1.=131
ActorDebug/AttachMessageRequiresMethods,The message requires attach methods in order to know how to attach the specified model and/or actor.  Culprit: %1.=132
ActorDebug/AttachMethodPatternAttachOverflow,AttachMethodPattern; too many attach points to track, ignoring some.=133
ActorDebug/AttachMethodProximityAttachOverflow,AttachMethodProximity; too many attach points to sort, ignoring some.=134
ActorDebug/AttachPropertiesMismatch,ModelLink[%1] Model %2; Properties detected for attach point %3 which does not exist.=135
ActorDebug/AttachQueryFailure,Attach query failed. Requestor %1. Query %2.=136
ActorDebug/BaseModelScaleRequiresScale,Inheriting base model scale without inheriting scale is unsupported.=137
ActorDebug/BaselineNoOutroIntroStacking,Cannot simultaneously have both a Walk Outro and a Stand Intro with prop group [%1]=138
ActorDebug/BaselineStandIntroTurnMismatch,Do not have a complete set of Stand,Start,Left and Stand,Start,Right anims with prop group [%1]=139
ActorDebug/BaselineStandIntroTurnsMissing,If model has Stand,Start anim and Stand,Left and Stand,Right anims with prop group [%1] then it must also have Stand,Start,Left and Stand,Start,Right with that group.  A unit can turn while entering a stand, say if it is following a unit.  It gets near it, starts to Stand, but then needs to turn to keep facing what it is following.=140
ActorDebug/BaselineStandTurnMismatch,Do not have a complete set of Stand,Left and Stand,Right anims with prop group [%1]=141
ActorDebug/BaselineStartCannotLoop,Cannot have anim [%1] marked as looping.=142
ActorDebug/BaselineWalkIntroTurnMismatch,Do not have a complete set of Walk,Start,Left and Walk,Start,Right anims with prop group [%1]=143
ActorDebug/BaselineWalkIntroTurnsMissing,If model has Walk,Start anim and Walk,Left and Walk,Right anims with prop group [%1] then it must also have Walk,Start,Left and Walk,Start,Right with that group.  Units can turn while they are starting a Walk, and it breaks the unit out of the Walk Start if it doesn't have the additional Walk Start Left/Right anims.=144
ActorDebug/BaselineWalkTurnMismatch,Do not have a complete set of Walk,Left and Walk,Right anims with prop group [%1]=145
ActorDebug/BearingsInfiniteLoop,Bearings update cycle detected when pushing bearings to %1 via %2.  Bailing to prevent infinite loop.=146
ActorDebug/BearingsInfiniteLoopStart,Bearings update cycle detected when pushing bearings to this actor at beginning of percolation or sub-percolation.  Bailing to prevent infinite loop.=147
ActorDebug/BearingsMsgFailedHardAttach,%1 message failed because this actor is hard attached to another actor.  Hard attaches take precedence over all position and rotation changes.=148
ActorDebug/BearingsMsgFailedSiteOpChain,%1 message failed because of an error in this actor's siteOp chain.=149
ActorDebug/BodySquibModelInvalid,Model %1 specified in body squib %2 is invalid.=150
ActorDebug/BodySquibSoundInvalid,Sound %1 specified in body squib %2 is invalid.=151
ActorDebug/BoundingSphereSizeZero,Bounding sphere with size 0.=152
ActorDebug/CActorForceConfiguredToApplyNoForce,Invalid configuration; this actor has a 0 duration and a 0 force magnitude, which would have no effect on the world.=153
ActorDebug/CActorRefDoesNotExist,CActorRef[%1] does not exist.=154
ActorDebug/CModelSetNull,Got NULL model when trying to set CModel[%1].=155
ActorDebug/CanOnlyHaveOneCActorCreep,Can only have one live CActorCreep at a time.=156
ActorDebug/CanOnlyHaveOneCActorScene,Can only have one live CActorScene per scene.  This a system actor and should not be created from data.=157
ActorDebug/CanOnlyHaveOneCActorTerrain,Can only have one live CActorTerrain at a time.=158
ActorDebug/CanOnlyHaveShieldFullWithNoSiteOpAttachVolume,CActorAction only supports shield flash types 'Full' or 'None', if no CActorSiteOpAttachVolume is specified in the relevant Impact or Damage SiteOps.=159
ActorDebug/CanOnlyHostCActorForceOffCActorModels,Can only host local forces off CActorModels, since they need a model to drive in order for anything to happen.=160
ActorDebug/CanOnlyHostCActorImpulseOffCActorModels,Can only host local impulses off CActorModels, since they need a model to drive in order for anything to happen.=161
ActorDebug/CannotAcquireImpactSource,Cannot find host impact source on this actor.=162
ActorDebug/CannotAcquireReceiverCActorModel,Physics actor cannot find a receiver CActorModel on which to apply its local force or impulse.=163
ActorDebug/CannotAddFileAlias,Cannot add file alias %1 with slot %2 and file path %3.=164
ActorDebug/CannotAddSiteOps,Cannot add site ops on host %1.=165
ActorDebug/CannotBeSaveLoadSuppressed,Cannot be marked as SaveLoadSuppressed.=166
ActorDebug/CannotClearBaseline,Cannot clear baseline.=167
ActorDebug/CannotClearClonedProp,Cannot clear cloned prop or prop item.  Clear the client set value higher up in the hierarchy that percolated the clone.=168
ActorDebug/CannotClearInternalProp,Cannot clear a prop created and used internally by the system.=169
ActorDebug/CannotClearMissingLabel,Cannot find prop or prop item with label [%1].=170
ActorDebug/CannotClearMissingProp,Cannot clear prop type %1.  The prop is missing.=171
ActorDebug/CannotClearPropGeneric,Unspecified error clearing prop %1.=172
ActorDebug/CannotClearPropMissingExternals,There are no user set props of type %1 to clear.=173
ActorDebug/CannotCopyActor,Cannot copy actor.  Culprit: %1.=174
ActorDebug/CannotCreateActor,Cannot create an actor in scopes other than the requestor's unless the requestor was created by an effect. Requestor: %1=175
ActorDebug/CannotCreateActorBadLink,Cannot create actor with actor catalog entry %1.=176
ActorDebug/CannotCreateActorForAttach,Cannot create actor for attachment.  Culprit: %1.=177
ActorDebug/CannotCreateActorSiteOpWithCreateMsg,Cannot directly create a siteOp with the actor Create message, since a siteOp must exist within the context of a siteOp chain.  Culprit: %1.=178
ActorDebug/CannotCreateActorUnitWithoutUnit,Cannot create a CActorUnit outside of an underlying CUnit's CActorScope.  Try creating the actor inside of a live unit's CActorScope or create a CActorModel instead.=179
ActorDebug/CannotCreateCBeamAsync,Could not create CBeamAsync[%1].=180
ActorDebug/CannotCreateFromSystemActor,Cannot create from a system actor reference. Requestor: %1=181
ActorDebug/CannotCreateSnapshot,Could not create CActorSnapshot[%1].=182
ActorDebug/CannotFindCreepHeightClass,Could not find creep height class [%1] in this actor or any of its parents.  The height class is required to use implicit creep engulfment height and offset values.=183
ActorDebug/CannotFindCreepMaterial,Could not find creep material!  Is asset missing?=184
ActorDebug/CannotFindEffect,=185
ActorDebug/CannotFindMatchingTexture,%1 %2; Could not find matching texture for slot %3 from slot %4.=186
ActorDebug/CannotFindNonzeroShieldRadius,Could not find shield radius > 0 on %1 with model %2.=187
ActorDebug/CannotFindShieldImpact,Could not find a CActorShieldImpact actor in containing scope.=188
ActorDebug/CannotFindSlot,Could not find slot %1.=189
ActorDebug/CannotFindSlotMapping,%1；栏位%2无映射。=190
ActorDebug/CannotFindSourceTexture,%1 %2; Could not find source texture with slot %3.=191
ActorDebug/CannotFindTextureByFileAlias,%1 %2; Could not find texture with file alias %3.=192
ActorDebug/CannotFindTextureById,%1 %2; Could not find texture with id %3.=193
ActorDebug/CannotFindTextureBySlot,%1 %2; Could not find texture with slot %3 and expression %4.=194
ActorDebug/CannotHaveNestedDeathGroups,CActorUnit[%1]; Death custom data group %2 contains a member %3 that is itelf a data group, which is not allowed.=195
ActorDebug/CannotHostActor,Actor %1 does not support hosting.=196
ActorDebug/CannotHostAgain,Attempting to host off %1 which is already hosted off of this (though not necessarily directly).=197
ActorDebug/CannotHostAgainCleared,Attempting to host off %1 which is already hosted off of this (though not necessarily directly).  Host cleared.=198
ActorDebug/CannotHostSelf,Cannot host off oneself.  Culprit is %1.=199
ActorDebug/CannotHostSelfSiteOps,Cannot host off oneself.  Culprit is %1 in %2.=200
ActorDebug/CannotInheritDeath,CActorUnit[%1]; Death %2 cannot inherit from death %3.  Can only inherit from successfully initialized deaths earlier in the death list.=201
ActorDebug/CannotInitializeHost,Could not initialize host.=202
ActorDebug/CannotInitializeHostedAttachDueToQuery,Could not initialize hosted attach %1.  Attach query returned no attach points.=203
ActorDebug/CannotInitializeHostedAttachDueToSiteOps,Could not initialize hosted attach %1.  Could not initialize siteOps.=204
ActorDebug/CannotInitializeHostedAttachDueToUpdateBearings,Could not initialize hosted attach %1.  Could not update bearings.=205
ActorDebug/CannotMonitorStates,Can not monitor more than %1 states.=206
ActorDebug/CannotOverrideAndInheritDeathSimultaneously,CActorUnit[%1]; Cannot override death %2 and inherit from death %3 simultaneously.=207
ActorDebug/CannotOverrideDeathAndHaveMembers,CActorUnit[%1]; Death custom data group %2 cannot override the death of the same name while also having members.=208
ActorDebug/CannotParseActorMessage,Could not parse actor message [%1].=209
ActorDebug/CannotParseActorTerm,Could not parse actor term [%1].=210
ActorDebug/CannotPopulateValidLinkOnMsgTextureSelectByUpdateLink,Attempt to populate CActorMsgTextureSelectByUpdateLink with link [%1] failed because the link is not valid.=211
ActorDebug/CannotReattachBeam,Could not reattach beam during model swap to %1.=212
ActorDebug/CannotRemoveSiteOps,Cannot remove site ops on host %1.=213
ActorDebug/CannotResolveActor,%1 message: Cannot resolve actor from ref name %2.=214
ActorDebug/CannotRouteMessage,No creating effect, cannot route internal messages properly.=215
ActorDebug/CannotSelectTextureBadLink,Cannot select texture with texture catalog entry [%1].=216
ActorDebug/CannotSetContinuousPhysics,Trying to set physics to operate continuously on a CModel[%1], which doesn't have any built in.=217
ActorDebug/CannotSetSiteOps,Cannot set site ops on host %1.=218
ActorDebug/CannotSpawnActor,SetQueriedSpawn; Cannot spawn actor %1.=219
ActorDebug/CannotSpawnBeam,Cannot spawn beam in scope %1.=220
ActorDebug/CannotSpawnFoliageFX,Could not spawn foliage FX.  Actor[%1].=221
ActorDebug/CannotSupersedeSelf,The death data group %1 cannot supersede itself in actor entry %2!=222
ActorDebug/CannotUseSourceNarrowing,Cannot use source narrowing (i.e. Require or Exclude) on a message that sends a message other than 'Create'. %1=223
ActorDebug/CannotUseSourceNarrowingWithName,Cannot use source narrowing (i.e. Require, Exclude) on a message with a specified source name. %1=224
ActorDebug/CannotUseSourceNarrowingWithoutUnit,Cannot use source narrowing (i.e. Require, Exclude) on a message sent from anything other than a unit itself. %1=225
ActorDebug/CannotWithdrawActor,No creating effect, cannot withdraw actor from internal message routing.=226
ActorDebug/CreateCannotRegisterTerm,Contains Create with terms that cannot be registered: Terms[%1].=227
ActorDebug/CreatedWithoutUnit,Created in scope without unit; i.e. no host. Killing.=228
ActorDebug/CustomDeathMissingPriority,Custom death %1 is being ignored on entry %2, because it is missing its death priority.  To resolve this issue, add a DeathCustomPriorityList element for this death to the relevant CActorGlobalConfig actor.=229
ActorDebug/CustomPortrait,CUSTOM PORTRAIT=230
ActorDebug/CutsceneBadFilter,The %1 message requires a valid filter name.=231
ActorDebug/CutsceneBookmarkDoesNotExist,The bookmark %1 does not exist in cutscene %2.=232
ActorDebug/CutsceneBookmarkNameRequired,The CutsceneGoToBookmark message requires a valid bookmark name.=233
ActorDebug/CutsceneCannotPlay,Cannot play cutscene %1.=234
ActorDebug/CutsceneStepBookmarkNext,Cannot jump forward to next bookmark.=235
ActorDebug/CutsceneStepBookmarkPrev,Cannot jump backward to previous bookmark.=236
ActorDebug/DamagePhysicsArrivedBeforeAction,Data configuration error; ActionDamagePhysics message arrived before %1 commenced.=237
ActorDebug/DeathGroupContainsInvalidDeath,CActorUnit[%1]; Death custom data group %2 refers to invalid death %3, which does not exist.=238
ActorDebug/EffectLinkRedundant,Redundant to specify effect link with this keyword; the destination is the effect tree's scope. Requestor: %1=239
ActorDebug/ErrorCannotInheritScale,Cannot inherit scale.=240
ActorDebug/EventMacroRunnableInvalid,指定的CActorEventMacroRunnable[%1]无效。=241
ActorDebug/EventWithInvalidMsg,Has event with invalid msg term. %1=242
ActorDebug/EventWithInvalidSend,Has event with invalid Send field. %1=243
ActorDebug/EventWithoutTrigger,Has event without a triggering message. %1=244
ActorDebug/GamePortrait,GAME PORTRAIT=245
ActorDebug/GlazeFailed,建模失败，添加%1釉光面至红色数据。=246
ActorDebug/HostSetSiteOpsDoesNotSupportLiveHardAttaches,The HostSetSiteOps messages does not currently setting the siteOps on an actor that has been hard attached.  Use soft attaches instead.  Culprit %1.=247
ActorDebug/HoverTarget,HOVER TARGET=248
ActorDebug/ImpactArrivedBeforeAction,Data configuration error; ActionImpact message arrived before %1 commenced.=249
ActorDebug/ImpactMonitorCouldNotFindTAV,Cannot fully initialize impact monitor; could not find target attach volume (TAV) on attach id [%1] on target: %2.  The target model has TAVs on other attach points, however.  To address this error, either configure the attack to successfully find the target's TAVs or do not use CActorSiteOpAttachVolume, if the attack does not need to use TAVs.=250
ActorDebug/ImpactPhysicsArrivedBeforeAction,Data configuration error; ActionImpactPhysics message arrived before %1 commenced.=251
ActorDebug/ImpactSourceMustBeCActorAction,The impact source %1 must be an actor of type CActorAction.=252
ActorDebug/InitialBearings,Initial=253
ActorDebug/InnateTextureClash,On Msg %1; ModelLink[%2] Model %3; Innate texture %4 being mapped to slot[%5] already assigned to innate texture %6 Cannot have two different textures mapped to the same slot simultaneously.=254
ActorDebug/InvalidAttachMethod,Invalid attach method %1 in %2.=255
ActorDebug/InvalidAttachMethodUnavailable,Invalid attach method [Unavailable] in %1.=256
ActorDebug/InvalidBlendDuration,This operation requires a blendDuration > 0.0 to make sense.=257
ActorDebug/InvalidCreepHeightClassValue,Invalid value in creep height class %1.  Values must be >= 0.=258
ActorDebug/InvalidDeath,CActorUnit[%1]; Death custom data group %2 refers to a death that does not exist.=259
ActorDebug/InvalidEffectParams,CActorAction must be created with valid effect params.=260
ActorDebug/InvalidLink,Invalid Link=261
ActorDebug/InvalidModelBounds,=262
ActorDebug/InvalidModelVariation,%1 %2; Invalid variation %3.  All variations must have the same number of attaches.=263
ActorDebug/InvalidPortraitActor,Invalid portrait actor %1.=264
ActorDebug/InvalidPortraitActorCustomization,PortraitCustomize message has invalid portrait actor %1.=265
ActorDebug/InvalidPortraitCamera,Invalid portrait camera %1.=266
ActorDebug/InvalidPortraitModel,Invalid portrait model %1.=267
ActorDebug/InvalidPortraitModelCustomization,PortraitCustomize message has invalid portrait model %1.=268
ActorDebug/InvalidRequest,Has invalid request: Subject[%1].=269
ActorDebug/InvalidShieldAttach,Could not find e_attachShield or a dynamic shield attach on unit %1 with model %2.=270
ActorDebug/InvalidShieldRadius,Invalid shield radius.  Got scale with 0 component on unit %1 with model %2.=271
ActorDebug/InvalidSiteOp,Invalid site op [%1].=272
ActorDebug/InvalidSiteOpHost,Host[%1] Invalid site op [%2].=273
ActorDebug/InvalidSiteOpLink,Invalid siteOp link=274
ActorDebug/LightInvalidModel,Invalid model on CActorLight.  Culprit: %1.=275
ActorDebug/LookAtCannotCreateActor,%1; Unable to create look at actor for source %2.=276
ActorDebug/LookAtCouldNotAcquireTarget,Unable to acquire target from source %1.=277
ActorDebug/LookAtDumpTurrets,turrets:=278
ActorDebug/LookAtDumpTurretsNone,-- None --=279
ActorDebug/LookAtDumpTurretsSourced,dumping turrets on source %1:=280
ActorDebug/LookAtInvalidSource,Invalid look at source actor %1.=281
ActorDebug/LookAtInvalidTarget,%1; Invalid look at target actor %2.=282
ActorDebug/LookAtInvalidType,Could not find definition of look at type [%1].=283
ActorDebug/LookAtModelSwapFailure,Could not restore turrets from model %1 to model %2.=284
ActorDebug/LookAtNoAcquireTarget,No target to acquire.  %1 only acquires targets automatically, in response to certain game messages, such as Abil, WeaponStart, and TurretTarget.=285
ActorDebug/LookAtNoActiveTarget,No active target to get bearings from for turret group [%1].=286
ActorDebug/LookAtNoSource,No subject=287
ActorDebug/LookAtNoTurretType,No look at turret type.=288
ActorDebug/LookAtNoType,No look at type.=289
ActorDebug/LookAtUnassignedSource,Unassigned look at source.=290
ActorDebug/LookAtUnassignedTarget,Unassigned look at target.=291
ActorDebug/MessagePassingStackOverflow,Message handling stack has reached maximum depth.  All messages beyond this depth are ignored.  Unexpected results may occur.=292
ActorDebug/MissileDirectCreate,Trying to create a missile directly and not in the context of an attack.=293
ActorDebug/MissingAttachKeyword,Missing attach props on id -- does the MAX file attachment ref name contain values that are not present in the EAttachKeyword enum?=294
ActorDebug/MissingPlayerDecalTexture,Could not find player decal from texture link %1.=295
ActorDebug/MissingSupersede,Cannot find death named %1 to supersede in death data group %2 in actor entry %3.=296
ActorDebug/MissingTextureFile,Could not find texture file %1 in TextureData.xml entry %2.=297
ActorDebug/ModelAspectConfirmInvalid,Must send the ModelAspectConfirm message in response to the ModelAspectTest message.=298
ActorDebug/ModelDataEventHasInvalidTime,Model %1; %2 Assigning event to animation that is only %3 s long.=299
ActorDebug/ModelError,Model %1; %2=300
ActorDebug/ModelEventSoundIsDeprecated,ModelLink[%1] Model %2; Sending non-transmission sound events from models is deprecated.=301
ActorDebug/ModelEventSpawnIsDeprecated,ModelLink[%1] Model %2; Sending model spawn events is deprecated.=302
ActorDebug/ModelEventSplatIsDeprecated,ModelLink[%1] Model %2; Sending model splat events is deprecated.=303
ActorDebug/ModelInitFailure,Model created via %1; Failure to initialize.=304
ActorDebug/ModelInvalidHarness,Had model harness[%1] that was not a CActorModel.=305
ActorDebug/ModelMaterialAlreadyApplied,This CActorModelMaterial has already been applied to the target actor: %1.=306
ActorDebug/ModelMaterialBadApplyOtherMaterial,Cannot apply a model material to another model material.=307
ActorDebug/ModelMaterialBadApplyOtherMaterial2,Cannot apply a model material to another model material, in this case: %1.=308
ActorDebug/ModelMaterialBadApplyRef,Cannot find an actor model referenced by %1 on which to apply the model material.=309
