Actor/Name/ActorLightOmni,Actor Point Light=0
Actor/Name/GenericAttackDamageSite,General attack damage site=121
Actor/Name/GenericAttackDamageSound,General attack damage sound effect=122
Actor/Name/GenericAttackDamageTerrainSquibModel,General attack damage terrain ammunition burst model=123
Actor/Name/GenericAttackDamageTerrainSquibSound,General attack damage terrain ammunition burst sound effect=124
Actor/Name/GenericAttackImpactFallbackSite,General attack impact fallback site=125
Actor/Name/GenericAttackImpactModel,GenericAttackImpactModel=GenericAttackImpactModel=126
Actor/Name/GenericAttackImpactModelReaction,GenericAttackImpactModelReaction=GenericAttackImpactModelReactionModel=127
Actor/Name/GenericAttackImpactMonitor,GenericAttackImpactMonitor=128
Actor/Name/GenericAttackImpactPointSite,General attack impact point site=129
Actor/Name/GenericAttackImpactSite,Generic Attack Impact Site=130
Actor/Name/GenericAttackImpactSiteBase,GenericAttackImpactSiteBase=GenericAttackImpactSiteBase=131
Actor/Name/GenericAttackImpactSiteFacer,GenericAttackImpactSiteFacer=GenericAttackImpactSiteFacer=132
Actor/Name/GenericAttackImpactSiteHeader,GenericAttackImpactSiteHeader=Generic attack bombards the head=133
Actor/Name/GenericAttackImpactSitePoint,Generic Attack Impact SitePoint=134
Actor/Name/GenericAttackImpactSiteStander,GenericAttackImpactSiteStander=General attack bombards the standing site=135
Actor/Name/GenericAttackImpactSound,General attack sound effect=136
Actor/Name/GenericAttackImpactTerrainSquibModel,General attack impact terrain ammunition burst model=137
Actor/Name/GenericAttackImpactTerrainSquibSound,General attack affects terrain ammunition burst sound effect=138
Actor/Name/GenericAttackLaunchFallbackSite,GenericAttackLaunchFallbackSite=GenericAttackLaunchFallbackSite=GenericAttackLaunchFallbackSite=139
Actor/Name/GenericAttackLaunchModel,Conventional attack launch model=140
Actor/Name/GenericAttackLaunchSite,GenericAttackLaunchSite=GenericAttackLaunchSite=141
Actor/Name/GenericAttackLaunchSiteFacer,GenericAttackLaunchSiteFacer=GenericAttackLaunchSiteFacer=142
Actor/Name/GenericAttackLaunchSound,General attack launch sound=143
Actor/Name/GenericAttackLaunchTerrainSquibModel,General attack launch terrain ammunition burst model=144
Actor/Name/GenericAttackLaunchTerrainSquibSound,General attack launch terrain ammunition burst sound effect=145
Actor/Name/GenericAttackMissile,Generic Attack Missile=146
Actor/Name/GenericAttackModel,GenericAttackModel=GenericAttackModel=147
Actor/Name/GenericAttackNoCreateBase,Generic Attack No CreateBase=148
Actor/Name/GenericAttackSet,GenericAttackSet=149
Actor/Name/GenericAttackSound,General attack sound=150
Actor/Name/GenericPhysicsDriver,Generic Physics Driver=151
Actor/Name/GenericPhysicsHarness,Generic Physics Harness=152
Actor/Name/GenericTentacleMissile,Generic Tentacle Missile=153
Actor/Name/GenericUnitBase,General base unit=154
Actor/Name/GenericUnitBaseMorphTransition,General base unit morph transition=155
Actor/Name/GenericUnitBaseNoAutoSoundLinks,Generic Unit Base No AutoSoundLinks=156
Actor/Name/GenericUnitCritter,General unit wild creature=157
Actor/Name/GenericUnitEmpty,GenericUnitEmpty=158
Actor/Name/GenericUnitFallback,Generic Unit Fallback=159
Actor/Name/GenericUnitMinimal,GenericUnitMinimal=GenericUnitMinimal=160
Actor/Name/GenericUnitMorph,Generic Morph Unit=161
Actor/Name/GenericUnitSelectable,Generic Selectable Unit=162
Actor/Name/GenericUnitSelectableNoAutoSoundLinks,GenericUnitSelectableNoAutoSoundLinks=GenericUnitSelectableNoAutoSoundLinks=163
Actor/Name/GenericUnitSplat,General splatter unit=164
Actor/Name/GenericUnitSplatBase,Generic base splatter unit=165
Actor/Name/GenericUnitStandard,General Standard Unit=166
Actor/Name/GenericUnitStandardNoAutoSoundLinks,GenericUnitStandardNoAutoSoundLinks=GenericUnitStandardNoAutoSoundLinks=167
Actor/Name/GlobalLoopMacro,Global Loop Macro=168
Actor/Name/GlobalLoopMacroMore,Global Loop MacroMore=169
Actor/Name/GlobalLoopMacroMoreRemove,GlobalLoopMacroMoreRemove=GlobalLoopMacroMoreRemove=170
Actor/Name/GlobalLoopMacroRemove,Global loop macro remove=171
Actor/Name/GroundLocalFlashingSelection,Ground local flashing selection=172
Actor/Name/GroundLocalSelection,Ground local selection=173
Actor/Name/GroundPreSelection,Ground pre-selection=174
Actor/Name/GroundShadow,Ground Shadow=175
Actor/Name/GroundSyncFlashingSelection,Ground Sync Flashing Selection=176
Actor/Name/GroundSyncSelection,Ground Sync Selection=177
Actor/Name/GuideRegion,GuideRegion=178
Actor/Name/GuideRegionAdd,GuideRegionAdd=179
Actor/Name/GuideRegionArc,GuideRegionArc=180
Actor/Name/GuideRegionCircle,GuideRegionCircle=GuideRegionCircle=181
Actor/Name/GuideRegionClosest,GuideRegionClosest=GuideRegionClosest=182
Actor/Name/GuideRegionNormal,GuideRegionNormal=183
Actor/Name/GuideRegionQuadDown,Quadruple guide region down=184
Actor/Name/GuideRegionQuadDownClosest,Quadruple guide region down closest=185
Actor/Name/GuideRegionQuadDownDetached,Quadruple guide region down has been detached=186
Actor/Name/GuideRegionQuadDownScaled,Quadruple the guide region down proportionally=187
Actor/Name/GuideRegionQuadDownScaledClosest,Quadruple Guide Region Down Scaled Closest=188
Actor/Name/GuideRegionQuadPerpendicular,Quadruple guide region vertical=189
Actor/Name/GuideRegionRemove,GuideRegionRemove=190
Actor/Name/GuideRegionScaled,GuideRegionScaled=191
Actor/Name/GuideRegionScaledClosest,Quadruple guide region proportionally closest=192
Actor/Name/GuideVisualArc,GuideVisualArc=193
Actor/Name/GuideVisualCircle,Guide Visual Circle=194
Actor/Name/GuideVisualQuad,Quadruple Guide Vision=195
Actor/Name/GuideVisualQuadCenter,Quadruple Guide Vision Center=196
Actor/Name/GuideVisualQuadDown,Quadruple Guide Vision Down=197
Actor/Name/GuideVisualQuadDownClosest,Quadruple Guide Vision Down Closest=198
Actor/Name/GuideVisualQuadDownDetached,Quadruple Guide Vision Down Detached=199
Actor/Name/GuideVisualQuadDownScaled,Quadruple guide visual down scaled=200
Actor/Name/GuideVisualQuadDownScaledClosest,Quadruple Guide Visual Down Scaled Closest=201
Actor/Name/GuideVisualQuadImpact,Quadruple the Guide Visual Impact=202
Actor/Name/GuideVisualQuadLaunch,Quadruple Guide Vision Launch=203
Actor/Name/GuideVisualQuadModel,Quadruple Guide Vision Model=204
Actor/Name/GuideVisualQuadPerpendicular,Quadruple guide visual vertical=205
Actor/Name/HerdSound,HerdSound=206
Actor/Name/Indicator,Indicator=207
Actor/Name/IndicatorBase,Base indicator=208
Actor/Name/IndicatorBlack,Black indicator=209
Actor/Name/IndicatorBlue,Blue indicator=210
Actor/Name/IndicatorGreen,Green indicator=211
Actor/Name/IndicatorMissilePhaseChange,Missile indicator phase change=212
Actor/Name/IndicatorRed,Red indicator=213
Actor/Name/IndicatorSticky,Indicator Fixed=214
Actor/Name/LightOmni,Point light source=215
Actor/Name/LightSpot,Light source point=216
Actor/Name/List,List=217
Actor/Name/ListTinter,List Tinter=218
Actor/Name/LocalFlashingSelection,Local Flashing Selection=219
Actor/Name/LocalSelection,Local selection=220
Actor/Name/LookAt,Look=221
Actor/Name/LookAtTarget,Look at target=222
Actor/Name/MapTemplate,Map Template=223
Actor/Name/MeleeAttackDeathImpulse,Melee Attack Death Impulse=224
Actor/Name/MeleeAttackForce,Force melee attack=225
Actor/Name/MeleePhysicRandomizer,Melee weapon randomizer=226
Actor/Name/MissileAttackDeathForce,Missile Attack Force Death=227
Actor/Name/MissileAttackDeathImpulse,Missile Attack Death Impulse=228
Actor/Name/Model,model=229
Actor/Name/ModelAddition,Model Addition=230
Actor/Name/ModelAdditionHarness,Model Kit Addition=231
Actor/Name/ModelAdditionNoAnims,Model additions have no animations=232
Actor/Name/ModelAdditionStatic,Static model addition=233
Actor/Name/ModelAnimationStyleContinuous,Continuous model animation style=234
Actor/Name/ModelAnimationStyleContinuousUNIT,Continuous model animation style=235
Actor/Name/ModelAnimationStyleOneShot,One-shot model animation style=236
Actor/Name/ModelAnimationStyleOneShotNoOrphan,One-shot, non-orphaned model animation style=237
Actor/Name/ModelAnimationStyleOneShotUNIT,One-time model animation style=238
Actor/Name/ModelConstruction,Model Construction=239
Actor/Name/ModelHosted,Model as host=240
Actor/Name/ModelOneShot,One-shot model=241
Actor/Name/ModelPlaceholder,Model Placeholder=242
Actor/Name/ModelPretarget,Model Pretarget=243
Actor/Name/ModelPretargetAir,Model pretarget air=244
Actor/Name/ModelPretargetGround,Model pre-selects the target ground=245
Actor/Name/ModelRagdoll,Ragdoll model=246
Actor/Name/NanniteCreationMacro,Nannite Creation Macro=247
Actor/Name/PathingBlocker,Path Blocker=248
Actor/Name/PhysicsImpactHarness,Physics Impact Harness=249
Actor/Name/PhysicsImpactSound,Physics Impact Sound=250
Actor/Name/PhysicsWaterBloodSlickHarness,Physical expression water blood smooth suit=251
Actor/Name/PlaceholderBase,Placeholder Base=252
Actor/Name/PlaceholderModel,Placeholder Model=253
Actor/Name/PlacementModel,Placement Model=254
Actor/Name/PlacementSound,Placement Sound=255
Actor/Name/PointBlockPathing,Block path point=256
Actor/Name/PointBlockPathingEditor,Blocking Path Point Editor=257
Actor/Name/PointBlockPathingName,Blocking path point name=258
Actor/Name/PointBlockPathingNameSite,Block path point name site=259
Actor/Name/PointNoFlyZone,Point in the no-fly zone=260
Actor/Name/PointNoFlyZoneEditor,Point editor for non-flyable zones=261
Actor/Name/PointNoFlyZoneName,Point name of the non-flyable zone=262
Actor/Name/PointNormal,Normal point=263
Actor/Name/PointNormalEditor,Normal point editor=264
Actor/Name/PointNormalName,Normal point name=265
Actor/Name/PointNormalNameSite,Normal point name site=266
Actor/Name/PointSoundEmitter,Sound Emitter Point=267
Actor/Name/PointSoundEmitterEditor,Sound Emitter Point Editor=268
Actor/Name/PointSoundEmitterName,Sound emitter point name=269
Actor/Name/PointSoundEmitterNameSite,Sound emitter point name site=270
Actor/Name/PointSoundEmitterRange,Point sound emitter range=271
Actor/Name/PointStartLoc,Birth location point=272
Actor/Name/PointStartLocEditor,Birth Location Point Editor=273
Actor/Name/PointStartLocName,Birth location point name=274
Actor/Name/PointStartLocNameSite,Birth location point name site=275
Actor/Name/PointStartLocUnit,Birth position point unit=276
Actor/Name/PointStartLocUnitSite,Birth location point unit site=277
Actor/Name/PointThreeD,3D Point=278
Actor/Name/PointThreeDEditor,3D Point Editor=279
Actor/Name/PointThreeDName,3D point name=280
Actor/Name/PointThreeDNameSite,3D point name site=281
Actor/Name/PortraitActor,Avatar actor=282
Actor/Name/PowerVisual,Power Visual Effect=283
Actor/Name/PreSelection,Preselection=284
Actor/Name/PreservedDoodad,PreservedDoodad=285
Actor/Name/PreviewerCamera,Previewer Camera=286
Actor/Name/PreviewerModel,Previewer Model=287
Actor/Name/PreviewerSound,Previewer Sound=288
Actor/Name/PreviewerText,Previewer text=289
Actor/Name/ProgressSound,Progress Sound=290
Actor/Name/PropertyCurveSet,Property Curve Set=291
Actor/Name/RangeAbil,Skill Range=292
Actor/Name/RangeBehavior,Behavior Range=293
Actor/Name/RangeSight,View range=294
Actor/Name/RangeWeapon,Weapon range=295
Actor/Name/RangedAttackDeathForce,Ranged Attack Forced Death=296
Actor/Name/RangedAttackDeathImpulse,Ranged Attack Death Impulse=297
Actor/Name/RemoveFlyerHelperMacro,Remove flying unit helper macro=298
Actor/Name/SOp180,Position operation 180=299
Actor/Name/SOp270,Position operation 270=300
Actor/Name/SOp2DRotation,Position operation 2D rotation=301
Actor/Name/SOp90,Position operation 90=302
Actor/Name/SOpActionCenter,Position Action Action Center=303
Actor/Name/SOpActionImpact,Position Action Impact=304
Actor/Name/SOpActionLaunch,Position action action launch=305
Actor/Name/SOpAttachCenter,Position Operation Attach Center=306
Actor/Name/SOpAttachCenterSoft,Position Attach Center Soft=307
Actor/Name/SOpAttachCenterStationary,Position operation attachment center stationary=308
Actor/Name/SOpAttachCustomA,Position operation attachment custom A=309
Actor/Name/SOpAttachDamage,Position operation attachment damage=310
Actor/Name/SOpAttachHardPoint,Position operation attachment hard point=311
Actor/Name/SOpAttachHardPoint01,Position operation attachment hard point 01=312
Actor/Name/SOpAttachHardPoint02,Position operation attachment hard point 02=313
Actor/Name/SOpAttachHardPoint03,Position operation attachment hard point 03=314
Actor/Name/SOpAttachHardPoint04,Position operation attachment hard point 04=315
Actor/Name/SOpAttachHarness,Position operation attachment harness=316
Actor/Name/SOpAttachHarnessSoft,Position operation attachment harness soft=317
Actor/Name/SOpAttachHarnessStationary,Position-operated attachment harness stasis=318
Actor/Name/SOpAttachHead,Position operation attachment head=319
Actor/Name/SOpAttachHeadSound,Position operation attached head sound effect=320
Actor/Name/SOpAttachInternalDetonation,Position operation attachment internal detonation=321
Actor/Name/SOpAttachOrigin,Position operation attachment origin=322
Actor/Name/SOpAttachOriginHoldPosition,Position operation attachment origin hold position=323
Actor/Name/SOpAttachOriginStationary,Position operation attachment origin stationary=324
Actor/Name/SOpAttachOverhead,Position operation attaches above the head=325
Actor/Name/SOpAttachRandomDamage,Position operation attaches random damage=326
Actor/Name/SOpAttachRandomWeapon,Position operation attaches a random weapon=327
Actor/Name/SOpAttachRollingWeaponStripe,Position operation attached rolling weapon strafing=328
Actor/Name/SOpAttachShield,Position-operated attachment shield=329
Actor/Name/SOpAttachTarget,Position operation attachment target=330
Actor/Name/SOpAttachTarget1,Position operation attachment target 1=331
Actor/Name/SOpAttachTarget2,Position operation attachment target 2=332
Actor/Name/SOpAttachTarget3,Position operation attachment target 3=333
Actor/Name/SOpAttachTarget4,Position operation attachment target 4=334
Actor/Name/SOpAttachTargetSoft,Position operation attachment target soft=335
Actor/Name/SOpAttachTurret,Position-operated attachment turret=336
Actor/Name/SOpAttachVolumeNoVizEnhance,Position operation attachment volume has no visual enhancement=337
Actor/Name/SOpAttachVolumeStandard,Position operation attachment volume standard=338
Actor/Name/SOpAttachWeapon,Position-operated attachment weapon=339
Actor/Name/SOpAttachWeapon00,Position operation attachment weapon 00=340
Actor/Name/SOpAttachWeapon01,Position operation attachment weapon 01=341
Actor/Name/SOpAttachWeapon01Soft,Position operation attachment weapon 01 soft=342
Actor/Name/SOpAttachWeapon02,Position operation attachment weapon 02=343
Actor/Name/SOpAttachWeapon03,Position operation attachment weapon 03=344
Actor/Name/SOpAttachWeapon04,Position operation attachment weapon 04=345
Actor/Name/SOpAttachWeapon05,Position operation attachment weapon 05=346
Actor/Name/SOpAttachWeapon06,Position-operated attachment weapon 06=347
Actor/Name/SOpAttachWeapon07,Position-operated attachment weapon 07=348
Actor/Name/SOpAttachWeapon08,Position-operated attachment weapon 08=349
Actor/Name/SOpAttachWeapon09,Position operation attachment weapon 09=350
Actor/Name/SOpAttachWeapon10,Position operation attachment weapon 10=351
Actor/Name/SOpAttachWeapon11,Position operation attachment weapon 11=352
Actor/Name/SOpAttachWeapon12,Position operation attachment weapon 12=353
Actor/Name/SOpAttachWeapon14,Position operation attachment weapon 14=354
Actor/Name/SOpAttachWeapon21,Position operation attachment weapon 21=355
Actor/Name/SOpAttachWeapon24,Position operation attachment weapon 24=356
Actor/Name/SOpAttachWeaponLeft,Position operation attached weapon left=357
Actor/Name/SOpAttachWeaponRight,Position operation attachment weapon right=358
Actor/Name/SOpAttachWeaponSoft,Position-operated attached weapon softness=359
Actor/Name/SOpBanker,Position Operation Dataset=360
Actor/Name/SOpBankerBuilding,Position Operation Dataset Building=361
Actor/Name/SOpBankerUnit,Position operation data set unit=362
Actor/Name/SOpBankerUnitBuilding,Position Operation Dataset Unit Building=363
Actor/Name/SOpBasicActorPositionFollow,Position operation basic actor position following=364
Actor/Name/SOpBasicCreatorFollow,Position Operation Basic Creator Follow=365
Actor/Name/SOpBasicCreatorPositionFollow,Position Operation Basic Creator Position Follow=366
Actor/Name/SOpBasicCreatorStationary,Position Operation Basic Creator Stationary=367
Actor/Name/SOpBasicInitialBearings,Basic starting bearings for position operations=368
Actor/Name/SOpBasicScopeFollow,Position operation basic scope follow=369
Actor/Name/SOpBasicScopePositionFollowHoldRotation,Position operation basic field position follow hold rotation=370
Actor/Name/SOpBasicScopeStationary,Position Operation Basic ScopeStationary=371
Actor/Name/SOpCasterPoint,Position operation caster point=372
Actor/Name/SOpDeathMotionFlier,Position-operated death motion flier=373
Actor/Name/SOpDeathMotionGround,Position operation death motion ground=374
Actor/Name/SOpForwardCasterCenter,Position operation forward caster center=375
Actor/Name/SOpForwardCasterCenterInverted,Position operation forward caster center inverted=376
Actor/Name/SOpForwardCasterPoint,Position operation forward caster point=377
Actor/Name/SOpForwardCasterPointInverted,The position operation is reversed to the forward caster point.=378
Actor/Name/SOpForwardDefault,Position operation forward default=379
Actor/Name/SOpForwardEast,Position operation facing forward east=380
Actor/Name/SOpForwardImpactGuide,Position Operation Forward Impact Guide=381
Actor/Name/SOpForwardLaunchGuide,Position operation forward launch guide=382
Actor/Name/SOpForwardLaunchGuideDamage,Position operation launches guidance damage forward=383
Actor/Name/SOpForwardLaunchGuideInverted,Position operation forward launch guide reversed=384
Actor/Name/SOpForwardLaunchGuideStationary,Position operation forward launch guide stationary=385
Actor/Name/SOpForwardNorth,Position operation forward north=386
Actor/Name/SOpForwardPointsUp,Position operation forward points up=387
Actor/Name/SOpForwardQueryCaster,Position operation forward query caster=388
Actor/Name/SOpForwardSourcePoint,Position operation forward source point=389
Actor/Name/SOpForwardTargetPoint,Position operation forward target point=390
Actor/Name/SOpForwardTargetPointInverted,The position operation is reversed towards the previous target point=391
Actor/Name/SOpForwardTargetUnit,Position operation forward target unit=392
Actor/Name/SOpForwardWeapon,Position-operated forward weapon=393
Actor/Name/SOpForwardWest,Position operation front vector west=394
Actor/Name/SOpHeightLaunch,Position operation height launch=395
Actor/Name/SOpHigherBy3,Position operation higher than 3=396
Actor/Name/SOpHigherBy5,Position operation higher than 5=397
Actor/Name/SOpHigherOfTerrainAndWater,Position operation terrain or water body is higher=398
Actor/Name/SOpHostCasterOverhead,Position operation subject above the caster's head=399
Actor/Name/SOpHostMissile,Position operation body emitter=400
Actor/Name/SOpIncomingDirect,Position Operation IncomingDirect=401
Actor/Name/SOpIncomingDirect1,Position operation approaching direct 1=402
Actor/Name/SOpIncomingDirect1Dot5,Position operation close to direct 1.5=403
Actor/Name/SOpIncomingDirectDot15,Position operation close to direct 1.15=404
Actor/Name/SOpIncomingDirectDot25,Position operation close to direct.25=405
Actor/Name/SOpIncomingMissile,Position operation approaching the missile=406
Actor/Name/SOpIncomingMissileDot1,Position operation approaching missile.1=407
Actor/Name/SOpIncomingMissileDot25,Position operation approaches the missile.25=408
Actor/Name/SOpIncomingMissileDot5,Position manipulation approaching missile.5=409
Actor/Name/SOpIncomingMissileDot75,Position manipulation approaching missile.75=410
Actor/Name/SOpLocalOffsetHarness,Position operation local offset Harness=411
Actor/Name/SOpMissile,Position-operated missile=412
Actor/Name/SOpMotionDirection,Position operation action direction=413
Actor/Name/SOpMotionDirectionWeaponLeft,Position operation action direction weapon left=414
Actor/Name/SOpMotionDirectionWeaponRight,Position operation action direction weapon right=415
Actor/Name/SOpMoveBackBy1,Position operation moves back by 1=416
Actor/Name/SOpMoveBackBy2,Position operation moves back by 2=417
Actor/Name/SOpMoveBy1,Position operation move 1=418
Actor/Name/SOpMoveBy1Dot5,Position operation move 1.5=419
Actor/Name/SOpMoveBy2,Position operation move 2=420
Actor/Name/SOpMoveBy3,Position operation move 3=421
Actor/Name/SOpMoveBy3Dot5,Position operation move 3.5=422
Actor/Name/SOpMoveBy4,Position operation move 4=423
Actor/Name/SOpMoveBy5Dot5,Position operation move 5.5=424
Actor/Name/SOpMoveBy7,Position operation move 7=425
Actor/Name/SOpMoveByDot05,Position operation move.05=426
Actor/Name/SOpMoveByDot1,Position operation move.1=427
Actor/Name/SOpMoveByDot15,Position operation move.15=428
Actor/Name/SOpMoveByDot15ToDot5,Position operation moves .15 to .5=429
Actor/Name/SOpMoveByDot25,Position operation move.25=430
Actor/Name/SOpMoveByDot3,Position operation move.3=431
Actor/Name/SOpMoveByDot5,Position operation move.5=432
Actor/Name/SOpMoveByDot5To1,Position operation moves .5 to 1=433
Actor/Name/SOpMoveByDot75,Position operation move.75=434
Actor/Name/SOpMoveDownBy1,Position operation moves down by 1=435
Actor/Name/SOpMoveDownBy2,Position operation move down by 2=436
Actor/Name/SOpMoveDownByDot1,Position operation moves down.1=437
Actor/Name/SOpMoveDownByDot15,Position operation moves down.15=438
Actor/Name/SOpMoveDownByDot15ToDot25,The position operation moves down .15 to .25=439
Actor/Name/SOpMoveDownByDot25,Position operation moves down.25=440
Actor/Name/SOpMoveDownByDot25ToDot75,The position operation moves down .25 to .75=441
Actor/Name/SOpMoveDownByDot35,Position operation moves down.35=442
Actor/Name/SOpMoveDownByDot5,Position operation moves down.5=443
Actor/Name/SOpMoveDownByDot75,Position operation moves down.75=444
Actor/Name/SOpMoveUpBy1,Position operation move up by 1=445
