UI/Hotkey/InventoryButtonUse0,NumPad7=0
Button/Hotkey/SwarmHostBurrowDown_USD,D=48
Button/Hotkey/SwarmHostBurrowDown_USDL,D=49
Button/Hotkey/AdeptResearchPiercingUpgrade,A=50
Button/Hotkey/CloakingDrone,Q=51
Button/Hotkey/KD8Charge,D=52
Button/Hotkey/KD8Charge_NRS,D=53
Button/Hotkey/KD8Charge_SC1,D=54
Button/Hotkey/KD8Charge_USD,D=55
Button/Hotkey/KD8Charge_USDL,D=56
Button/Hotkey/PurificationNovaTargeted,V=57
Button/Hotkey/ResearchAdeptShieldUpgrade,S=58
Button/Hotkey/ResearchAdeptShieldUpgrade_NRS,S=59
Button/Hotkey/ResearchAdeptShieldUpgrade_SC1,S=60
Button/Hotkey/ResearchAdeptShieldUpgrade_USD,S=61
Button/Hotkey/ResearchAdeptShieldUpgrade_USDL,S=62
Button/Hotkey/ResearchLurkerRange,S=63
Button/Hotkey/ResearchLurkerRange_NRS,S=64
Button/Hotkey/ResearchLurkerRange_SC1,S=65
Button/Hotkey/ResearchLurkerRange_USD,S=66
Button/Hotkey/ResearchLurkerRange_USDL,S=67
Button/Hotkey/TerranVehicleAndShipPlatingLevel1,W=68
Button/Hotkey/TerranVehicleAndShipWeaponsLevel1,Q=69
Button/Hotkey/AdeptResearchPiercingUpgrade_NRS,A=70
Button/Hotkey/AdeptResearchPiercingUpgrade_SC1,A=71
Button/Hotkey/AdeptResearchPiercingUpgrade_USD,A=72
Button/Hotkey/AdeptResearchPiercingUpgrade_USDL,A=73
Button/Hotkey/AmorphousArmorcloud,C=74
Button/Hotkey/AmorphousArmorcloud_NRS,C=75
Button/Hotkey/AmorphousArmorcloud_SC1,C=76
Button/Hotkey/AmorphousArmorcloud_USD,C=77
Button/Hotkey/AmorphousArmorcloud_USDL,C=78
Button/Hotkey/Baneling2,E=79
Button/Hotkey/BatteryOvercharge,B=80
Button/Hotkey/BatteryOvercharge_NRS,B=81
Button/Hotkey/BatteryOvercharge_SC1,B=82
Button/Hotkey/BatteryOvercharge_USD,B=83
Button/Hotkey/BatteryOvercharge_USDL,B=84
Button/Hotkey/BurrowLurkerMP_SC1,D=85
Button/Hotkey/CaduceusReactor,=86
Button/Hotkey/CarrierCapacity,C=87
Button/Hotkey/CarrierCapacity_NRS,C=88
Button/Hotkey/CarrierCapacity_SC1,C=89
Button/Hotkey/CarrierCapacity_USD,C=90
Button/Hotkey/CarrierCapacity_USDL,C=91
Button/Hotkey/CarrierLeashRangeUpgrade,A=92
Button/Hotkey/CarrierLeashRangeUpgrade_NRS,A=93
Button/Hotkey/CarrierLeashRangeUpgrade_SC1,A=94
Button/Hotkey/CarrierLeashRangeUpgrade_USD,A=95
Button/Hotkey/CarrierLeashRangeUpgrade_USDL,A=96
Button/Hotkey/ChronoBoostEnergyCost,C=97
Button/Hotkey/ChronoBoostEnergyCost_NRS,C=98
Button/Hotkey/ChronoBoostEnergyCost_SC1,C=99
Button/Hotkey/ChronoBoostEnergyCost_USD,C=100
Button/Hotkey/ChronoBoostEnergyCost_USDL,C=101
Button/Hotkey/CloakingField_NRS,C=102
Button/Hotkey/CloakingField_SC1,C=103
Button/Hotkey/CycloneResearchHurricaneThrusters,R=104
Button/Hotkey/CycloneResearchHurricaneThrusters_NRS,R=105
Button/Hotkey/CycloneResearchHurricaneThrusters_SC1,R=106
Button/Hotkey/CycloneResearchHurricaneThrusters_USD,R=107
Button/Hotkey/CycloneResearchHurricaneThrusters_USDL,R=108
Button/Hotkey/CycloneResearchLockOnAir,E=109
Button/Hotkey/CycloneResearchLockOnAir_NRS,E=110
Button/Hotkey/CycloneResearchLockOnAir_SC1,E=111
Button/Hotkey/CycloneResearchLockOnAir_USD,E=112
Button/Hotkey/CycloneResearchLockOnAir_USDL,E=113
Button/Hotkey/DarkTemplarBlink,B=114
Button/Hotkey/DarkTemplarBlink_NRS,B=115
Button/Hotkey/DarkTemplarBlink_SC1,B=116
Button/Hotkey/DarkTemplarBlink_USD,B=117
Button/Hotkey/DarkTemplarBlink_USDL,B=118
Button/Hotkey/EnergyRecharge,B=119
Button/Hotkey/EnergyRecharge_NRS,B=120
Button/Hotkey/EnergyRecharge_SC1,B=121
Button/Hotkey/EnergyRecharge_USD,B=122
Button/Hotkey/EnergyRecharge_USDL,B=123
Button/Hotkey/EvolveAmorphousArmorcloud,C=124
Button/Hotkey/EvolveAmorphousArmorcloud_NRS,C=125
Button/Hotkey/EvolveAmorphousArmorcloud_SC1,C=126
Button/Hotkey/EvolveAmorphousArmorcloud_USD,C=127
Button/Hotkey/EvolveAmorphousArmorcloud_USDL,C=128
Button/Hotkey/EvolveDiggingClaws,D=129
Button/Hotkey/EvolveDiggingClaws_NRS,D=130
Button/Hotkey/EvolveDiggingClaws_SC1,D=131
Button/Hotkey/EvolveDiggingClaws_USD,D=132
Button/Hotkey/EvolveDiggingClaws_USDL,D=133
Button/Hotkey/EvolveGroovedSpines,G=134
Button/Hotkey/EvolveGroovedSpines_NRS,G=135
Button/Hotkey/EvolveGroovedSpines_SC1,G=136
Button/Hotkey/EvolveGroovedSpines_USD,G=137
Button/Hotkey/EvolveGroovedSpines_USDL,G=138
Button/Hotkey/EvolveMuscularAugments,H=139
Button/Hotkey/EvolveMuscularAugments_NRS,H=140
Button/Hotkey/EvolveMuscularAugments_SC1,H=141
Button/Hotkey/EvolveMuscularAugments_USD,H=142
Button/Hotkey/EvolveMuscularAugments_USDL,H=143
Button/Hotkey/EvolvePropulsivePeristalsis,S=144
Button/Hotkey/EvolvePropulsivePeristalsis_NRS,S=145
Button/Hotkey/EvolvePropulsivePeristalsis_SC1,S=146
Button/Hotkey/EvolvePropulsivePeristalsis_USD,S=147
Button/Hotkey/EvolvePropulsivePeristalsis_USDL,S=148
Button/Hotkey/HydraliskFrenzy,F=149
Button/Hotkey/HydraliskFrenzy_NRS,F=150
Button/Hotkey/HydraliskFrenzy_SC1,F=151
Button/Hotkey/HydraliskFrenzy_USD,F=152
Button/Hotkey/HydraliskFrenzy_USDL,F=153
Button/Hotkey/InfestorEnsnare,T=154
Button/Hotkey/InfestorEnsnare_NRS,T=155
Button/Hotkey/InfestorEnsnare_SC1,T=156
Button/Hotkey/InfestorEnsnare_USD,T=157
Button/Hotkey/InfestorEnsnare_USDL,T=158
Button/Hotkey/LockOnAir,T=159
Button/Hotkey/LockOnAir_NRS,T=160
Button/Hotkey/LockOnAir_SC1,T=161
Button/Hotkey/LockOnAir_USD,T=162
Button/Hotkey/LockOnAir_USDL,T=163
Button/Hotkey/MorphtoObserver,T=164
Button/Hotkey/MorphtoObserverSiege,E=165
Button/Hotkey/MorphtoObserverSiege_NRS,E=166
Button/Hotkey/MorphtoObserverSiege_SC1,E=167
Button/Hotkey/MorphtoObserverSiege_USD,E=168
Button/Hotkey/MorphtoObserverSiege_USDL,E=169
Button/Hotkey/MorphtoObserver_NRS,T=170
Button/Hotkey/MorphtoObserver_SC1,T=171
Button/Hotkey/MorphtoObserver_USD,T=172
Button/Hotkey/MorphtoObserver_USDL,T=173
Button/Hotkey/NexusMassRecall,R=174
Button/Hotkey/NexusMassRecall_NRS,R=175
Button/Hotkey/NexusMassRecall_SC1,A=176
Button/Hotkey/NexusMassRecall_USD,R=177
Button/Hotkey/NexusMassRecall_USDL,R=178
Button/Hotkey/NexusShieldOvercharge,S=179
Button/Hotkey/NexusShieldOverchargeOff,F=180
Button/Hotkey/NexusShieldOverchargeOff_NRS,F=181
Button/Hotkey/NexusShieldOverchargeOff_SC1,F=182
Button/Hotkey/NexusShieldOverchargeOff_USD,F=183
Button/Hotkey/NexusShieldOverchargeOff_USDL,F=184
Button/Hotkey/NexusShieldOvercharge_NRS,S=185
Button/Hotkey/NexusShieldOvercharge_SC1,S=186
Button/Hotkey/NexusShieldOvercharge_USD,S=187
Button/Hotkey/NexusShieldOvercharge_USDL,S=188
Button/Hotkey/NexusShieldRecharge,S=189
Button/Hotkey/NexusShieldRechargeOnPylon,S=190
Button/Hotkey/NexusShieldRechargeOnPylon_NRS,S=191
Button/Hotkey/NexusShieldRechargeOnPylon_SC1,S=192
Button/Hotkey/NexusShieldRechargeOnPylon_USD,S=193
Button/Hotkey/NexusShieldRechargeOnPylon_USDL,S=194
Button/Hotkey/NexusShieldRecharge_NRS,S=195
Button/Hotkey/NexusShieldRecharge_SC1,S=196
Button/Hotkey/NexusShieldRecharge_USD,S=197
Button/Hotkey/NexusShieldRecharge_USDL,S=198
Button/Hotkey/PsionicSurge,R=199
Button/Hotkey/PsionicSurge_NRS,R=200
Button/Hotkey/PsionicSurge_SC1,R=201
Button/Hotkey/PsionicSurge_USD,R=202
Button/Hotkey/PsionicSurge_USDL,R=203
Button/Hotkey/PurificationNovaTargeted_NRS,V=204
Button/Hotkey/PurificationNovaTargeted_SC1,V=205
Button/Hotkey/PurificationNovaTargeted_USD,V=206
Button/Hotkey/PurificationNovaTargeted_USDL,V=207
Button/Hotkey/RavenRepairDrone,D=208
Button/Hotkey/RavenRepairDroneHeal,E=209
Button/Hotkey/RavenRepairDroneHeal_NRS,E=210
Button/Hotkey/RavenRepairDroneHeal_SC1,E=211
Button/Hotkey/RavenRepairDroneHeal_USD,E=212
Button/Hotkey/RavenRepairDroneHeal_USDL,E=213
Button/Hotkey/RavenRepairDrone_NRS,D=214
Button/Hotkey/RavenRepairDrone_SC1,D=215
Button/Hotkey/RavenRepairDrone_USD,D=216
Button/Hotkey/RavenRepairDrone_USDL,D=217
Button/Hotkey/RavenResearchEnhancedMunitions,E=218
Button/Hotkey/RavenResearchEnhancedMunitions_NRS,E=219
Button/Hotkey/RavenResearchEnhancedMunitions_SC1,E=220
Button/Hotkey/RavenResearchEnhancedMunitions_USD,E=221
Button/Hotkey/RavenResearchEnhancedMunitions_USDL,E=222
Button/Hotkey/RavenScramblerMissile,C=223
Button/Hotkey/RavenScramblerMissile_NRS,C=224
Button/Hotkey/RavenScramblerMissile_SC1,C=225
Button/Hotkey/RavenScramblerMissile_USD,C=226
Button/Hotkey/RavenScramblerMissile_USDL,C=227
Button/Hotkey/RavenShredderMissile,R=228
Button/Hotkey/RavenShredderMissile_NRS,R=229
Button/Hotkey/RavenShredderMissile_SC1,R=230
Button/Hotkey/RavenShredderMissile_USD,R=231
Button/Hotkey/RavenShredderMissile_USDL,R=232
Button/Hotkey/ResearchAmplifiedShielding,S=233
Button/Hotkey/ResearchAmplifiedShielding_NRS,S=234
Button/Hotkey/ResearchAmplifiedShielding_SC1,S=235
Button/Hotkey/ResearchAmplifiedShielding_USD,S=236
Button/Hotkey/ResearchAmplifiedShielding_USDL,S=237
Button/Hotkey/ResearchArmorPiercingRockets,A=238
Button/Hotkey/ResearchArmorPiercingRockets_NRS,A=239
Button/Hotkey/ResearchArmorPiercingRockets_SC1,A=240
Button/Hotkey/ResearchArmorPiercingRockets_USD,A=241
Button/Hotkey/ResearchArmorPiercingRockets_USDL,A=242
Button/Hotkey/ResearchCarrierCapacity,C=243
Button/Hotkey/ResearchCarrierCapacity_NRS,C=244
Button/Hotkey/ResearchCarrierCapacity_SC1,C=245
Button/Hotkey/ResearchCarrierCapacity_UDSL,C=246
Button/Hotkey/ResearchCarrierCapacity_USD,C=247
Button/Hotkey/ResearchCarrierLeashRangeUpgrade,A=248
Button/Hotkey/ResearchCarrierLeashRangeUpgrade_NRS,A=249
Button/Hotkey/ResearchCarrierLeashRangeUpgrade_SC1,A=250
Button/Hotkey/ResearchCarrierLeashRangeUpgrade_USD,A=251
Button/Hotkey/ResearchCarrierLeashRangeUpgrade_USDL,A=252
Button/Hotkey/ResearchCycloneRapidFireLaunchers,A=253
Button/Hotkey/ResearchCycloneRapidFireLaunchers_NRS,A=254
Button/Hotkey/ResearchCycloneRapidFireLaunchers_SC1,A=255
Button/Hotkey/ResearchCycloneRapidFireLaunchers_USD,A=256
Button/Hotkey/ResearchCycloneRapidFireLaunchers_USDL,A=257
Button/Hotkey/ResearchDarkTemplarBlink,B=258
Button/Hotkey/ResearchDarkTemplarBlink_NRS,B=259
Button/Hotkey/ResearchDarkTemplarBlink_SC1,B=260
Button/Hotkey/ResearchDarkTemplarBlink_USD,B=261
Button/Hotkey/ResearchDarkTemplarBlink_USDL,B=262
Button/Hotkey/ResearchEnhancedShockwaves,S=263
Button/Hotkey/ResearchEnhancedShockwaves_NRS,S=264
Button/Hotkey/ResearchEnhancedShockwaves_SC1,S=265
Button/Hotkey/ResearchEnhancedShockwaves_USD,S=266
Button/Hotkey/ResearchEnhancedShockwaves_USDL,S=267
Button/Hotkey/ResearchMagFieldLaunchers,R=268
Button/Hotkey/ResearchMagFieldLaunchers_NRS,R=269
Button/Hotkey/ResearchMagFieldLaunchers_SC1,R=270
Button/Hotkey/ResearchMagFieldLaunchers_USD,R=271
Button/Hotkey/ResearchMagFieldLaunchers_USDL,R=272
Button/Hotkey/ResearchPsionicAmplifiers,R=273
Button/Hotkey/ResearchPsionicAmplifiers_NRS,R=274
Button/Hotkey/ResearchPsionicAmplifiers_SC1,R=275
Button/Hotkey/ResearchPsionicAmplifiers_USD,R=276
Button/Hotkey/ResearchPsionicAmplifiers_USDL,R=277
Button/Hotkey/ResearchPsionicSurge,R=278
Button/Hotkey/ResearchPsionicSurge_NRS,R=279
Button/Hotkey/ResearchPsionicSurge_SC1,R=280
Button/Hotkey/ResearchPsionicSurge_USD,R=281
Button/Hotkey/ResearchPsionicSurge_USDL,R=282
Button/Hotkey/ResearchRapidReignitionSystem,S=283
Button/Hotkey/ResearchRapidReignitionSystem_NRS,S=284
Button/Hotkey/ResearchRapidReignitionSystem_SC1,S=285
Button/Hotkey/ResearchRapidReignitionSystem_USD,S=286
Button/Hotkey/ResearchRapidReignitionSystem_USDL,S=287
Button/Hotkey/ResearchRavenInterferenceMatrix,E=288
Button/Hotkey/ResearchRavenInterferenceMatrix_NRS,E=289
Button/Hotkey/ResearchRavenInterferenceMatrix_SC1,E=290
Button/Hotkey/ResearchRavenInterferenceMatrix_USD,E=291
Button/Hotkey/ResearchRavenInterferenceMatrix_USDL,E=292
Button/Hotkey/ResearchRavenRecalibratedExplosives,E=293
Button/Hotkey/ResearchRavenRecalibratedExplosives_NRS,E=294
Button/Hotkey/ResearchRavenRecalibratedExplosives_SC1,E=295
Button/Hotkey/ResearchRavenRecalibratedExplosives_USD,E=296
Button/Hotkey/ResearchRavenRecalibratedExplosives_USDL,E=297
Button/Hotkey/ResearchFrenzy,F=298
Button/Hotkey/ResearchFrenzy_NRS,F=299
Button/Hotkey/ResearchFrenzy_SC1,F=300
Button/Hotkey/ResearchFrenzy_USD,F=301
Button/Hotkey/ResearchFrenzy_USDL,F=302
Button/Hotkey/ResearchSmartServos,S=303
Button/Hotkey/ResearchSmartServos_NRS,S=304
Button/Hotkey/ResearchSmartServos_SC1,S=305
Button/Hotkey/ResearchSmartServos_USD,S=306
Button/Hotkey/ResearchSmartServos_USDL,S=307
Button/Hotkey/ShieldBattery,B=308
Button/Hotkey/ShieldBatteryRecharge,R=309
Button/Hotkey/ShieldBatteryRechargeEx5,R=310
Button/Hotkey/ShieldBatteryRecharge_NRS,R=311
Button/Hotkey/ShieldBatteryRecharge_SC1,R=312
Button/Hotkey/ShieldBatteryRecharge_USD,R=313
Button/Hotkey/ShieldBatteryRecharge_USDL,R=314
Button/Hotkey/ShieldBattery_NRS,B=315
Button/Hotkey/ShieldBattery_SC1,B=316
Button/Hotkey/ShieldBattery_USD,B=317
Button/Hotkey/ShieldBattery_USDL,B=318
Button/Hotkey/SwarmHostBurrowDown_SC1,D=319
Button/Hotkey/TempestDisruptionBlast,D=320
Button/Hotkey/TempestDisruptionBlast_NRS,D=321
Button/Hotkey/TempestDisruptionBlast_SC1,D=322
Button/Hotkey/TempestDisruptionBlast_USD,D=323
Button/Hotkey/TempestDisruptionBlast_USDL,D=324
Button/Hotkey/TempestResearchGroundAttackUpgrade,T=325
Button/Hotkey/TempestResearchGroundAttackUpgrade_NRS,T=326
Button/Hotkey/TempestResearchGroundAttackUpgrade_SC1,T=327
Button/Hotkey/TempestResearchGroundAttackUpgrade_USD,T=328
Button/Hotkey/TempestResearchGroundAttackUpgrade_USDL,T=329
Button/Hotkey/AcademySCBW,A=330
Button/Hotkey/ArbiterSCBW,V=331
Button/Hotkey/ArbiterSCBWEnergyUpgrade,R=332
Button/Hotkey/ArbiterSCBWRecall,R=333
Button/Hotkey/ArbiterSCBWRecallResearch,C=334
Button/Hotkey/ArbiterSCBWStasisField,F=335
Button/Hotkey/ArbiterSCBWStasisFieldResearch,F=336
Button/Hotkey/ArbiterTribunalSCBW,A=337
Button/Hotkey/ArchonSCBW,N=338
Button/Hotkey/ArchonSCBWMerge@Selection,C=339
Button/Hotkey/ArchonSCBWMerge@Target,C=340
Button/Hotkey/ArmorySCBW,A=341
Button/Hotkey/AssimilatorSCBW,A=342
Button/Hotkey/BarracksSCBW,B=343
Button/Hotkey/BattlecruiserSCBW,B=344
Button/Hotkey/BattlecruiserSCBWEnergyUpgrade,R=345
Button/Hotkey/BattlecruiserSCBWYamato,Y=346
Button/Hotkey/BattlecruiserSCBWYamatoResearch,C=347
Button/Hotkey/BuildCancelSCBW,Escape=348
Button/Hotkey/BunkerSCBW,U=349
Button/Hotkey/BunkerSCBW@Load,L=350
Button/Hotkey/BunkerSCBW@RallyPoint,Y=351
Button/Hotkey/BunkerSCBW@Salvage,V=352
Button/Hotkey/BunkerSCBW@Stop,S=353
Button/Hotkey/BunkerSCBW@UnloadAll,D=354
Button/Hotkey/BurrowDownSCBW,D=355
Button/Hotkey/BurrowUpSCBW,R=356
Button/Hotkey/CarrierSCBW,C=357
Button/Hotkey/CarrierSCBWHangarIncreaseUpgrade,S=358
Button/Hotkey/CitadelOfAdunSCBW,C=359
Button/Hotkey/CommandCenterSCBW,C=360
Button/Hotkey/CommandCenterSCBW@Load,O=361
Button/Hotkey/CommandCenterSCBW@UnloadAll,D=362
Button/Hotkey/ComsatStationSCBW,C=363
Button/Hotkey/ComsatStationSCBWScannerSweep,C=364
Button/Hotkey/ControlTowerSCBW,C=365
Button/Hotkey/CorsairSCBW,R=366
Button/Hotkey/CorsairSCBWDisruptionWeb,D=367
Button/Hotkey/CorsairSCBWDisruptionWebResearch,C=368
Button/Hotkey/CorsairSCBWEnergyUpgrade,J=369
Button/Hotkey/CorsairSCBW_SC1,O=370
Button/Hotkey/CovertOpsSCBW,C=371
Button/Hotkey/CreepColonySCBW,C=372
Button/Hotkey/CyberneticsCoreSCBW,Y=373
Button/Hotkey/DarkArchonSCBWEnergyUpgrade,N=374
Button/Hotkey/DarkArchonSCBWFeedback,F=375
Button/Hotkey/DarkArchonSCBWFeedbackResearch,C=376
Button/Hotkey/DarkArchonSCBWMaelstrom,E=377
Button/Hotkey/DarkArchonSCBWMaelstromResearch,M=378
Button/Hotkey/DarkArchonSCBWMerge@Selection,C=379
Button/Hotkey/DarkArchonSCBWMerge@Target,C=380
Button/Hotkey/DarkArchonSCBWMindControl,C=381
Button/Hotkey/DarkArchonSCBWMindControlResearch,C=382
Button/Hotkey/DarkTemplarSCBW,A=383
Button/Hotkey/DefilerMoundSCBW,D=384
Button/Hotkey/DefilerSCBW,F=385
Button/Hotkey/DefilerSCBWConsume,C=386
Button/Hotkey/DefilerSCBWConsumeResearch,C=387
Button/Hotkey/DefilerSCBWDarkSwarm,T=388
Button/Hotkey/DefilerSCBWEnergyUpgrade,R=389
Button/Hotkey/DefilerSCBWPlague,G=390
Button/Hotkey/DefilerSCBWPlagueResearch,A=391
Button/Hotkey/DevourerSCBW,D=392
Button/Hotkey/DragoonSCBW,D=393
Button/Hotkey/DragoonSCBWRangeUpgrade,R=394
Button/Hotkey/DroneSCBW,D=395
Button/Hotkey/DroneSCBW@Harvest,G=396
Button/Hotkey/DroneSCBW@ReturnCargo,C=397
Button/Hotkey/DropshipSCBW,D=398
Button/Hotkey/DropshipSCBW@Load,L=399
Button/Hotkey/DropshipSCBW@UnloadAll,D=400
Button/Hotkey/DropshipSCBWSpeedBoost,B=401
Button/Hotkey/DropshipSCBWSpeedBoostResearch,E=402
Button/Hotkey/EngineeringBaySCBW,E=403
Button/Hotkey/EvolutionChamberSCBW,V=404
Button/Hotkey/ExtractorSCBW,E=405
Button/Hotkey/FactorySCBW,F=406
Button/Hotkey/FirebatSCBW,F=407
Button/Hotkey/FirebatSCBWStimpack,T=408
Button/Hotkey/FirebatSCBWStimpack@Redirect,T=409
Button/Hotkey/FirebatSCBW_NRS,I=410
Button/Hotkey/FleetBeaconSCBW,F=411
Button/Hotkey/ForgeSCBW,F=412
Button/Hotkey/GatewaySCBW,G=413
Button/Hotkey/GatewaySCBWResonantMatrixResearch,T=414
Button/Hotkey/GhostSCBW,G=415
Button/Hotkey/GhostSCBWCloak,C=416
Button/Hotkey/GhostSCBWCloak@Decloak,D=417
Button/Hotkey/GhostSCBWCloakResearch,C=418
Button/Hotkey/GhostSCBWEnergyUpgrade,R=419
Button/Hotkey/GhostSCBWHoldFire,F=420
Button/Hotkey/GhostSCBWLockdown,E=421
Button/Hotkey/GhostSCBWLockdownResearch,D=422
Button/Hotkey/GhostSCBWNuclearStrike,N=423
Button/Hotkey/GhostSCBWSightUpgrade,E=424
Button/Hotkey/GhostSCBWWeaponsFree,G=425
Button/Hotkey/GoliathSCBW,G=426
Button/Hotkey/GoliathSCBWRangeUpgrade,C=427
Button/Hotkey/GreaterSpireSCBW,G=428
Button/Hotkey/GuardianSCBW,G=429
Button/Hotkey/HatcherySCBW,H=430
Button/Hotkey/HatcherySCBW@RallyPoint,Y=431
Button/Hotkey/HatcherySCBW@RallyPointWorker,G=432
Button/Hotkey/HighTemplarSCBW,T=433
Button/Hotkey/HighTemplarSCBWEnergyUpgrade,R=434
Button/Hotkey/HighTemplarSCBWHallucination,F=435
Button/Hotkey/HighTemplarSCBWHallucinationResearch,Y=436
Button/Hotkey/HighTemplarSCBWPsiStorm,T=437
Button/Hotkey/HighTemplarSCBWPsiStormResearch,T=438
Button/Hotkey/HiveSCBW,H=439
Button/Hotkey/HydraliskDenSCBW,D=440
Button/Hotkey/HydraliskSCBW,H=441
Button/Hotkey/HydraliskSCBWRangeUpgrade,G=442
Button/Hotkey/HydraliskSCBWSpeedUpgrade,R=443
Button/Hotkey/InfestedCommandCenterSCBW,C=444
Button/Hotkey/InfestedCommandCenterSCBW@Load,O=445
Button/Hotkey/InfestedCommandCenterSCBW@UnloadAll,D=446
Button/Hotkey/InfestedTerranSCBW,T=447
Button/Hotkey/InfestedTerranSCBW@AttackStructure,C=448
Button/Hotkey/InfestedTerranSCBW@Explode,X=449
Button/Hotkey/InterceptorSCBW,I=450
Button/Hotkey/KerriganSCBW,G=451
Button/Hotkey/LairSCBW,L=452
Button/Hotkey/LarvaSCBW,S=453
Button/Hotkey/LurkerSCBW,E=454
Button/Hotkey/LurkerSCBW@BurrowDown,D=455
Button/Hotkey/LurkerSCBW@BurrowUp,R=456
Button/Hotkey/LurkerSCBWResearch,C=457
Button/Hotkey/MachineShopSCBW,C=458
Button/Hotkey/MarineSCBW,A=459
Button/Hotkey/MarineSCBWRangeUpgrade,R=460
Button/Hotkey/MarineSCBWStimpack,T=461
Button/Hotkey/MarineSCBWStimpack@Redirect,T=462
Button/Hotkey/MarineSCBW_NRS,M=463
Button/Hotkey/MechPlating,V=464
Button/Hotkey/MechPlating@Lvl1,V=465
Button/Hotkey/MechPlating@Lvl2,V=466
Button/Hotkey/MechPlating@Lvl3,V=467
Button/Hotkey/MedicSCBW,E=468
Button/Hotkey/MedicSCBWEnergyUpgrade,N=469
Button/Hotkey/MedicSCBWHeal,E=470
Button/Hotkey/MedicSCBWOpticFlare,B=471
Button/Hotkey/MedicSCBWOpticFlareResearch,B=472
Button/Hotkey/MedicSCBWRestoration,C=473
Button/Hotkey/MedicSCBWRestorationResearch,C=474
Button/Hotkey/MissileTurretSCBW,T=475
Button/Hotkey/MutaliskSCBW,T=476
Button/Hotkey/NexusSCBW,N=477
Button/Hotkey/NuclearSiloSCBW,X=478
Button/Hotkey/NukeSCBWArm,N=479
Button/Hotkey/NydusCanalSCBW,N=480
Button/Hotkey/NydusCanalSCBW@Load,L=481
Button/Hotkey/NydusCanalSCBW@SetRallyPoint,Y=482
Button/Hotkey/NydusCanalSCBW@Spawn,C=483
Button/Hotkey/NydusCanalSCBW@UnloadAll,D=484
Button/Hotkey/NydusCanalSCBW@UnloadUnit,D=485
Button/Hotkey/ObservatorySCBW,E=486
Button/Hotkey/ObserverSCBW,B=487
Button/Hotkey/ObserverSCBW@Morph,T=488
Button/Hotkey/ObserverSCBWSieged@Morph,E=489
Button/Hotkey/ObserverSCBWSightUpgrade,E=490
Button/Hotkey/ObserverSCBWSpeedUpgrade,G=491
Button/Hotkey/OverlordSCBW,V=492
Button/Hotkey/OverlordSCBW@Load,L=493
Button/Hotkey/OverlordSCBW@Unload,D=494
Button/Hotkey/OverlordSCBWSightUpgrade,N=495
Button/Hotkey/OverlordSCBWSpeedUpgrade,P=496
Button/Hotkey/OverlordSCBWTransportResearch,V=497
Button/Hotkey/PhotonCannonSCBW,C=498
Button/Hotkey/PhysicsLabSCBW,X=499
