Actor/EditorSuffix/GuideVisualQuadSplat,=0
Actor/Name/BeamSimpleAnimationStyleContinuous,Estilo contínuo de animação simples de feixe=47
Actor/Name/BeamSimpleAnimationStyleContinuousClosingFull,FeixeAnimaçãoEstiloContínuoFechandoCheio=48
Actor/Name/BeamSimpleAnimationStyleOneShot,Estilo de animação simples de feixe Um tiro=49
Actor/Name/BeamStandard,Feixe Padrão=50
Actor/Name/BeamStandardAnimationStyleContinuous,Estilo contínuo de animação padrão de feixe=51
Actor/Name/BeamStandardAnimationStyleOneShot,Estilo de animação padrão de feixe Um tiro=52
Actor/Name/BlipVisual,BipeVisual=53
Actor/Name/BuffContinuous,EfeitopositivoContínuo=54
Actor/Name/BuffOneShot,EfeitopositivoUmaTentativa=55
Actor/Name/BuildingFlattenTerrainMacro,Construindo macro terreno plano=56
Actor/Name/BuildingTerrainFlatten,Construindo terreno plano=57
Actor/Name/BuildingTerrainFlattenEditor,Construindo editor de terreno plano=58
Actor/Name/BuildingTerrainFlattenInstant,Construindo terreno plano instantâneo=59
Actor/Name/BurrowedSplat,EntocadoMancha=60
Actor/Name/BurrowedSplatBase,EntocadoManchaBase=61
Actor/Name/CActor,CAgente=62
Actor/Name/CActorArc,CActorArc=63
Actor/Name/CActorBase,CAgenteBase=64
Actor/Name/CActorBeam,CAgenteFeixe=65
Actor/Name/CActorBeamStandard,CActorBeamStandard=66
Actor/Name/CActorBearings,CAgenteOrientação=67
Actor/Name/CActorCamera,CActorCamera=68
Actor/Name/CActorDoodad,CAgenteAcessório=69
Actor/Name/CActorForce,CActorForce=70
Actor/Name/CActorForceSphere,CActor Force Sphere=71
Actor/Name/CActorLightModel,CActorLightModel=72
Actor/Name/CActorLightOmni,CActorLightOmni=73
Actor/Name/CActorLightSpot,CActorLightSpot=74
Actor/Name/CActorLookAt,CActorLookAt=75
Actor/Name/CActorModel,CAgenteModelo=76
Actor/Name/CActorPortrait,CActorPortrait=77
Actor/Name/CActorPower,CAgenteEnergia=78
Actor/Name/CActorProgress,CAgenteProgresso=79
Actor/Name/CActorQuad,CActorQuad=80
Actor/Name/CActorRange,CActorRange=81
Actor/Name/CActorSelection,CAgenteSeleção=82
Actor/Name/CActorSetQueried,CAgenteConjuntoConsultado=83
Actor/Name/CActorShadow,CAgenteSombra=84
Actor/Name/CActorShieldImpact,CAgenteEscudoImpacto=85
Actor/Name/CActorSite,CAgenteLocal=86
Actor/Name/CActorSiteHosted,CAgenteLocalHospedado=87
Actor/Name/CActorSiteOpAttach,CActorSiteOpAttach=88
Actor/Name/CActorSiteOpBankerUnit,CActorSiteOpBankerUnit=89
Actor/Name/CActorSiteOpRandomPointInCircle,CActorSiteOpRandomPointInCircle=90
Actor/Name/CActorSound,CAgenteSom=91
Actor/Name/CActorSplat,CAgenteMancha=92
Actor/Name/CActorSquib,CAgenteEpigrama=93
Actor/Name/CActorStateMonitor,CActorStateMonitor=94
Actor/Name/CActorTerrainDeformer,CActorTerrainDeformer=95
Actor/Name/CActorText,CAgenteTexto=96
Actor/Name/CActorTurret,CAgenteTorredeArtilharia=97
Actor/Name/CActorUnit,=98
Actor/Name/CameraTest,Teste de Câmera=99
Actor/Name/CliffLocalFlashingSelection,Realce a seleção do local do penhasco=100
Actor/Name/CliffLocalSelection,PenhascoLocalSeleção=101
Actor/Name/CliffPreSelection,PenhascoPréSeleção=102
Actor/Name/CliffSyncFlashingSelection,Realce a seleção da sincronização do penhasco=103
Actor/Name/CliffSyncSelection,PenhascoSincronizaçãoSeleção=104
Actor/Name/CommandUIHarness,ComandoIUAtrelamento=105
Actor/Name/Confirmation,Confirmação=106
Actor/Name/ConfirmationLocalAir,ConfirmaçãoLocalAéreo=107
Actor/Name/ConfirmationLocalAirAttack,Confirmação de local de ataque aéreo=108
Actor/Name/ConfirmationLocalGround,ConfirmaçãoLocalTerrestre=109
Actor/Name/ConfirmationLocalGroundAttack,Confirmação de local de ataque terrestre=110
Actor/Name/ConfirmationSyncAir,ConfirmaçãoSincronizaçãoAérea=111
Actor/Name/ConfirmationSyncAirAttack,Confirmação de sincronização de ataque aéreo=112
Actor/Name/ConfirmationSyncGround,ConfirmaçãoSincronizaçãoTerrestre=113
Actor/Name/ConfirmationSyncGroundAttack,Confirmação de sincronização de ataque terrestre=114
Actor/Name/CursorModel,Modelo do cursor=115
Actor/Name/CursorRegion,Região do cursor=116
Actor/Name/CursorSplat,Mancha do cursor=117
Actor/Name/CutsceneCameraModel,Modelo de câmera de cinemática=118
Actor/Name/CutsceneLightOmniModel,Modelo de luz de cinemática Omni=119
Actor/Name/CutsceneLightSpotModel,Modelo de ponto de luz de cinemática=120
Actor/Name/DeadAnimationMacro,MortoAnimaçãoMacro=121
Actor/Name/DeadAnimationRemoveMacro,Remover macro de animação de morte=122
Actor/Name/DestructibleUnitStandard,DestrutívelUnidadePadrão=123
Actor/Name/DoodadDeathMacro,Macro de acessório de morte=124
Actor/Name/DoodadDeathMacroB,Macro de acessório de morte=125
Actor/Name/EditorCamera,EditorCâmera=126
Actor/Name/EditorHelper,Ajuda do editor=127
Actor/Name/EditorSelection,Seleção do editor=128
Actor/Name/EditorUnitOverheadText,Texto em cima da unidade do editor=129
Actor/Name/EventCustom,Evento personalizado=130
Actor/Name/EventFootprint,Evento da base=131
Actor/Name/EventSound,EventoSom=132
Actor/Name/EventSoundFromData,Som do evento a partir dos dados=133
Actor/Name/EventSpawn,EventoGeração=134
Actor/Name/EventSplat,EventoMancha=135
Actor/Name/ExplosionAttackDeathImpulse,Impulso Morte Ataque explosão=136
Actor/Name/ExplosionAttackForce,Forçar ataque de explosão=137
Actor/Name/ExplosiveRangedAttackDeathForce,Explosivo Ataque de longo alcance Morte Forçar=138
Actor/Name/ExplosiveRangedAttackDeathImpulse,Explosivo Ataque de longo alcance Morte Impulso=139
Actor/Name/FlashingSelection,SeleçãoPiscante=140
Actor/Name/FlyerHelperBeam,Feixe de auxiliar de piloto=141
Actor/Name/FlyerHelperSplat,Auxiliar de piloto Mancha=142
Actor/Name/FlyerLocalSelection,VoadorLocalSeleção=143
Actor/Name/FlyerPreSelection,VoadorPréSeleção=144
Actor/Name/FlyerShadow,VoadorSombra=145
Actor/Name/FlyerSyncSelection,VoadorSincronizaçãoSeleção=146
Actor/Name/FoliageFXDefault,Folhagem FXDefault=147
Actor/Name/FoliageFXSpawnerDefault,Folhagem padrão FXSpawner=148
Actor/Name/GenericAttack,AtaqueGenérico=149
Actor/Name/GenericAttackBase,AtaqueGenéricoBase=150
Actor/Name/GenericAttackBeam,AtaqueGenéricoFeixe=151
Actor/Name/GenericAttackDamageModel,Modelo de danos de ataque genérico=152
Actor/Name/GenericAttackDamageModelReaction,Reação de modelo de danos de ataque genérico=153
Actor/Name/GenericAttackDamageSite,AtaqueGenéricoLocalDanificado=154
Actor/Name/GenericAttackDamageSound,Som de danos de ataque genérico=155
Actor/Name/GenericAttackDamageTerrainSquibModel,Modelo Dano Movimento de terreno ataque genérico=156
Actor/Name/GenericAttackDamageTerrainSquibSound,Som Dano Movimento de terreno ataque genérico=157
Actor/Name/GenericAttackImpactFallbackSite,Local de fallback impacto de ataque genérico=158
Actor/Name/GenericAttackImpactModel,Modelo de impacto de ataque genérico=159
Actor/Name/GenericAttackImpactModelReaction,Reação de modelo de impacto de ataque genérico=160
Actor/Name/GenericAttackImpactMonitor,AtaqueGenéricoMonitorImpacto=161
Actor/Name/GenericAttackImpactPointSite,Local de ponto de impacto de ataque genérico=162
Actor/Name/GenericAttackImpactSite,AtaqueGenéricoLocalImpacto=163
Actor/Name/GenericAttackImpactSiteBase,AtaqueGenéricoLocalImpactoBase=164
Actor/Name/GenericAttackImpactSiteFacer,AtaqueGenéricoLocalImpactoDirecionador=165
Actor/Name/GenericAttackImpactSiteHeader,AtaqueGenéricoLocalImpactoCabeçalho=166
Actor/Name/GenericAttackImpactSitePoint,AtaqueGenéricoLocalImpactoPonto=167
Actor/Name/GenericAttackImpactSiteStander,AtaqueGenéricoLocalImpactoPosição=168
Actor/Name/GenericAttackImpactSound,Som de impacto de ataque genérico=169
Actor/Name/GenericAttackImpactTerrainSquibModel,Modelo Impacto Movimento de terreno ataque genérico=170
Actor/Name/GenericAttackImpactTerrainSquibSound,Som Impacto Movimento de terreno ataque genérico=171
Actor/Name/GenericAttackLaunchFallbackSite,AtaqueGenéricoLançamentoRetiradaLocal=172
Actor/Name/GenericAttackLaunchModel,Modelo de lançamento de ataque genérico=173
Actor/Name/GenericAttackLaunchSite,AtaqueGenéricoLançamentoLocal=174
Actor/Name/GenericAttackLaunchSiteFacer,AtaqueGenéricoLançamentoLocalDirecionador=175
Actor/Name/GenericAttackLaunchSound,Som de lançamento de ataque genérico=176
Actor/Name/GenericAttackLaunchTerrainSquibModel,Modelo Lançamento Movimento de terreno ataque genérico=177
Actor/Name/GenericAttackLaunchTerrainSquibSound,Som Lançamento Movimento de terreno ataque genérico=178
Actor/Name/GenericAttackMissile,AtaqueGenéricoMíssil=179
Actor/Name/GenericAttackMissileWithDeathAnim,=180
Actor/Name/GenericAttackModel,AtaqueGenéricoModelo=181
Actor/Name/GenericAttackNoCreateBase,Ataque genérico nenhuma base criada=182
Actor/Name/GenericAttackSet,AtaqueGenéricoConjunto=183
Actor/Name/GenericAttackSound,AtaqueGenéricoSom=184
Actor/Name/GenericPhysicsDriver,FísicaGenéricaAcionador=185
Actor/Name/GenericPhysicsHarness,FísicaGenéricaAtrelador=186
Actor/Name/GenericTentacleMissile,Genérico Tentáculo Míssil=187
Actor/Name/GenericUnitBase,UnidadeGenéricaBase=188
Actor/Name/GenericUnitBaseMorphTransition,UnidadeGenéricaTransiçãoTransmutaçãoBase=189
Actor/Name/GenericUnitBaseNoAutoSoundLinks,GenericUnitBaseNoAutoSoundLinks=190
Actor/Name/GenericUnitCritter,Criatura unidade genérica=191
Actor/Name/GenericUnitEmpty,=192
Actor/Name/GenericUnitFallback,Fallback de unidade genérica=193
Actor/Name/GenericUnitMinimal,UnidadeGenéricaMínima=194
Actor/Name/GenericUnitMorph,UnidadeGenéricaTransmutação=195
Actor/Name/GenericUnitSelectable,UnidadeGenéricaSelecionável=196
Actor/Name/GenericUnitSelectableNoAutoSoundLinks,GenericUnitSelectableNoAutoSoundLinks=197
Actor/Name/GenericUnitSplat,UnidadeGenéricaMancha=198
Actor/Name/GenericUnitSplatBase,UnidadeGenéricaManchaBase=199
Actor/Name/GenericUnitStandard,UnidadeGenéricaPadrão=200
Actor/Name/GenericUnitStandardNoAutoSoundLinks,GenericUnitStandardNoAutoSoundLinks=201
Actor/Name/GlobalLoopMacro,CicloGlobalMacro=202
Actor/Name/GlobalLoopMacroMore,Global Ciclo Macro Mais=203
Actor/Name/GlobalLoopMacroMoreRemove,Global Ciclo Macro Mais Remover=204
Actor/Name/GlobalLoopMacroRemove,Global Ciclo Macro Remover=205
Actor/Name/GroundLocalFlashingSelection,Realce a seleção local do solo=206
Actor/Name/GroundLocalSelection,TerrenoLocalSeleção=207
Actor/Name/GroundPreSelection,TerrenoPréSeleção=208
Actor/Name/GroundShadow,TerrenoSombra=209
Actor/Name/GroundSyncFlashingSelection,Realce a seleção de sincronização do solo=210
Actor/Name/GroundSyncSelection,TerrenoSincronizaçãoSeleção=211
Actor/Name/GuideRegion,Região Guia=212
Actor/Name/GuideRegionAdd,Região Guia adicional=213
Actor/Name/GuideRegionArc,Região Guia Arco=214
Actor/Name/GuideRegionCircle,Região Guia Círculo=215
Actor/Name/GuideRegionClosest,Região Guia Mais próxima=216
Actor/Name/GuideRegionNormal,Região Guia Normal=217
Actor/Name/GuideRegionQuadDown,Região Guia Quad inferior=218
Actor/Name/GuideRegionQuadDownClosest,Região Guia Quad inferior mais próximo=219
Actor/Name/GuideRegionQuadDownDetached,Região Guia Quad inferior desvinculado=220
Actor/Name/GuideRegionQuadDownScaled,Região Guia Quad inferior escalonada=221
Actor/Name/GuideRegionQuadDownScaledClosest,Região Guia Quad inferior escalonada mais próxima=222
Actor/Name/GuideRegionQuadPerpendicular,Região Guia Quad perpendicular=223
Actor/Name/GuideRegionRemove,Região Guia remover=224
Actor/Name/GuideRegionScaled,Região Guia Escalonada=225
Actor/Name/GuideRegionScaledClosest,Região Guia Escalonada mais perto=226
Actor/Name/GuideVisualArc,Guia Visual arco=227
Actor/Name/GuideVisualCircle,Guia Visual círculo=228
Actor/Name/GuideVisualQuad,Guia Visual quad=229
Actor/Name/GuideVisualQuadCenter,Guia Visual quad central=230
Actor/Name/GuideVisualQuadDown,Guia Visual quad inferior=231
Actor/Name/GuideVisualQuadDownClosest,Guia Visual quad inferior mais próximo=232
Actor/Name/GuideVisualQuadDownDetached,Guia Visual quad inferior desanexado=233
Actor/Name/GuideVisualQuadDownScaled,Guia Visual quad inferior escalonado=234
Actor/Name/GuideVisualQuadDownScaledClosest,Guia Visual quad inferior escalonado mais perto=235
Actor/Name/GuideVisualQuadImpact,Guia Visual quad impacto=236
Actor/Name/GuideVisualQuadLaunch,Guia Visual quad lançamento=237
Actor/Name/GuideVisualQuadModel,Guia Visual quad modelo=238
Actor/Name/GuideVisualQuadPerpendicular,Guia Visual quad perpendicular=239
Actor/Name/GuideVisualQuadSplat,=240
Actor/Name/GuideVisualQuadSplatCenter,=241
Actor/Name/GuideVisualQuadSplatDown,=242
Actor/Name/GuideVisualQuadSplatDownClosest,=243
Actor/Name/GuideVisualQuadSplatDownDetached,=244
Actor/Name/GuideVisualQuadSplatDownScaled,=245
Actor/Name/GuideVisualQuadSplatDownScaledClosest,=246
Actor/Name/GuideVisualQuadSplatImpact,=247
Actor/Name/GuideVisualQuadSplatLaunch,=248
Actor/Name/GuideVisualQuadSplatModel,=249
Actor/Name/GuideVisualQuadSplatPerpendicular,=250
Actor/Name/HerdSound,Som do Rebanho=251
Actor/Name/Indicator,Indicador=252
Actor/Name/IndicatorBase,IndicadorBase=253
Actor/Name/IndicatorBlack,IndicadorPreto=254
Actor/Name/IndicatorBlue,IndicadorAzul=255
Actor/Name/IndicatorGreen,IndicadorVerde=256
Actor/Name/IndicatorMissilePhaseChange,Indicador - Mudança de fase do míssil /// Indicator Missile Phase Change=257
Actor/Name/IndicatorRed,IndicadorVermelho=258
Actor/Name/IndicatorSticky,=259
Actor/Name/LightOmni,Luz Omni=260
Actor/Name/LightOmniBlue,Luz omni azul=261
Actor/Name/LightOmniBlueLarge,Luz omni azul grande=262
Actor/Name/LightOmniCyan,Luz omni ciano=263
Actor/Name/LightOmniCyanLarge,Luz omni ciano grande=264
Actor/Name/LightOmniGreen,Luz omni verde=265
Actor/Name/LightOmniGreenLarge,Luz omni verde grande=266
Actor/Name/LightOmniOrange,Luz omni laranja=267
Actor/Name/LightOmniOrangeLarge,Luz omni laranja grande=268
Actor/Name/LightOmniPurple,Luz omni roxa=269
Actor/Name/LightOmniPurpleLarge,Luz omni roxa grande=270
Actor/Name/LightOmniRed,Luz omni vermelha=271
Actor/Name/LightOmniRedLarge,Luz omni vermelha grande=272
Actor/Name/LightOmniWhite,Luz omni branca=273
Actor/Name/LightOmniWhiteLarge,Luz omni branca grande=274
Actor/Name/LightOmniYellow,Luz omni amarela=275
Actor/Name/LightOmniYellowLarge,Luz omni amarela grande=276
Actor/Name/LightSpot,Ponto de Luz=277
Actor/Name/List,Lista=278
Actor/Name/ListTinter,ListaPintor=279
Actor/Name/LocalFlashingSelection,SeleçãoLocalPiscante=280
Actor/Name/LocalSelection,SeleçãoLocal=281
Actor/Name/LookAt,Olhar para=282
Actor/Name/LookAtTarget,Olhar para o alvo=283
Actor/Name/MapTemplate,Modelo de mapa=284
Actor/Name/MeleeAttackDeathImpulse,Impulso Morte Ataque corpo a corpo=285
Actor/Name/MeleeAttackForce,Força de Ataque corpo a corpo=286
Actor/Name/MeleePhysicRandomizer,Aleatorizador Física Corpo a corpo=287
Actor/Name/MissileAttackDeathForce,Míssil Ataque Morte Forçar=288
Actor/Name/MissileAttackDeathImpulse,Míssil Ataque Morte Impulso=289
Actor/Name/Model,Modelo=290
Actor/Name/ModelAddition,ModeloAdição=291
Actor/Name/ModelAdditionHarness,Modelo adição Exploração=292
Actor/Name/ModelAdditionNoAnims,Modelo sem adição de animação=293
Actor/Name/ModelAdditionStatic,ModeloAdiçãoEstática=294
Actor/Name/ModelAnimationStyleContinuous,EstiloAnimaçãoModeloContínuo=295
Actor/Name/ModelAnimationStyleContinuousUNIT,=296
Actor/Name/ModelAnimationStyleOneShot,EstiloAnimaçãoModeloUmaTentativa=297
Actor/Name/ModelAnimationStyleOneShotNoOrphan,EstiloAnimaçãoModeloUmaTentativaSemÓrfão=298
Actor/Name/ModelAnimationStyleOneShotUNIT,=299
Actor/Name/ModelConstruction,Construção do modelo=300
Actor/Name/ModelHosted,ModeloHospedado=301
Actor/Name/ModelHostedInheritVisibility,=302
Actor/Name/ModelNoAnims,=303
Actor/Name/ModelOneShot,ModeloUmaTentativa=304
Actor/Name/ModelPlaceholder,ModeloMarcador=305
Actor/Name/ModelPretarget,ModeloPréAlvo=306
Actor/Name/ModelPretargetAir,ModeloPréAlvoAéreo=307
Actor/Name/ModelPretargetGround,ModeloPréAlvoTerrestre=308
Actor/Name/ModelRagdoll,Modelo de boneca de pano=309
Actor/Name/NanniteCreationMacro,Macro de criação de Nannite=310
Actor/Name/PathingBlocker,Bloqueio de trajetória=311
Actor/Name/PhysicsImpactHarness,Impacto físico explorar=312
Actor/Name/PhysicsImpactSound,Impacto físico som=313
Actor/Name/PhysicsWaterBloodSlickHarness,Física da água Sangue Denso Explorar=314
Actor/Name/PlaceholderBase,MarcadorBase=315
Actor/Name/PlaceholderModel,Modelo Temporário=316
Actor/Name/PlacementModel,Modelo de posicionamento=317
Actor/Name/PlacementSound,Som de posicionamento=318
Actor/Name/PointBlockPathing,TrajetóriaBloqueioPonto=319
Actor/Name/PointBlockPathingEditor,TrajetóriaBloqueioPontoEditor=320
Actor/Name/PointBlockPathingName,TrajetóriaBloqueioPontoNome=321
Actor/Name/PointBlockPathingNameSite,TrajetóriaBloqueioPontoNomeLocal=322
Actor/Name/PointNoFlyZone,Ponto Não Voar Área=323
Actor/Name/PointNoFlyZoneEditor,Ponto Não Voar Área Editor=324
Actor/Name/PointNoFlyZoneName,Ponto Não Voar Área Nome=325
Actor/Name/PointNormal,PontoNormal=326
Actor/Name/PointNormalEditor,PontoNormalEditor=327
Actor/Name/PointNormalName,PontoNormalNome=328
Actor/Name/PointNormalNameSite,PontoNormalNomeLocal=329
Actor/Name/PointSoundEmitter,PontoSomEmissor=330
Actor/Name/PointSoundEmitterEditor,PontoSomEmissorEditor=331
Actor/Name/PointSoundEmitterName,PontoSomEmissorNome=332
Actor/Name/PointSoundEmitterNameSite,PontoSomEmissorNomeLocal=333
Actor/Name/PointSoundEmitterRange,Apontar som de emissor de alcance=334
Actor/Name/PointStartLoc,PontoInícioLocal=335
Actor/Name/PointStartLocEditor,PontoInícioLocalEditor=336
Actor/Name/PointStartLocName,PontoInícioLocalNome=337
Actor/Name/PointStartLocNameSite,PontoInícioLocalNomeLocal=338
Actor/Name/PointStartLocUnit,PontoInícioLocalUnidade=339
Actor/Name/PointStartLocUnitSite,PontoInícioLocalUnidadeLocal=340
Actor/Name/PointThreeD,PontoTrêsD=341
Actor/Name/PointThreeDEditor,PontoTrêsDEditor=342
Actor/Name/PointThreeDName,PontoTrêsDNome=343
Actor/Name/PointThreeDNameSite,PontoTrêsDNomeLocal=344
Actor/Name/PortraitActor,Agente retrato=345
Actor/Name/PowerVisual,VisualEnergia=346
Actor/Name/PreSelection,PréSeleção=347
Actor/Name/PreservedDoodad,Acessório preservado=348
Actor/Name/PreviewerCamera,Câmera de pré-visualizador=349
Actor/Name/PreviewerModel,ModeloPréVisualizador=350
Actor/Name/PreviewerSound,Som de pré-visualizador=351
Actor/Name/PreviewerText,Texto de pré-visualizador=352
Actor/Name/ProgressSound,SomProgresso=353
Actor/Name/PropertyCurveSet,Definir propriedade de curva=354
Actor/Name/RangeAbil,Habilidade de alcance=355
Actor/Name/RangeAbilHover,=356
Actor/Name/RangeBehavior,Comportamento de alcance=357
Actor/Name/RangeSight,Visão de alcance=358
Actor/Name/RangeWeapon,Arma de alcance=359
Actor/Name/RangedAttackDeathForce,Ataque de longo alcance Morte Forçar=360
Actor/Name/RangedAttackDeathImpulse,Ataque de longo alcance Morte Impulso=361
Actor/Name/RemoveFlyerHelperMacro,Remover Macro de Auxiliar de piloto=362
Actor/Name/SOp180,SOp180=363
Actor/Name/SOp270,SOp270=364
Actor/Name/SOp2DRotation,SOp2DRotation=365
Actor/Name/SOp90,SOp90=366
Actor/Name/SOpActionCenter,SOpActionCenter=367
Actor/Name/SOpActionImpact,SOpActionImpact=368
Actor/Name/SOpActionLaunch,SOpActionLaunch=369
Actor/Name/SOpAttachCenter,SOpAttachCenter=370
Actor/Name/SOpAttachCenterSoft,SOpAttachCenterSoft=371
Actor/Name/SOpAttachCenterStationary,SOpAttachCenterStationary=372
Actor/Name/SOpAttachCustomA,SOpAttachCustomA=373
Actor/Name/SOpAttachDamage,SOp Attach Damage=374
Actor/Name/SOpAttachHardPoint,SOpAttachHardPoint=375
Actor/Name/SOpAttachHardPoint01,SOpAttachHardPoint01=376
Actor/Name/SOpAttachHardPoint02,SOpAttachHardPoint02=377
Actor/Name/SOpAttachHardPoint03,SOpAttachHardPoint03=378
Actor/Name/SOpAttachHardPoint04,SOpAttachHardPoint04=379
Actor/Name/SOpAttachHarness,SOpAttachHarness=380
Actor/Name/SOpAttachHarnessSoft,SOpAttachHarnessSoft=381
Actor/Name/SOpAttachHarnessStationary,SOpAttachHarnessStationary=382
Actor/Name/SOpAttachHead,SOpAttachHead=383
Actor/Name/SOpAttachHeadSound,SOpAttachHeadSound=384
Actor/Name/SOpAttachInternalDetonation,SOp Attach Internal Detonation=385
Actor/Name/SOpAttachOrigin,SOpAttachOrigin=386
Actor/Name/SOpAttachOriginHoldPosition,SOpAttachOriginHoldPosition=387
Actor/Name/SOpAttachOriginStationary,SOpAttachOriginStationary=388
Actor/Name/SOpAttachOverhead,SOpAttachOverhead=389
Actor/Name/SOpAttachRandomDamage,SOpAttachRandomDamage=390
Actor/Name/SOpAttachRandomWeapon,SOpAttachRandomWeapon=391
Actor/Name/SOpAttachRollingWeaponStripe,SOpAttachRollingWeaponStripe=392
Actor/Name/SOpAttachShield,SOpAttachShield=393
Actor/Name/SOpAttachTarget,SOpAttachTarget=394
Actor/Name/SOpAttachTarget1,SOpAttachTarget1=395
Actor/Name/SOpAttachTarget2,SOpAttachTarget2=396
Actor/Name/SOpAttachTarget3,SOpAttachTarget3=397
Actor/Name/SOpAttachTarget4,SOpAttachTarget4=398
Actor/Name/SOpAttachTargetSoft,SOp Attach Target Soft=399
Actor/Name/SOpAttachTurret,SOpAttachTurret=400
Actor/Name/SOpAttachVolumeNoVizEnhance,SOpAttachVolumeNoVizEnhance=401
Actor/Name/SOpAttachVolumeStandard,SOpAttachVolumeStandard=402
Actor/Name/SOpAttachWeapon,SOpAttachWeapon=403
Actor/Name/SOpAttachWeapon00,SOpAttachWeapon00=404
Actor/Name/SOpAttachWeapon01,SOpAttachWeapon01=405
Actor/Name/SOpAttachWeapon01Soft,SOpAttachWeapon01Soft=406
Actor/Name/SOpAttachWeapon02,SOpAttachWeapon02=407
Actor/Name/SOpAttachWeapon03,SOpAttachWeapon03=408
Actor/Name/SOpAttachWeapon04,SOpAttachWeapon04=409
Actor/Name/SOpAttachWeapon05,SOpAttachWeapon05=410
Actor/Name/SOpAttachWeapon06,SOpAttachWeapon06=411
Actor/Name/SOpAttachWeapon07,SOpAttachWeapon07=412
Actor/Name/SOpAttachWeapon08,SOpAttachWeapon08=413
Actor/Name/SOpAttachWeapon09,SOpAttachWeapon09=414
Actor/Name/SOpAttachWeapon10,SOpAttachWeapon10=415
Actor/Name/SOpAttachWeapon11,SOpAttachWeapon11=416
Actor/Name/SOpAttachWeapon12,SOpAttachWeapon12=417
Actor/Name/SOpAttachWeapon14,SOpAttachWeapon14=418
Actor/Name/SOpAttachWeapon21,SOpAttachWeapon21=419
Actor/Name/SOpAttachWeapon24,SOpAttachWeapon24=420
Actor/Name/SOpAttachWeaponLeft,SOpAttachWeaponLeft=421
Actor/Name/SOpAttachWeaponRight,SOpAttachWeaponRight=422
Actor/Name/SOpAttachWeaponSoft,SOp Attach Weapon Soft=423
Actor/Name/SOpBanker,SOpBanker=424
Actor/Name/SOpBankerBuilding,SOpBankerBuilding=425
Actor/Name/SOpBankerUnit,SOpBankerUnit=426
Actor/Name/SOpBankerUnitBuilding,SOpBankerUnitBuilding=427
Actor/Name/SOpBasicActorPositionFollow,SOpBasicActorPositionFollow=428
Actor/Name/SOpBasicCreatorFollow,SOpBasicCreatorFollow=429
Actor/Name/SOpBasicCreatorPositionFollow,SOpBasicCreatorPositionFollow=430
Actor/Name/SOpBasicCreatorStationary,SOpBasicCreatorStationary=431
Actor/Name/SOpBasicInitialBearings,SOpBasicInitialBearings=432
