AUTHENTICATION_BETA_REGION,Beta /// Beta=0
ActorCheat/CouldNotReturnActorScope,Impossível retornar escopo do agente. /// Could not return actor scope.=79
ActorCheat/ExpectedOverlayLock,Esperado 0 ou 1 para alternar o bloqueio de camada. /// Expected 0 or 1 to toggle overlay lock.=80
ActorCheat/ExpectedSendAutoTargeting,0 ou 1 esperados para ativar/desativar o envio de alvejamento automático. /// Expected 0 or 1 to toggle send auto-targeting.=81
ActorCheat/FXAnimator,Animador de efeitos /// FX Animator=82
ActorCheat/HasNoParameters,Não há parâmetros. /// Has no parameters.=83
ActorCheat/InvalidCatalog,Catálogo inválido. /// Invalid catalog.=84
ActorCheat/InvalidKey,Chave inválida. /// Invalid key.=85
ActorCheat/InvalidMessage,Mensagem inválida. /// Invalid message.=86
ActorCheat/InvalidOlderThanAge,Idade 'maior que' inválida. /// Invalid 'older than' age.=87
ActorCheat/ModelWithoutActor,MODELO SEM AGENTE /// MODEL W/O ACTOR=88
ActorCheat/NoUserActor,Nenhum agente ::User. /// No ::User actor.=89
ActorCheat/NoUserActorScope,Nenhum escopo de agente ::User. /// No ::User actor scope.=90
ActorCheat/ParametersRequired,Parâmetros necessários. /// Parameters required.=91
ActorCheat/PrimaryNameRequired,Nome principal necessário. /// Primary name required.=92
ActorCheat/RefNameHasNoValidActor,RefName[%1] não retornou um agente válido. /// RefName[%1] did not return a valid actor.=93
ActorCheat/RequiresGameScene,Este comando atualmente não é suportado fora da cena do jogo. /// This command is not currently supported outside of the game scene.=94
ActorCheat/ScopeNameRequired,Nome do escopo necessário. /// Scope name required.=95
ActorCheat/StandaloneModel,Modelo individual /// Standalone Model=96
ActorCheat/TargetNameRequired,Nome do alvo necessário. /// Target name required.=97
ActorCheat/TracingDisabled,Tracejamento ativado para %1. /// Tracing disabled for %1.=98
ActorCheat/TracingEnabled,Tracejamento desativado para %1. /// Tracing enabled for %1.=99
ActorCheat/UnknownActorClass,Classe [%1] de agente desconhecida. /// Unknown actor class [%1].=100
ActorCheat/UnknownCommand,Comando desconhecido. /// Unknown command.=101
ActorCheat/UserActorSetTo,Agente ::User definido como %1. /// ::User actor set to %1.=102
ActorCheat/UserScopeSetTo,Escopo ::User definido como %1. /// ::User scope set to %1.=103
ActorCheat/XYPositionRequired,Posição x,y necessária. /// x, y position required.=104
ActorDebug/ActionDamageMsgMustBeSentFromEffectMsg,A mensagem de ActionDamage deve ser enviada em resposta a uma mensagem de Effect para que possa determinar o alvo do dano. Culpado: %1.=105
ActorDebug/ActorNot,não é um %1.=106
ActorDebug/ActorScopeCannotBeKilledByUser,O escopo deste agente não pode ser morto diretamente por código do usuário.=107
ActorDebug/ActorScopeCannotBeOrphanedByUser,O escopo deste agente não pode ser tornado órfão diretamente por código do usuário.=108
ActorDebug/ActorTraceActor,Rastreio de agente [A]: %1.%2=109
ActorDebug/ActorTraceMsg,Rastreio de agente [M]: %1=110
ActorDebug/ActorTraceScope,Rastreio de agente [S]: %1=111
ActorDebug/AnimClearAllButNeedsName,AnimClearAllBut requer um animName.=112
ActorDebug/AnimContinueNotForBaselines,Não é possível usar mensagem de AnimContinue em animações de linha básica.=113
ActorDebug/AnimContinueRequiresPreexistingAnim,AnimContinue requer que uma animação com nome idêntico (neste caso, %1) esteja rodando ao ser enviado para que tenha uma animação a continuar!=114
ActorDebug/AnimContinueRequiresValidAnimName,AnimContinue requer um nome de animação válido idêntico a uma animação que esteja rodando no modelo.=115
ActorDebug/AnimHookClearInvalidName,Não foi possível encontrar gancho de animação [%1].=116
ActorDebug/AnimHookClearUnavailable,Nenhum gancho de animação para limpar.=117
ActorDebug/AnimHookNameConflict,Não é possível usar o nome %1, pois já está sendo usado por um gancho de animação.=118
ActorDebug/AnimHookNone,Nenhum gancho de animação.=119
ActorDebug/AnimHookRefreshActorConflict,O gancho de anim [%1] atualizou e adquiriu um agente que não é um CAgenteModelo nem uma de suas subclasses. Como resultado, esse gancho de animação foi removido.=120
ActorDebug/AnimHookSelfNotAllowed,Não é possível criar gancho para uma animação no mesmo agente.=121
ActorDebug/AnimHookSetActorConflict,Não é possível criar gancho para uma animação a partir de um agente que não é um CActorModel nem uma de suas subclasses.=122
ActorDebug/AnimHookSetBadActor,O agente referenciado pelo nome %1 não existe.=123
ActorDebug/AnimHookSetEmptyName,Não é possível definir um gancho de animação sem um nome de gancho.=124
ActorDebug/AnimLoadFailure,Modelo %1; Não foi possível carregar animações no modelo %2.=125
ActorDebug/AnimNameInvalid,Mensagem de %1: Não é possível encontrar nome de anim %2.=126
ActorDebug/AnimPlayRequiresName,Um nome de animação válido deve ser atribuído ao reproduzir uma animação. Mensagem: %1.=127
ActorDebug/AnimTimeScaleInvalid,Mensagem de %1: Não é possível encontrar escala de tempo de anim com rótulo %2.=128
ActorDebug/AttachInitFailureOwnerNotModel,Inicialização falhou porque o ator proprietário não é CActorModel: %1=129
ActorDebug/AttachMessageCannotSetSiteOps,A mensagem não consegue determinar o local específico da operação. Culpado %1.=130
ActorDebug/AttachMessageMustCreateCActorModelOrSubclass,A mensagem criou um CActor que não era do tipo CActorModel. Culpado %1=131
ActorDebug/AttachMessageRequiresMethods,A mensagem requer métodos de anexação para saber como anexar o modelo e/ou agente específico. Culpado: %1.=132
ActorDebug/AttachMethodPatternAttachOverflow,AttachMethodPattern; muitos pontos de anexação para acompanhar, ignore alguns.=133
ActorDebug/AttachMethodProximityAttachOverflow,AttachMethodProximity; muitos pontos de anexação para organizar, ignore alguns.=134
ActorDebug/AttachPropertiesMismatch,ModelLink[%1] Model %2; Propriedades detectadas para ponto de anexação %3 que não existe.=135
ActorDebug/AttachQueryFailure,Consulta de anexação falhou. Solicitante %1. Consulta %2.=136
ActorDebug/BaseModelScaleRequiresScale,O jogo não aceita herdar a dimensão básica do modelo sem herdar a dimensão.=137
ActorDebug/BaselineNoOutroIntroStacking,Não é possível haver simultaneamente Conclusão de Andar e Introdução de Ficar parado com grupo de itens [%1]=138
ActorDebug/BaselineStandIntroTurnMismatch,Não há um conjunto completo de animações Ficar parado,Início,Esquerda e Ficar parado,Início,Direita com grupo de itens [%1]=139
ActorDebug/BaselineStandIntroTurnsMissing,Se o modelo possui animações Ficar parado,Início e Ficar parado,Esquerda e Ficar parado,Direita com grupo de itens [%1], ele também deve ter Ficar parado,Início,Esquerda e Ficar parado,Início,Direita com esse grupo.  Uma unidade pode se virar ao ficar parada, por exemplo, se estiver seguindo uma unidade.  Ela chega próxima, começa a  Ficar parada, mas depois precisa se virar para continuar voltada para a unidade que está seguindo.=140
ActorDebug/BaselineStandTurnMismatch,Não há um conjunto completo de animações Ficar parado,Esquerda e Ficar parado,Direita com grupo de itens [%1]=141
ActorDebug/BaselineStartCannotLoop,Impossíver ter anim [%1] marcada com looping.=142
ActorDebug/BaselineWalkIntroTurnMismatch,Não haver um conjunto completo de animações Andar,Início,Esquerda e Andar,Início,Direita com grupo de itens [%1]=143
ActorDebug/BaselineWalkIntroTurnsMissing,Se o modelo possui animações Andar,Início e Andar,Esquerda e Andar,Direita com grupo de itens [%1], ele também deve ter Andar,Início,Esquerda e Andar,Início,Direita com esse grupo.  As unidades podem se virar quando estão começando a Andar, liberando a unidade do Inídio de Andar se ela não tem as animações Início de Andar Esquerda/Direita.=144
ActorDebug/BaselineWalkTurnMismatch,Não há um conjunto completo de animações Andar,Esquerda e Andar,Direita com grupo de itens [%1]=145
ActorDebug/BearingsInfiniteLoop,Ciclo de atualização de disposição detectado ao ativar orientações para %1 através de %2. Liberando para evitar ciclo infinito.=146
ActorDebug/BearingsInfiniteLoopStart,Ciclo de atualização de disposição detectado ao ativar orientações para este agente no início da percolação ou subpercolação. Liberando para evitar ciclo infinito.=147
ActorDebug/BearingsMsgFailedHardAttach,%1 mensagem falhou pois este agente está anexado fixamente a outro agente. Anexação fixa tem precedente sobre todas as posições e mudanças de rotação.=148
ActorDebug/BearingsMsgFailedSiteOpChain,%1 mensagem falhou por causa de um erro na corrente de siteOp deste agente.=149
ActorDebug/BodySquibModelInvalid,Modelo %1 especificado no efeito de faísca no corpo %2 é inválido.=150
ActorDebug/BodySquibSoundInvalid,Som %1 especificado no efeito de faísca no corpo %2 é inválido.=151
ActorDebug/BoundingSphereSizeZero,Esfera de limitação com tamanho 0.=152
ActorDebug/CActorForceConfiguredToApplyNoForce,Configuração inválida; este agente tem 0 de duração e 0 de magnitude de força, o que não causa efeito no mundo.=153
ActorDebug/CActorRefDoesNotExist,CActorRef[%1] não existe.=154
ActorDebug/CModelSetNull,Obtenção de modelo NULL ao tentar definir CModel[%1].=155
ActorDebug/CanOnlyHaveOneCActorCreep,Só pode haver um CActorCreep de cada vez.=156
ActorDebug/CanOnlyHaveOneCActorScene,Só pode haver um CActorScene por cena. Este é um agente do sistema e não deve ser criado a partir de dados.=157
ActorDebug/CanOnlyHaveOneCActorTerrain,Só pode haver um CActorTerrain de cada vez.=158
ActorDebug/CanOnlyHaveShieldFullWithNoSiteOpAttachVolume,CActorAction somente é compatível com os tipos de escudo em flash "Completo" ou "Nenhum", se nenhum CActorSiteOpAttachVolume foi especificado no Impact ou Damage SiteOps relevante.=159
ActorDebug/CanOnlyHostCActorForceOffCActorModels,Só pode hospedar forças locais de CActorModels, já que eles precisam de um modelo para dirigir a fim de que qualquer coisa aconteça.=160
ActorDebug/CanOnlyHostCActorImpulseOffCActorModels,Só pode hospedar impulsos locais de CActorModels, posto que eles precisam de um modelo para dirigir para que qualquer coisa aconteça.=161
ActorDebug/CannotAcquireImpactSource,Impossível encontrar fonte de impacto neste ator.=162
ActorDebug/CannotAcquireReceiverCActorModel,O agente de física não consegue encontrar um CActorModel no qual aplicar seu impulso ou força local.=163
ActorDebug/CannotAddFileAlias,Impossível adicionar arquivo de nome %1 com espaço %2 e caminho %3.=164
ActorDebug/CannotAddSiteOps,Não é possível adicionar site ops no hospedeiro %1.=165
ActorDebug/CannotBeSaveLoadSuppressed,Não pode ser marcado como SaveLoadSuppressed.=166
ActorDebug/CannotClearBaseline,Impossível limpar linha de base.=167
ActorDebug/CannotClearClonedProp,Não é possível limpar um equipamento clonado ou item de equipamento.  Limpe o valor definido para o cliente em nível mais alto na hierarquia que penetrou no clone.=168
ActorDebug/CannotClearInternalProp,Não é possível limpar um equipamento criado e usado internamente pelo sistema.=169
ActorDebug/CannotClearMissingLabel,Não foi possível localizar o equipamento ou item de equipamento com a identificação [%1].=170
ActorDebug/CannotClearMissingProp,Não é possível limpar o tamanho de equipamento %1. O equipamento está ausente.=171
ActorDebug/CannotClearPropGeneric,Erro não especificado ao limpar o equipamento %1.=172
ActorDebug/CannotClearPropMissingExternals,Não há equipamentos do tipo %1 definidos pelo usuário para limpar.=173
ActorDebug/CannotCopyActor,Impossível copiar agente. Culpa de %1.=174
ActorDebug/CannotCreateActor,Impossível criar um agente em escopo diferentes dos do solicitante, a menos que o solicitante tenha sido criado por um efeito. Solicitante: %1=175
ActorDebug/CannotCreateActorBadLink,Impossível criar agente com a entrada  %1 do catálogo de agentes.=176
ActorDebug/CannotCreateActorForAttach,Não é possível criar um agente para anexar. Culpado: %1=177
ActorDebug/CannotCreateActorSiteOpWithCreateMsg,Não é possível criar um siteOp diretamente com agente Criar mensagem, pois o siteOp tem que existir no contexto de uma cadeia de siteOp. Culpado: %1.=178
ActorDebug/CannotCreateActorUnitWithoutUnit,Impossível criar um CActorUnit fora de um CActorScope de um CUnit subjacente. Tente criar o agente dentro do CArctorScope uma unidade viva, ou criar um CActorModel em vez disso.=179
ActorDebug/CannotCreateCBeamAsync,Não foi possível criar CBeamAsync[%1].=180
ActorDebug/CannotCreateFromSystemActor,Impossível criar a partir de uma referência de agente de sistema. Solicitante: %1=181
ActorDebug/CannotCreateSnapshot,Não foi possível criar CActorSnapshot[%1].=182
ActorDebug/CannotFindCreepHeightClass,Não foi possível encontrar a altura de classe de criatura [%1] neste agente ou em qualquer de seus pais. A altura de classe é necessária para usar a altura de engolfamento implícita da criatura e os valores deslocados.=183
ActorDebug/CannotFindCreepMaterial,Não foi possível encontrar o material da criatura! O elemento está faltando?=184
ActorDebug/CannotFindEffect,=185
ActorDebug/CannotFindMatchingTexture,%1 %2; Não foi possível localizar a textura correspondente para a posição %3 da posição %4.=186
ActorDebug/CannotFindNonzeroShieldRadius,Impossível localizar raio de escudo > 0 em %1 com modelo %2.=187
ActorDebug/CannotFindShieldImpact,Não foi possível localizar o agente CActorShieldImpact no campo de ação contido.=188
ActorDebug/CannotFindSlot,Impossível localizar a posição %1.=189
ActorDebug/CannotFindSlotMapping,%1; Sem mapeamento para a posição %2.=190
ActorDebug/CannotFindSourceTexture,%1 %2; Não foi possível localizar a textura fonte com a posição %3.=191
ActorDebug/CannotFindTextureByFileAlias,%1 %2; Não foi possível achar a textura com o nome de arquivo %3.=192
ActorDebug/CannotFindTextureById,%1 %2; Não foi possível achar a textura com id %3.=193
ActorDebug/CannotFindTextureBySlot,%1 %2; Não foi possível localizar a textura com a posição %3 e expressão %4.=194
ActorDebug/CannotHaveNestedDeathGroups,CActorUnit[%1]; Grupo de dados de morte personalizada %2 contém um membro %3 que é um grupo de dados, o que não é permitido.=195
ActorDebug/CannotHostActor,=196
ActorDebug/CannotHostAgain,Tentando hospedar %1 que já está hospedado (apesar de não necessariamente diretamente).=197
ActorDebug/CannotHostAgainCleared,Tentando hospedar %1 que já está hospedado (apesar de não necessariamente diretamente). Host liberado.=198
ActorDebug/CannotHostSelf,Impossível hospedar a si mesmo.  Culpa de %1.=199
ActorDebug/CannotHostSelfSiteOps,Impossível hospedar a si mesmo.  Culpa de %1 em %2.=200
ActorDebug/CannotInheritDeath,CActorUnit[%1]; Morte %2 não pode herdar de morte %3. Pode herdar apenas de mortes anteriores na lista inicializadas com sucesso.=201
ActorDebug/CannotInitializeHost,Impossível inicializar host.=202
ActorDebug/CannotInitializeHostedAttachDueToQuery,Não é possível inicializar anexação hospedada %1. Fila de anexação não retornou pontos de anexação.=203
ActorDebug/CannotInitializeHostedAttachDueToSiteOps,Não é possível inicializar anexação hospedada %1. Não foi possível inicializar siteOps.=204
ActorDebug/CannotInitializeHostedAttachDueToUpdateBearings,Não é possível inicializar anexação hospedada %1. Não foi possível atualizar as coordenadas.=205
ActorDebug/CannotMonitorStates,Impossível monitorar mais de %1 estados.=206
ActorDebug/CannotOverrideAndInheritDeathSimultaneously,CActorUnit[%1]; Não pode ignorar morte %2 e herdar de morte %3 simultaneamente.=207
ActorDebug/CannotOverrideDeathAndHaveMembers,CActorUnit[%1]; Grupo de dados de morte personalizada %2 não pode sobrepor a morte do mesmo nome enquanto ainda possuir membros.=208
ActorDebug/CannotParseActorMessage,Impossível analisar mensagem de agente [%1].=209
ActorDebug/CannotParseActorTerm,Impossível analisar termo do agente [%1].=210
ActorDebug/CannotPopulateValidLinkOnMsgTextureSelectByUpdateLink,Tentativa de popular CActorMsgTextureSelectByUpdateLink com link [%1] falhou porque o link não é válido.=211
ActorDebug/CannotReattachBeam,Impossível reanexar feixe durante troca de modelo para %1.=212
ActorDebug/CannotRemoveSiteOps,Não é possível remover site ops no hospedeiro %1.=213
ActorDebug/CannotResolveActor,%1 mensagem: Não pode definir agente do nome de ref %2.=214
ActorDebug/CannotRouteMessage,Não há efeito de criação, impossível rotear mensagens internas adequadamente.=215
ActorDebug/CannotSelectTextureBadLink,Impossível selecionar textura com a entrada [%1] do catálogo de texturas.=216
ActorDebug/CannotSetContinuousPhysics,Tentando definir a física para operar continuamente em um CModel[%1], que não tem nada incorporado.=217
ActorDebug/CannotSetSiteOps,Impossível definir operações de local no host %1.=218
ActorDebug/CannotSpawnActor,SetQueriedSpawn; Impossível gerar agente %1.=219
ActorDebug/CannotSpawnBeam,Impossível gerar feixe no ecopo %1.=220
ActorDebug/CannotSpawnFoliageFX,Impossível gerar efeitos de folhagem.  Agente[%1].=221
ActorDebug/CannotSupersedeSelf,O grupo de dados de morte %1 não pode sobrepor a si mesmo na entrada %2!=222
ActorDebug/CannotUseSourceNarrowing,Impossível usar restrição de fonte (p. ex. Exigir, Excluir) em uma mensagem que envia uma mensagem diferente de 'Criar'. %1=223
ActorDebug/CannotUseSourceNarrowingWithName,Impossível usar restrição de fonte (p. ex. Exigir, Excluir) em uma mensagem com nome fonte especificado. %1=224
ActorDebug/CannotUseSourceNarrowingWithoutUnit,Impossível usar restrição de fonte (p.ex. Exigir, Excluir) em uma mensagem enviada de nada que não seja da própria unidade. %1=225
ActorDebug/CannotWithdrawActor,Não há efeito de criação, impossível remover agente do roteamento de mensagem interno.=226
ActorDebug/CreateCannotRegisterTerm,Contém Criar com termos que não podem ser registrados: Termos[%1].=227
ActorDebug/CreatedWithoutUnit,Criado no campo de ação sem unidade; ou seja, sem host. Matando.=228
ActorDebug/CustomDeathMissingPriority,Morte personalizada %1 está sendo ignorada na entrada %2, pois está faltando a prioridade de morte. Para resolver este problema, adicione um elemento de DeathCustomPriorityList para esta morte para o agente CActorGlobalConfig relevante.=229
ActorDebug/CustomPortrait,RETRATO PERSONALIZADO=230
ActorDebug/CutsceneBadFilter,A mensagem %1 requer um nome de filtro válido.=231
ActorDebug/CutsceneBookmarkDoesNotExist,O marcador %1 não existe na cena %2.=232
ActorDebug/CutsceneBookmarkNameRequired,A mensagem CutsceneGoToBookmark requer um nome de marcador válido.=233
ActorDebug/CutsceneCannotPlay,Impossível rodar cena %1.=234
ActorDebug/CutsceneStepBookmarkNext,Impossível avançar para o próximo marcador.=235
ActorDebug/CutsceneStepBookmarkPrev,Impossível recuar para marcador anterior.=236
ActorDebug/DamagePhysicsArrivedBeforeAction,Erro de configuração de dados; mensagem de ActionDamagePhysics chegou antes de %1 iniciados.=237
ActorDebug/DeathGroupContainsInvalidDeath,CActorUnit[%1]; Grupo de dados de morte personalizada %2 refere-se a morte inválida %3, que não existe.=238
ActorDebug/EffectLinkRedundant,É redundante especificar um link de efeito com essa palavra-chave; o destino é o escopo da árvore de efeito. Solicitante: %1=239
ActorDebug/ErrorCannotInheritScale,Impossível herdar escala.=240
ActorDebug/EventMacroRunnableInvalid,O CActorEventMacroRunnable[%1] especificado é inválido.=241
ActorDebug/EventWithInvalidMsg,Possui evento com term. de mensagem inválida. %1=242
ActorDebug/EventWithInvalidSend,Possui evento com campo de envio inválido. %1=243
ActorDebug/EventWithoutTrigger,Possui evento sem mensagem ativadora. %1=244
ActorDebug/GamePortrait,RETRATO DO JOGO=245
ActorDebug/GlazeFailed,=246
ActorDebug/HostSetSiteOpsDoesNotSupportLiveHardAttaches,As mensagens de HostSetSiteOps atualmente não configuram o siteOps em um agente que tenha sido anexado fixamente. Use anexação leve. Culpado %1.=247
ActorDebug/HoverTarget,SOBREVOAR ALVO=248
ActorDebug/ImpactArrivedBeforeAction,Erro de configuração de dados; Mensagem ActionImpact chegou antes de %1 começar.=249
ActorDebug/ImpactMonitorCouldNotFindTAV,Monitor de impacto não pode ser totalmente inicializado; não foi possível encontrar alvos de volume anexado (TAV) na id anexada [%1] no alvo: %2. No entanto, o modelo alvo tem TAVs em outros pontos de anexação. Para tratar este erro, configure o ataque para encontrar corretamente os TAVsalvosa ou não use CActorSiteOpAttachVolume, se o ataque não precisar usar TAVs.=250
ActorDebug/ImpactPhysicsArrivedBeforeAction,Erro de configuração de dados; mensagem de ActionImpactPhysics chegou antes de %1 iniciados.=251
ActorDebug/ImpactSourceMustBeCActorAction,Fonte de impacto %1 precisa ser uma ator do tipo CActorAction.=252
ActorDebug/InitialBearings,Inicial=253
ActorDebug/InnateTextureClash,Em Msg %1; ModelLink[%2] Modelo %3; a textura inata %4 sendo mapeada para a posição[%5] já definida para textura inata %6 Não é possível ter duas texturas diferentes mapeadas para a mesma posição simultaneamente.=254
ActorDebug/InvalidAttachMethod,Método de anexação inválido %1 em %2.=255
ActorDebug/InvalidAttachMethodUnavailable,Método de anexação inválido [Indisponível] %1 em %2.=256
ActorDebug/InvalidBlendDuration,Esta operação exige um blendDuration > 0.0 para fazer sentido.=257
ActorDebug/InvalidCreepHeightClassValue,Valor inválido em classe de altura de criatura %1. Valores devem ser >= 0.=258
ActorDebug/InvalidDeath,CActorUnit[%1]; Grupo de dados de morte personalizada %2 refere-se a uma morte que não existe.=259
ActorDebug/InvalidEffectParams,CActorAction deve ser criado com parâmetros de efeito válidos.=260
ActorDebug/InvalidLink,Link inválido=261
ActorDebug/InvalidModelBounds,=262
ActorDebug/InvalidModelVariation,%1 %2; Variação inválida %3. Todas as variações devem ter o mesmo número de anexos.=263
ActorDebug/InvalidPortraitActor,Agente de retrato inválido %1.=264
ActorDebug/InvalidPortraitActorCustomization,Mensagem PortraitCustomize possui agente de retrato inválido %1.=265
ActorDebug/InvalidPortraitCamera,Câmera de retrato inválida %1.=266
ActorDebug/InvalidPortraitModel,Modelo de retrato inválido %1.=267
ActorDebug/InvalidPortraitModelCustomization,Mensagem PortraitCustomize possui modelo de retrato inválido %1.=268
ActorDebug/InvalidRequest,Possui solicitação inválida: Assunto[%1].=269
ActorDebug/InvalidShieldAttach,Não foi possível encontrar e_attachShield nem um anexo de escudo dinâmico na unidade %1 com modelo %2.=270
ActorDebug/InvalidShieldRadius,Raio de escudo inválido.  Obteve escala com componente 0 na unidade %1 com modelo %2.=271
ActorDebug/InvalidSiteOp,Local de op inválido [%1].=272
ActorDebug/InvalidSiteOpHost,Hospedeiro[%1] Local de op inválido [%2].=273
ActorDebug/InvalidSiteOpLink,Link de siteOp Inválido=274
ActorDebug/LightInvalidModel,Modelo inválido em CAtorLuz. Culpado: %1=275
ActorDebug/LookAtCannotCreateActor,%1; Impossível criar olhar para agente para fonte %2.=276
ActorDebug/LookAtCouldNotAcquireTarget,Impossível adquirir alvo da fonte %1.=277
ActorDebug/LookAtDumpTurrets,torres:=278
ActorDebug/LookAtDumpTurretsNone,-- Nenhum ---=279
ActorDebug/LookAtDumpTurretsSourced,despejando torres na fonte %1:=280
ActorDebug/LookAtInvalidSource,Aparência inválida no agente de fonte %1.=281
ActorDebug/LookAtInvalidTarget,%1; Aparência inválida no agente de alvo %2.=282
ActorDebug/LookAtInvalidType,Não foi possível encontrar definição de aparência no tipo [%1].=283
ActorDebug/LookAtModelSwapFailure,Não foi possível restaurar torres do modelo %1 para o modelo %2.=284
