Actor/Name/IndicatorMissilePhaseChange,Indicator Missile Phase Change=0
Abil/EditorPrefix/BurrowDroneUp,Drohne -=64
Abil/EditorPrefix/BurrowHydraliskDown,Hydralisk -=65
Abil/EditorPrefix/BurrowHydraliskUp,Hydralisk -=66
Abil/EditorPrefix/BurrowInfestorDown,Verseucher -=67
Abil/EditorPrefix/BurrowInfestorUp,Verseucher -=68
Abil/EditorPrefix/BurrowQueenDown,Königin -=69
Abil/EditorPrefix/BurrowQueenUp,Königin -=70
Abil/EditorPrefix/BurrowRoachDown,Schabe -=71
Abil/EditorPrefix/BurrowRoachUp,Schabe -=72
Abil/EditorPrefix/BurrowUltraliskDown,Ultralisk -=73
Abil/EditorPrefix/BurrowUltraliskUp,Ultralisk -=74
Abil/EditorPrefix/BurrowZerglingDown,Zergling -=75
Abil/EditorPrefix/BurrowZerglingUp,Zergling -=76
Abil/EditorPrefix/CalldownMULE,Satellitenzentrale -=77
Abil/EditorPrefix/CarrierHangar,Träger -=78
Abil/EditorPrefix/Charge,Berserker -=79
Abil/EditorPrefix/CommandCenterLand,Kommandozentrale -=80
Abil/EditorPrefix/CommandCenterLiftOff,Kommandozentrale -=81
Abil/EditorPrefix/CommandCenterTrain,Kommandozentrale -=82
Abil/EditorPrefix/CommandCenterTransport,Kommandozentrale -=83
Abil/EditorPrefix/Contaminate,Overseer -=84
Abil/EditorPrefix/Corruption,Schänder -=85
Abil/EditorPrefix/CreepTumorBuild,Kriechertumor -=86
Abil/EditorPrefix/CyberneticsCoreResearch,Kybernetik-Kern -=87
Abil/EditorPrefix/D8Charge,Rächer -=88
Abil/EditorPrefix/DisguiseAsMarineWithShield,Formling -=89
Abil/EditorPrefix/DisguiseAsMarineWithoutShield,Formling -=90
Abil/EditorPrefix/DisguiseAsZealot,Formling -=91
Abil/EditorPrefix/DisguiseAsZerglingWithWings,Formling -=92
Abil/EditorPrefix/DisguiseAsZerglingWithoutWings,Formling -=93
Abil/EditorPrefix/DroneHarvest,Drohne -=94
Abil/EditorPrefix/EMP,Ghost -=95
Abil/EditorPrefix/EngineeringBayResearch,Maschinendock -=96
Abil/EditorPrefix/Explode,Berstling -=97
Abil/EditorPrefix/FactoryAddOns,Fabrik -=98
Abil/EditorPrefix/FactoryLand,Fabrik -=99
Abil/EditorPrefix/FactoryLiftOff,Fabrik -=100
Abil/EditorPrefix/FactoryTrain,Fabrik -=101
Abil/EditorPrefix/Feedback,Hoher Templer -=102
Abil/EditorPrefix/FighterMode,Viking -=103
Abil/EditorPrefix/FleetBeaconResearch,Flottensignalgeber -=104
Abil/EditorPrefix/ForceField,Protektor -=105
Abil/EditorPrefix/ForgeResearch,Schmiede -=106
Abil/EditorPrefix/FungalGrowth,Verseucher -=107
Abil/EditorPrefix/FusionCoreResearch,Fusionskern -=108
Abil/EditorPrefix/GatewayTrain,Warpknoten -=109
Abil/EditorPrefix/GenerateCreep,Overlord -=110
Abil/EditorPrefix/GhostCloak,Ghost -=111
Abil/EditorPrefix/GhostHoldFire,Ghost -=112
Abil/EditorPrefix/GhostWeaponsFree,Ghost -=113
Abil/EditorPrefix/GravitonBeam,Phönix -=114
Abil/EditorPrefix/GuardianShield,Protektor -=115
Abil/EditorPrefix/HallucinationArchon,Protektor -=116
Abil/EditorPrefix/HallucinationColossus,Protektor -=117
Abil/EditorPrefix/HallucinationHighTemplar,Protektor -=118
Abil/EditorPrefix/HallucinationImmortal,Protektor -=119
Abil/EditorPrefix/HallucinationPhoenix,Protektor -=120
Abil/EditorPrefix/HallucinationProbe,Protektor -=121
Abil/EditorPrefix/HallucinationStalker,Protektor -=122
Abil/EditorPrefix/HallucinationVoidRay,Protektor -=123
Abil/EditorPrefix/HallucinationWarpPrism,Protektor -=124
Abil/EditorPrefix/HallucinationZealot,Protektor -=125
Abil/EditorPrefix/HydraliskDenResearch,Hydraliskenbau -=126
Abil/EditorPrefix/InfestedTerrans,Verseucher -=127
Abil/EditorPrefix/LairResearch,Bau und Schwarmstock=128
Abil/EditorPrefix/LarvaTrain,Larve -=129
Abil/EditorPrefix/Leech,Verseucher -=130
Abil/EditorPrefix/MULEGather,M.U.L.E. -=131
Abil/EditorPrefix/MULERepair,M.U.L.E. -=132
Abil/EditorPrefix/MassRecall,Mutterschiff -=133
Abil/EditorPrefix/MedivacHeal,Medivac -=134
Abil/EditorPrefix/MedivacTransport,Medivac -=135
Abil/EditorPrefix/MercCompoundResearch,Söldnerquartier -=136
Abil/EditorPrefix/Mergeable,Hoher Templer -=137
Abil/EditorPrefix/MorphBackToGateway,Warptor -=138
Abil/EditorPrefix/MorphToBroodLord,Schänder -=139
Abil/EditorPrefix/MorphToInfestedTerran,Verseucher-Ei -=140
Abil/EditorPrefix/MorphZerglingToBaneling,Zergling -=141
Abil/EditorPrefix/NeuralParasite,Verseucher -=142
Abil/EditorPrefix/NexusTrain,Nexus -=143
Abil/EditorPrefix/NexusTrainMothership,Nexus -=144
Abil/EditorPrefix/OrbitalCommandLand,Überwachungsstation -=145
Abil/EditorPrefix/OverlordTransport,Overlord -=146
Abil/EditorPrefix/PhasingMode,Warpprisma -=147
Abil/EditorPrefix/PlacePointDefenseDrone,Raven -=148
Abil/EditorPrefix/ProbeHarvest,Sonde -=149
Abil/EditorPrefix/ProtossBuild,Sonde -=150
Abil/EditorPrefix/PsiStorm,Hoher Templer -=151
Abil/EditorPrefix/QueenBuild,Königin -=152
Abil/EditorPrefix/RavenBuild,Raven -=153
Abil/EditorPrefix/Repair,WBF -=154
Abil/EditorPrefix/RoachWarrenResearch,Schabenhöhle -=155
Abil/EditorPrefix/RoboticsFacilityTrain,Roboterfabrik -=156
Abil/EditorPrefix/SCVHarvest,WBF -=157
Abil/EditorPrefix/SalvageBunker,Wiederverwertung -=158
Abil/EditorPrefix/SalvageBunkerRefund,Wiederverwertung -=159
Abil/EditorPrefix/SapStructure,Berstling -=160
Abil/EditorPrefix/ScannerSweep,Satellitenzentrale -=161
Abil/EditorPrefix/SeekerMissile,Raven -=162
Abil/EditorPrefix/SiegeMode,Belagerungspanzer -=163
Abil/EditorPrefix/Siphon,Verseucher -=164
Abil/EditorPrefix/Snipe,Ghost -=165
Abil/EditorPrefix/SpawnChangeling,Overseer -=166
Abil/EditorPrefix/SpawnLarva,Königin -=167
Abil/EditorPrefix/SpawningPoolResearch,Brutschleimpool -=168
Abil/EditorPrefix/SpineCrawlerRoot,Stachelkrabbler -=169
Abil/EditorPrefix/SpineCrawlerUproot,Stachelkrabbler -=170
Abil/EditorPrefix/SpireResearch,Schössling und Großer Schössling -=171
Abil/EditorPrefix/SporeCrawlerRoot,Sporenkrabbler -=172
Abil/EditorPrefix/SporeCrawlerUproot,Sporenkrabbler -=173
Abil/EditorPrefix/StargateTrain,Raumportal -=174
Abil/EditorPrefix/StarportAddOns,Raumhafen -=175
Abil/EditorPrefix/StarportLand,Raumhafen -=176
Abil/EditorPrefix/StarportLiftOff,Raumhafen -=177
Abil/EditorPrefix/StarportTrain,Raumhafen -=178
Abil/EditorPrefix/Stimpack,Space-Marine -=179
Abil/EditorPrefix/StimpackMarauder,Marodeur -=180
Abil/EditorPrefix/SupplyDepotLower,Versorgungsdepot -=181
Abil/EditorPrefix/SupplyDepotRaise,Versorgungsdepot -=182
Abil/EditorPrefix/SupplyDrop,Satellitenzentrale -=183
Abil/EditorPrefix/TacNukeStrike,Ghost -=184
Abil/EditorPrefix/TemplarArchivesResearch,Templer-Archiv -=185
Abil/EditorPrefix/TerranBuild,WBF -=186
Abil/EditorPrefix/TimeWarp,Nexus -=187
Abil/EditorPrefix/TrainQueen,Brutstätte -=188
Abil/EditorPrefix/Transfusion,Königin -=189
Abil/EditorPrefix/TransportMode,Warpprisma -=190
Abil/EditorPrefix/TwilightCouncilResearch,Zirkel des Zwielichts -=191
Abil/EditorPrefix/UltraliskCavernResearch,Ultraliskenhöhle -=192
Abil/EditorPrefix/Unsiege,Belagerungspanzer -=193
Abil/EditorPrefix/UpgradeToGreaterSpire,Schössling -=194
Abil/EditorPrefix/UpgradeToHive,Bau -=195
Abil/EditorPrefix/UpgradeToLair,Brutstätte -=196
Abil/EditorPrefix/UpgradeToOrbital,Kommandozentrale -=197
Abil/EditorPrefix/UpgradeToPlanetaryFortress,Kommandozentrale -=198
Abil/EditorPrefix/UpgradeToPlanetaryFortressFast,Kommandozentrale -=199
Abil/EditorPrefix/UpgradeToWarpGate,Warpknoten -=200
Abil/EditorPrefix/Vortex,Mutterschiff -=201
Abil/EditorPrefix/WarpGateTrain,Warptor -=202
Abil/EditorPrefix/WarpPrismTransport,Warpprisma -=203
Abil/EditorPrefix/WormholeTransit,Mutterschiff -=204
Abil/EditorPrefix/Yamato,Schwerer Kreuzer -=205
Abil/EditorPrefix/ZergBuild,Drohne -=206
Abil/EditorPrefix/evolutionchamberresearch,Evolutionskammer -=207
Abil/EditorSuffix/SalvageBunkerRefund,(Rückerstattung)=208
Abil/EditorSuffix/burrowedStop,(Eingegrabene Schabe)=209
Abil/EditorSuffix/que5Addon,(5) (Erweiterung)=210
Achievement/EditorPrefix/Challenge_AdvancedCommand_Basic,Szenario -=211
Achievement/EditorPrefix/Challenge_AdvancedCommand_Dominance,Szenario -=212
Achievement/EditorPrefix/Challenge_AdvancedCommand_Mastery,Szenario -=213
Achievement/EditorPrefix/Challenge_Economy_Basic,Szenario -=214
Achievement/EditorPrefix/Challenge_Economy_Dominance,Szenario -=215
Achievement/EditorPrefix/Challenge_Economy_Mastery,Szenario -=216
Achievement/EditorPrefix/Challenge_MasterAchievement_Basic,Guide Eins -=217
Achievement/EditorPrefix/Challenge_MasterAchievement_Dominance,Guide Drei -=218
Achievement/EditorPrefix/Challenge_MasterAchievement_Mastery,Guide Zwei -=219
Achievement/EditorPrefix/Challenge_Meta_GoldCollection,Szenario (Meta) -=220
Achievement/EditorPrefix/Challenge_ProtossCombat_Basic,Szenario -=221
Achievement/EditorPrefix/Challenge_ProtossCombat_Dominance,Szenario -=222
Achievement/EditorPrefix/Challenge_ProtossCombat_Mastery,Szenario -=223
Achievement/EditorPrefix/Challenge_ProtossPsionics_Basic,Szenario -=224
Achievement/EditorPrefix/Challenge_ProtossPsionics_Dominance,Szenario -=225
Achievement/EditorPrefix/Challenge_ProtossPsionics_Mastery,Szenario -=226
Achievement/EditorPrefix/Challenge_RushDefense_Basic,Szenario -=227
Achievement/EditorPrefix/Challenge_RushDefense_Dominance,Szenario -=228
Achievement/EditorPrefix/Challenge_RushDefense_Mastery,Szenario -=229
Achievement/EditorPrefix/Challenge_TerranCombat_Basic,Szenario -=230
Achievement/EditorPrefix/Challenge_TerranCombat_Dominance,Szenario -=231
Achievement/EditorPrefix/Challenge_TerranCombat_Mastery,Szenario -=232
Achievement/EditorPrefix/Challenge_TerranCovertOps_Basic,Szenario -=233
Achievement/EditorPrefix/Challenge_TerranCovertOps_Dominance,Szenario -=234
Achievement/EditorPrefix/Challenge_TerranCovertOps_Mastery,Szenario -=235
Achievement/EditorPrefix/Challenge_ZergCombat_Basic,Szenario -=236
Achievement/EditorPrefix/Challenge_ZergCombat_Dominance,Szenario -=237
Achievement/EditorPrefix/Challenge_ZergCombat_Mastery,Szenario -=238
Achievement/EditorPrefix/Challenge_ZergInfestation_Basic,Szenario -=239
Achievement/EditorPrefix/Challenge_ZergInfestation_Dominance,Szenario -=240
Achievement/EditorPrefix/Challenge_ZergInfestation_Mastery,Szenario -=241
Achievement/EditorPrefix/Combat_BasicTraining_Marines,Wirtschaft -=242
Achievement/EditorPrefix/Combat_BasicTraining_Zealots,Wirtschaft -=243
Achievement/EditorPrefix/Combat_BasicTraining_Zerglings,Wirtschaft -=244
Achievement/EditorPrefix/Combat_DodgeSeeker,Standard-Gefecht -=245
Achievement/EditorPrefix/Combat_Economy_CancelConstructionUnderFire,Standard-Gefecht -=246
Achievement/EditorPrefix/Combat_Exploration_FreeForAllCrusher,Guide Drei -=247
Achievement/EditorPrefix/Combat_FastExpand,Wirtschaft -=248
Achievement/EditorPrefix/Combat_FastTier2_Factory,Wirtschaft -=249
Achievement/EditorPrefix/Combat_FastTier2_Lair,Wirtschaft -=250
Achievement/EditorPrefix/Combat_FastTier2_TwilightCouncil,Wirtschaft -=251
Achievement/EditorPrefix/Combat_Infrastructure_Protoss,Liga-Erfolge -=252
Achievement/EditorPrefix/Combat_Infrastructure_Terran,Liga-Erfolge -=253
Achievement/EditorPrefix/Combat_Infrastructure_Zerg,Liga-Erfolge -=254
Achievement/EditorPrefix/Combat_MapControl_DestroyConstructingTownHall,Liga-Erfolge -=255
Achievement/EditorPrefix/Combat_Meatgrinder,Standard-Gefecht -=256
Achievement/EditorPrefix/Combat_Mechanic_Detection,Standard-Gefecht -=257
Achievement/EditorPrefix/Combat_Mechanic_HighYield,Wirtschaft -=258
Achievement/EditorPrefix/Combat_Mechanic_KillTransport,Liga-Erfolge -=259
Achievement/EditorPrefix/Combat_Mechanic_Repair,Standard-Gefecht -=260
Achievement/EditorPrefix/Combat_Mechanic_RoachRegen,Liga-Erfolge -=261
Achievement/EditorPrefix/Combat_Mechanic_Shields,Liga-Erfolge -=262
Achievement/EditorPrefix/Combat_Mechanic_WarpIn,Liga-Erfolge -=263
Achievement/EditorPrefix/Combat_Mechanic_WatchTower,Liga-Erfolge -=264
Achievement/EditorPrefix/Combat_Meta_Economy,Wirtschaft (Meta) -=265
Achievement/EditorPrefix/Combat_Meta_LeagueCombat,Liga-Erfolge (Meta) -=266
Achievement/EditorPrefix/Combat_Meta_MeleeCombat,Standard-Gefecht (Meta) -=267
Achievement/EditorPrefix/Combat_Micro_HotPickup,Liga-Erfolge -=268
Achievement/EditorPrefix/Combat_Micro_Unit20Kills,Liga-Erfolge -=269
Achievement/EditorPrefix/Combat_NoCounterAttacks,Liga-Erfolge -=270
Achievement/EditorPrefix/Combat_Spells_AutoTurretSCVKills,Liga-Erfolge -=271
Achievement/EditorPrefix/Combat_Spells_Blink,Standard-Gefecht -=272
Achievement/EditorPrefix/Combat_Spells_Changeling,Liga-Erfolge -=273
Achievement/EditorPrefix/Combat_Spells_HallucinationAbsorb,Liga-Erfolge -=274
Achievement/EditorPrefix/Combat_Spells_HallucinationCount,Standard-Gefecht -=275
Achievement/EditorPrefix/Combat_Spells_Heal,Liga-Erfolge -=276
Achievement/EditorPrefix/Combat_Spells_HighTemplarKills,Standard-Gefecht -=277
Achievement/EditorPrefix/Combat_Spells_InfestedTerrans,Liga-Erfolge -=278
Achievement/EditorPrefix/Combat_Spells_MULE,Liga-Erfolge -=279
Achievement/EditorPrefix/Combat_Spells_NeuralParasite,Liga-Erfolge -=280
Achievement/EditorPrefix/Combat_Spells_Nuke,Liga-Erfolge -=281
Achievement/EditorPrefix/Combat_Spells_PhasePrism,Standard-Gefecht -=282
Achievement/EditorPrefix/Combat_Spells_Seeker,Liga-Erfolge -=283
Achievement/EditorPrefix/Combat_Spells_Snipe,Liga-Erfolge -=284
Achievement/EditorPrefix/Combat_Spells_SpawnLarva,Liga-Erfolge -=285
Achievement/EditorPrefix/Combat_Spells_Vortex,Standard-Gefecht -=286
Achievement/EditorPrefix/Combat_Spells_Yamato,Liga-Erfolge -=287
Achievement/EditorPrefix/Combat_Spells_ZealotWhileZerg,Standard-Gefecht -=288
Achievement/EditorPrefix/Combat_Teammatery_Heal,Liga-Erfolge -=289
Achievement/EditorPrefix/Combat_Teammatery_Repair,Wirtschaft -=290
Achievement/EditorPrefix/Combat_TownHallDestroyer,Liga-Erfolge -=291
Achievement/EditorPrefix/QuickMatch_Competitive_FFA_5000_Kills,Wettkampf -=292
Achievement/EditorPrefix/StarCraftMaster_01,StarCraft-Master -=293
Achievement/EditorPrefix/StarCraftMaster_02,StarCraft-Master -=294
Achievement/EditorPrefix/StarCraftMaster_03,StarCraft-Master -=295
Achievement/EditorPrefix/StarCraftMaster_04,StarCraft-Master -=296
Achievement/EditorPrefix/StarCraftMaster_05,StarCraft-Master -=297
Achievement/EditorPrefix/StarCraftMaster_06,StarCraft-Master -=298
Achievement/EditorPrefix/StarCraftMaster_07,StarCraft-Master -=299
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_1,Meta (Szenarien) -=300
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_2,Meta (Szenarien) -=301
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_3,Meta (Szenarien) -=302
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_4,Meta (Szenarien) -=303
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_5,Meta (Szenarien) -=304
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_6,Meta (Szenarien) -=305
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_7,Meta (Szenarien) -=306
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_8,Meta (Szenarien) -=307
AchievementTerm/EditorPrefix/Challenge_Meta_GoldCollection_9,Meta (Szenarien) -=308
AchievementTerm/EditorPrefix/Combat_Meta_Economy_1,Meta (Ressourcenabbau) -=309
AchievementTerm/EditorPrefix/Combat_Meta_Economy_2,Meta (Ressourcenabbau) -=310
AchievementTerm/EditorPrefix/Combat_Meta_Economy_3,Meta (Ressourcenabbau) -=311
AchievementTerm/EditorPrefix/Combat_Meta_Economy_4,Meta (Ressourcenabbau) -=312
AchievementTerm/EditorPrefix/Combat_Meta_Economy_5,Meta (Ressourcenabbau) -=313
AchievementTerm/EditorPrefix/Combat_Meta_Economy_6,Meta (Ressourcenabbau) -=314
AchievementTerm/EditorPrefix/Combat_Meta_Economy_7,Meta (Ressourcenabbau) -=315
AchievementTerm/EditorPrefix/Combat_Meta_Economy_8,Meta (Ressourcenabbau) -=316
AchievementTerm/EditorPrefix/Combat_Meta_Economy_9,Meta (Ressourcenabbau) -=317
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_1,Meta (Liga-Erfolge) -=318
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_10,Meta (Liga-Erfolge) -=319
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_11,Meta (Liga-Erfolge) -=320
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_12,Meta (Liga-Erfolge) -=321
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_13,Meta (Liga-Erfolge) -=322
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_14,Meta (Liga-Erfolge) -=323
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_15,Meta (Liga-Erfolge) -=324
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_16,Meta (Liga-Erfolge) -=325
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_17,Meta (Liga-Erfolge) -=326
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_18,Meta (Liga-Erfolge) -=327
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_19,Meta (Liga-Erfolge) -=328
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_2,Meta (Liga-Erfolge) -=329
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_20,Meta (Liga-Erfolge) -=330
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_21,Meta (Liga-Erfolge) -=331
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_22,Meta (Liga-Erfolge) -=332
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_23,Meta (Liga-Erfolge) -=333
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_24,Meta (Liga-Erfolge) -=334
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_25,Meta (Liga-Erfolge) -=335
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_26,Meta (Liga-Erfolge) -=336
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_27,Meta (Liga-Erfolge) -=337
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_28,Meta (Liga-Erfolge) -=338
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_4,Meta (Liga-Erfolge) -=339
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_5,Meta (Liga-Erfolge) -=340
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_6,Meta (Liga-Erfolge) -=341
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_8,Meta (Liga-Erfolge) -=342
AchievementTerm/EditorPrefix/Combat_Meta_LeagueCombat_9,Meta (Liga-Erfolge) -=343
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_1,Meta (Standard-Gefecht) -=344
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_10,Meta (Standard-Gefecht) -=345
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_11,Meta (Standard-Gefecht) -=346
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_2,Meta (Standard-Gefecht) -=347
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_3,Meta (Standard-Gefecht) -=348
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_4,Meta (Standard-Gefecht) -=349
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_5,Meta (Standard-Gefecht) -=350
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_6,Meta (Standard-Gefecht) -=351
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_7,Meta (Standard-Gefecht) -=352
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_8,Meta (Standard-Gefecht) -=353
AchievementTerm/EditorPrefix/Combat_Meta_MeleeCombat_9,Meta (Standard-Gefecht) -=354
AchievementTerm/EditorPrefix/StarCraftMaster_04_01,StarCraft-Master -=355
AchievementTerm/EditorPrefix/StarCraftMaster_04_02,StarCraft-Master -=356
AchievementTerm/EditorPrefix/StarCraftMaster_04_03,StarCraft-Master -=357
AchievementTerm/EditorPrefix/StarCraftMaster_04_04,StarCraft-Master -=358
AchievementTerm/EditorPrefix/StarCraftMaster_04_05,StarCraft-Master -=359
AchievementTerm/EditorPrefix/StarCraftMaster_04_06,StarCraft-Master -=360
AchievementTerm/EditorPrefix/StarCraftMaster_04_07,StarCraft-Master -=361
AchievementTerm/EditorPrefix/StarCraftMaster_04_08,StarCraft-Master -=362
AchievementTerm/EditorPrefix/StarCraftMaster_04_09,StarCraft-Master -=363
AchievementTerm/EditorPrefix/StarCraftMaster_04_10,StarCraft-Master -=364
AchievementTerm/EditorPrefix/StarCraftMaster_04_11,StarCraft-Master -=365
AchievementTerm/EditorPrefix/StarCraftMaster_04_12,StarCraft-Master -=366
AchievementTerm/EditorPrefix/StarCraftMaster_04_13,StarCraft-Master -=367
AchievementTerm/EditorPrefix/StarCraftMaster_04_14,StarCraft-Master -=368
AchievementTerm/EditorPrefix/StarCraftMaster_04_15,StarCraft-Master -=369
AchievementTerm/EditorPrefix/StarCraftMaster_04_16,StarCraft-Master -=370
AchievementTerm/EditorPrefix/StarCraftMaster_04_17,StarCraft-Master -=371
AchievementTerm/EditorPrefix/StarCraftMaster_04_18,StarCraft-Master -=372
AchievementTerm/EditorPrefix/StarCraftMaster_04_19,StarCraft-Master -=373
AchievementTerm/EditorPrefix/StarCraftMaster_04_20,StarCraft-Master -=374
AchievementTerm/EditorPrefix/StarCraftMaster_04_21,StarCraft-Master -=375
AchievementTerm/EditorPrefix/StarCraftMaster_04_22,StarCraft-Master -=376
AchievementTerm/EditorPrefix/StarCraftMaster_04_23,StarCraft-Master -=377
AchievementTerm/EditorPrefix/StarCraftMaster_04_24,StarCraft-Master -=378
AchievementTerm/EditorPrefix/StarCraftMaster_04_25,StarCraft-Master -=379
AchievementTerm/EditorPrefix/StarCraftMaster_04_26,StarCraft-Master -=380
AchievementTerm/EditorPrefix/StarCraftMaster_04_27,StarCraft-Master -=381
AchievementTerm/EditorPrefix/StarCraftMaster_04_28,StarCraft-Master -=382
AchievementTerm/EditorPrefix/StarCraftMaster_04_29,StarCraft-Master -=383
AchievementTerm/EditorPrefix/StarCraftMaster_04_30,StarCraft-Master -=384
Actor/EditorPrefix/AgriaDebris,Agria=385
Actor/EditorPrefix/AgriaDebrisLarge,Agria=386
Actor/EditorPrefix/AutoTurretRelease,Raven -=387
Actor/EditorPrefix/AutoTurretReleaseMissile,Raven -=388
Actor/EditorPrefix/BroodlingAttack,Brood Lord Spawn -=389
