Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Actor/Name/CliffPreSelection,언덕 미리 선택 /// CliffPreSelection=102
Actor/Name/CliffSyncFlashingSelection,언덕 동기화 섬광 선택 /// Cliff Sync Flashing Selection=103
Actor/Name/CliffSyncSelection,언덕 동기화 선택 /// CliffSyncSelection=104
Actor/Name/CommandUIHarness,UI 하네스 명령 /// CommandUIHarness=105
Actor/Name/Confirmation,확인 /// Confirmation=106
Actor/Name/ConfirmationLocalAir,지역 공중 확인 /// ConfirmationLocalAir=107
Actor/Name/ConfirmationLocalAirAttack,확인 지역 공중 공격=108
Actor/Name/ConfirmationLocalGround,지역 지면 확인 /// ConfirmationLocalGround=109
Actor/Name/ConfirmationLocalGroundAttack,확인 지역 지상 공격=110
Actor/Name/ConfirmationSyncAir,동기화 공중 확인 /// ConfirmationSyncAir=111
Actor/Name/ConfirmationSyncAirAttack,확인 동기화 공중 공격=112
Actor/Name/ConfirmationSyncGround,동기화 지면 확인 /// ConfirmationSyncGround=113
Actor/Name/ConfirmationSyncGroundAttack,확인 동기화 지상 공격=114
Actor/Name/CursorModel,커서 모델 /// Cursor Model=115
Actor/Name/CursorRegion,커서 구역 /// Cursor Region=116
Actor/Name/CursorSplat,커서 평면 /// Cursor Splat=117
Actor/Name/CutsceneCameraModel,컷신 카메라 모델 /// Cutscene Camera Model=118
Actor/Name/CutsceneLightOmniModel,컷신 조명 다중 모델 /// Cutscene Light Omni Model=119
Actor/Name/CutsceneLightSpotModel,컷신 조명 지점 모델 /// Cutscene Light Spot Model=120
Actor/Name/DeadAnimationMacro,죽은 애니메이션 매크로 /// DeadAnimationMacro=121
Actor/Name/DeadAnimationRemoveMacro,죽은 애니메이션 매크로 제거 /// Dead Animation Remove Macro=122
Actor/Name/DestructibleUnitStandard,파괴물 유닛 표준 /// DestructibleUnitStandard=123
Actor/Name/DoodadDeathMacro,장식물 소멸 매크로 /// Doodad Death Macro=124
Actor/Name/DoodadDeathMacroB,장식물 소멸 매크로 /// Doodad Death Macro =125
Actor/Name/EditorCamera,편집기 카메라 /// EditorCamera=126
Actor/Name/EditorHelper,편집기 도우미 /// Editor Helper=127
Actor/Name/EditorSelection,편집기 선택 /// Editor Selection=128
Actor/Name/EditorUnitOverheadText,편집기 유닛 머리 위 텍스트 /// Editor Unit Overhead Text=129
Actor/Name/EventCustom,이벤트 사용자 지정 /// Event Custom=130
Actor/Name/EventFootprint,이벤트 발자국 /// Event Footprint=131
Actor/Name/EventSound,이벤트 소리 /// EventSound=132
Actor/Name/EventSoundFromData,데이터에서 가져온 이벤트 소리 /// Event Sound From Data=133
Actor/Name/EventSpawn,이벤트 생성 /// EventSpawn=134
Actor/Name/EventSplat,이벤트 평면 /// EventSplat=135
Actor/Name/ExplosionAttackDeathImpulse,폭발 공격 소멸 자극 /// Explosion Attack Death Impulse=136
Actor/Name/ExplosionAttackForce,폭발 공격 힘 /// Explosion Attack Force=137
Actor/Name/ExplosiveRangedAttackDeathForce,폭발물 원거리 공격 소멸 힘 /// Explosive Ranged Attack Death Force=138
Actor/Name/ExplosiveRangedAttackDeathImpulse,폭발물 원거리 공격 소멸 자극 /// Explosive Ranged Attack Death Impulse=139
Actor/Name/FlashingSelection,섬광 선택 /// FlashingSelection=140
Actor/Name/FlyerHelperBeam,비행체 지상 위치 표시 광선 /// Flyer Helper Beam=141
Actor/Name/FlyerHelperSplat,비행체 지상 위치 표시 평면 /// Flyer Helper Splat=142
Actor/Name/FlyerLocalSelection,비행체 지역 선택 /// FlyerLocalSelection=143
Actor/Name/FlyerPreSelection,비행체 미리 선택 /// FlyerPreSelection=144
Actor/Name/FlyerShadow,비행체 그림자 /// FlyerShadow=145
Actor/Name/FlyerSyncSelection,비행체 동기화 선택 /// FlyerSyncSelection=146
Actor/Name/FoliageFXDefault,초목 FX 기본 /// Foliage FXDefault=147
Actor/Name/FoliageFXSpawnerDefault,초목 FX 생성기 기본 /// Foliage FXSpawner Default=148
Actor/Name/GenericAttack,일반 공격 /// GenericAttack=149
Actor/Name/GenericAttackBase,일반 공격 기본 /// GenericAttackBase=150
Actor/Name/GenericAttackBeam,일반 공격 광선 /// GenericAttackBeam=151
Actor/Name/GenericAttackDamageModel,일반 공격 피해 모델 /// Generic Attack Damage Model=152
Actor/Name/GenericAttackDamageModelReaction,일반 공격 피해 모델 반응 /// Generic Attack Damage Model Reaction=153
Actor/Name/GenericAttackDamageSite,일반 공격 피해 자리 /// GenericAttackDamageSite=154
Actor/Name/GenericAttackDamageSound,일반 공격 피해 소리 /// Generic Attack Damage Sound=155
Actor/Name/GenericAttackDamageTerrainSquibModel,일반 공격 피해 지형 폭죽 모델 /// Generic Attack Damage Terrain Squib Model=156
Actor/Name/GenericAttackDamageTerrainSquibSound,일반 공격 피해 지형 폭죽 소리 /// Generic Attack Damage Terrain Squib Sound=157
Actor/Name/GenericAttackImpactFallbackSite,일반 공격 충격 대체 자리 /// Generic Attack Impact Fallback Site=158
Actor/Name/GenericAttackImpactModel,일반 공격 충격 모델 /// Generic Attack Impact Model=159
Actor/Name/GenericAttackImpactModelReaction,일반 공격 충격 모델 반응 /// Generic Attack Impact Model Reaction=160
Actor/Name/GenericAttackImpactMonitor,일반 공격 충격 모니터 /// GenericAttackImpactMonitor=161
Actor/Name/GenericAttackImpactPointSite,일반 공격 충격 지점 자리 /// Generic Attack Impact Point Site=162
Actor/Name/GenericAttackImpactSite,일반 공격 충격 자리 /// GenericAttackImpactSite=163
Actor/Name/GenericAttackImpactSiteBase,일반 공격 충격 자리 기본 /// GenericAttackImpactSiteBase=164
Actor/Name/GenericAttackImpactSiteFacer,일반 공격 충격 자리 방향 전환자 /// GenericAttackImpactSiteFacer=165
Actor/Name/GenericAttackImpactSiteHeader,일반 공격 충격 자리 헤더 /// GenericAttackImpactSiteHeader=166
Actor/Name/GenericAttackImpactSitePoint,일반 공격 충격 자리 지점 /// GenericAttackImpactSitePoint=167
Actor/Name/GenericAttackImpactSiteStander,일반 공격 충격 자리 지지대 /// GenericAttackImpactSiteStander=168
Actor/Name/GenericAttackImpactSound,일반 공격 충격 소리 /// Generic Attack Impact Sound=169
Actor/Name/GenericAttackImpactTerrainSquibModel,일반 공격 충격 지형 폭죽 모델 /// Generic Attack Impact Terrain Squib Model=170
Actor/Name/GenericAttackImpactTerrainSquibSound,일반 공격 충격 지형 폭죽 소리 /// Generic Attack Impact Terrain Squib Sound=171
Actor/Name/GenericAttackLaunchFallbackSite,일반 공격 발사 대체 자리 /// GenericAttackLaunchFallbackSite=172
Actor/Name/GenericAttackLaunchModel,일반 공격 발사 모델 /// Generic Attack Launch Model=173
Actor/Name/GenericAttackLaunchSite,일반 공격 발사 자리 /// GenericAttackLaunchSite=174
Actor/Name/GenericAttackLaunchSiteFacer,일반 공격 발사 자리 방향 전환자 /// GenericAttackLaunchSiteFacer=175
Actor/Name/GenericAttackLaunchSound,일반 공격 발사 소리 /// Generic Attack Launch Sound=176
Actor/Name/GenericAttackLaunchTerrainSquibModel,일반 공격 발사 지형 폭죽 모델 /// Generic Attack Launch Terrain Squib Model=177
Actor/Name/GenericAttackLaunchTerrainSquibSound,일반 공격 발사 지형 폭죽 소리 /// Generic Attack Launch Terrain Squib Sound=178
Actor/Name/GenericAttackMissile,일반 공격 미사일 /// GenericAttackMissile=179
Actor/Name/GenericAttackMissileWithDeathAnim,GenericAttackMissileWithDeathAnim=180
Actor/Name/GenericAttackModel,일반 공격 모델 /// GenericAttackModel=181
Actor/Name/GenericAttackNoCreateBase,일반 공격 기지 생성 없음 /// Generic Attack No Create Base=182
Actor/Name/GenericAttackSet,일반 공격 모음 /// GenericAttackSet=183
Actor/Name/GenericAttackSound,일반 공격 소리 /// GenericAttackSound=184
Actor/Name/GenericPhysicsDriver,일반 물리 구동자 /// GenericPhysicsDriver=185
Actor/Name/GenericPhysicsHarness,일반 물리 하네스 /// GenericPhysicsHarness=186
Actor/Name/GenericTentacleMissile,일반 촉수 미사일 /// Generic Tentacle Missile=187
Actor/Name/GenericUnitBase,일반 유닛 기본 /// GenericUnitBase=188
Actor/Name/GenericUnitBaseMorphTransition,일반 유닛 기본 변태 전환 /// GenericUnitBaseMorphTransition=189
Actor/Name/GenericUnitBaseNoAutoSoundLinks,일반 유닛 기본 자동 소리 링크 없음 /// GenericUnitBaseNoAutoSoundLinks=190
Actor/Name/GenericUnitCritter,일반 유닛 중립 동물 /// Generic Unit Critter=191
Actor/Name/GenericUnitEmpty,GenericUnitEmpty=192
Actor/Name/GenericUnitFallback,일반 유닛 대체 자리=193
Actor/Name/GenericUnitMinimal,일반 유닛 최소 /// GenericUnitMinimal=194
Actor/Name/GenericUnitMorph,일반 유닛 변태 /// GenericUnitMorph=195
Actor/Name/GenericUnitSelectable,일반 유닛 선택 가능 /// GenericUnitSelectable=196
Actor/Name/GenericUnitSelectableNoAutoSoundLinks,일반 유닛 선택 가능 자동 소리 링크 없음 /// GenericUnitSelectableNoAutoSoundLinks=197
Actor/Name/GenericUnitSplat,일반 유닛 평면 /// GenericUnitSplat=198
Actor/Name/GenericUnitSplatBase,일반 유닛 평면 기본 /// GenericUnitSplatBase=199
Actor/Name/GenericUnitStandard,일반 유닛 표준 /// GenericUnitStandard=200
Actor/Name/GenericUnitStandardNoAutoSoundLinks,일반 유닛 표준 자동 소리 링크 없음 /// GenericUnitStandardNoAutoSoundLinks=201
Actor/Name/GlobalLoopMacro,전역 반복 매크로 /// GlobalLoopMacro=202
Actor/Name/GlobalLoopMacroMore,전역 반복 매크로 증가 /// Global Loop Macro More=203
Actor/Name/GlobalLoopMacroMoreRemove,전역 반복 매크로 증가 제거 /// Global Loop Macro More Remove=204
Actor/Name/GlobalLoopMacroRemove,전역 반복 매크로 제거 /// Global Loop Macro Remove=205
Actor/Name/GroundLocalFlashingSelection,지상 지역 섬광 선택 /// Ground Local Flashing Selection=206
Actor/Name/GroundLocalSelection,지면 지역 선택 /// GroundLocalSelection=207
Actor/Name/GroundPreSelection,지면 미리 선택 /// GroundPreSelection=208
Actor/Name/GroundShadow,지면 그림자 /// GroundShadow=209
Actor/Name/GroundSyncFlashingSelection,지상 동기화 섬광 선택 /// Ground Sync Flashing Selection=210
Actor/Name/GroundSyncSelection,지면 동기화 선택 /// GroundSyncSelection=211
Actor/Name/GuideRegion,길잡이 구역 /// Guide Region=212
Actor/Name/GuideRegionAdd,길잡이 구역 추가 /// Guide Region Add=213
Actor/Name/GuideRegionArc,길잡이 구역 원호 /// Guide Region Arc=214
Actor/Name/GuideRegionCircle,길잡이 구역 원 /// Guide Region Circle=215
Actor/Name/GuideRegionClosest,길잡이 구역 가장 가까운 /// Guide Region Closest=216
Actor/Name/GuideRegionNormal,길잡이 구역 보통 /// Guide Region Normal=217
Actor/Name/GuideRegionQuadDown,길잡이 구역 쿼드 아래 /// Guide Region Quad Down=218
Actor/Name/GuideRegionQuadDownClosest,길잡이 구역 쿼드 아래 가장 가까운 /// Guide Region Quad Down Closest=219
Actor/Name/GuideRegionQuadDownDetached,길잡이 구역 쿼드 아래 떨어진 /// Guide Region Quad Down Detached=220
Actor/Name/GuideRegionQuadDownScaled,길잡이 구역 쿼드 아래 배율 조정됨 /// Guide Region Quad Down Scaled=221
Actor/Name/GuideRegionQuadDownScaledClosest,길잡이 구역 쿼드 아래 배율 조정됨 가장 가까운 /// Guide Region Quad Down Scaled Closest=222
Actor/Name/GuideRegionQuadPerpendicular,길잡이 구역 쿼드 수직 /// Guide Region Quad Perpendicular=223
Actor/Name/GuideRegionRemove,길잡이 구역 제거 /// Guide Region Remove=224
Actor/Name/GuideRegionScaled,길잡이 구역 배율 조정됨 /// Guide Region Scaled=225
Actor/Name/GuideRegionScaledClosest,길잡이 구역 배율 조정됨 가장 가까운 /// Guide Region Scaled Closest=226
Actor/Name/GuideVisualArc,길잡이 시각 원호 /// Guide Visual Arc=227
Actor/Name/GuideVisualCircle,길잡이 시각 원 /// Guide Visual Circle=228
Actor/Name/GuideVisualQuad,길잡이 시각 쿼드 /// Guide Visual Quad=229
Actor/Name/GuideVisualQuadCenter,길잡이 시각 쿼드 중앙 /// Guide Visual Quad Center=230
Actor/Name/GuideVisualQuadDown,길잡이 시각 쿼드 아래 /// Guide Visual Quad Down=231
Actor/Name/GuideVisualQuadDownClosest,길잡이 시각 쿼드 아래 가장 가까운 /// Guide Visual Quad Down Closest=232
Actor/Name/GuideVisualQuadDownDetached,길잡이 시각 쿼드 아래 떨어진 /// Guide Visual Quad Down Detached=233
Actor/Name/GuideVisualQuadDownScaled,길잡이 시각 쿼드 아래 배율 조정됨 /// Guide Visual Quad Down Scaled=234
Actor/Name/GuideVisualQuadDownScaledClosest,길잡이 시각 쿼드 아래 배율 조정됨 가장 가까운 /// Guide Visual Quad Down Scaled Closest=235
Actor/Name/GuideVisualQuadImpact,길잡이 시각 쿼드 충격 /// Guide Visual Quad Impact=236
Actor/Name/GuideVisualQuadLaunch,길잡이 시각 쿼드 발사 /// Guide Visual Quad Launch=237
Actor/Name/GuideVisualQuadModel,길잡이 시각 쿼드 모델 /// Guide Visual Quad Model=238
Actor/Name/GuideVisualQuadPerpendicular,길잡이 시각 쿼드 수직 /// Guide Visual Quad Perpendicular=239
Actor/Name/GuideVisualQuadSplat,GuideVisualQuadSplat=240
Actor/Name/GuideVisualQuadSplatCenter,GuideVisualQuadSplatCenter=241
Actor/Name/GuideVisualQuadSplatDown,GuideVisualQuadSplatDown=242
Actor/Name/GuideVisualQuadSplatDownClosest,GuideVisualQuadSplatDownClosest=243
Actor/Name/GuideVisualQuadSplatDownDetached,GuideVisualQuadSplatDownDetached=244
Actor/Name/GuideVisualQuadSplatDownScaled,GuideVisualQuadSplatDownScaled=245
Actor/Name/GuideVisualQuadSplatDownScaledClosest,GuideVisualQuadSplatDownScaledClosest=246
Actor/Name/GuideVisualQuadSplatImpact,GuideVisualQuadSplatImpact=247
Actor/Name/GuideVisualQuadSplatLaunch,GuideVisualQuadSplatLaunch=248
Actor/Name/GuideVisualQuadSplatModel,GuideVisualQuadSplatModel=249
Actor/Name/GuideVisualQuadSplatPerpendicular,GuideVisualQuadSplatPerpendicular=250
Actor/Name/HerdSound,무리 소리 /// Herd Sound=251
Actor/Name/Indicator,표시자 /// Indicator=252
Actor/Name/IndicatorBase,표시자 기본 /// IndicatorBase=253
Actor/Name/IndicatorBlack,표시자 검정 /// IndicatorBlack=254
Actor/Name/IndicatorBlue,표시자 파랑 /// IndicatorBlue=255
Actor/Name/IndicatorGreen,표시자 초록 /// IndicatorGreen=256
Actor/Name/IndicatorMissilePhaseChange,표시자 미사일 위상 전환 /// Indicator Missile Phase Change=257
Actor/Name/IndicatorRed,표시자 빨강 /// IndicatorRed=258
Actor/Name/IndicatorSticky,표시자 고정 /// IndicatorSticky=259
Actor/Name/LightOmni,조명 다중 /// Light Omni=260
Actor/Name/LightOmniBlue,조명 다중 파랑 /// Light Omni Blue=261
Actor/Name/LightOmniBlueLarge,조명 다중 파랑 대형 /// Light Omni Blue Large=262
Actor/Name/LightOmniCyan,조명 다중 청록 /// Light Omni Cyan=263
Actor/Name/LightOmniCyanLarge,조명 다중 청록 대형 /// Light Omni Cyan Large=264
Actor/Name/LightOmniGreen,조명 다중 초록 /// Light Omni Green=265
Actor/Name/LightOmniGreenLarge,조명 다중 초록 대형 /// Light Omni Green Large=266
Actor/Name/LightOmniOrange,조명 다중 주황 /// Light Omni Orange=267
Actor/Name/LightOmniOrangeLarge,조명 다중 주황 대형 /// Light Omni Orange Large=268
Actor/Name/LightOmniPurple,조명 다중 자주 /// Light Omni Purple=269
Actor/Name/LightOmniPurpleLarge,조명 다중 자주 대형 /// Light Omni Purple Large=270
Actor/Name/LightOmniRed,조명 다중 빨강 /// Light Omni Red=271
Actor/Name/LightOmniRedLarge,조명 다중 빨강 대형 /// Light Omni Red Large=272
Actor/Name/LightOmniWhite,조명 다중 흰색 /// Light Omni White=273
Actor/Name/LightOmniWhiteLarge,조명 다중 흰색 대형 /// Light Omni White Large=274
Actor/Name/LightOmniYellow,조명 다중 노랑 /// Light Omni Yellow=275
Actor/Name/LightOmniYellowLarge,조명 다중 노랑 대형 /// Light Omni Yellow Large=276
Actor/Name/LightSpot,조명 지점 /// Light Spot=277
Actor/Name/List,목록 /// List=278
Actor/Name/ListTinter,목록 색조넣기 /// ListTinter=279
Actor/Name/LocalFlashingSelection,지역 섬광 선택 /// LocalFlashingSelection=280
Actor/Name/LocalSelection,지역 선택 /// LocalSelection=281
Actor/Name/LookAt,보기 /// Look At=282
Actor/Name/LookAtTarget,대상 보기 /// Look At Target=283
Actor/Name/MapTemplate,지도 템플릿 /// Map Template=284
Actor/Name/MeleeAttackDeathImpulse,섬멸전 공격 소멸 자극=285
Actor/Name/MeleeAttackForce,섬멸전 공격 힘=286
Actor/Name/MeleePhysicRandomizer,섬멸전 물리 무작위생성기=287
Actor/Name/MissileAttackDeathForce,미사일 공격 소멸 힘 /// Missile Attack Death Force=288
Actor/Name/MissileAttackDeathImpulse,미사일 공격 소멸 자극 /// Missile Attack Death Impulse=289
Actor/Name/Model,모델 /// Model=290
Actor/Name/ModelAddition,모델 추가 /// ModelAddition=291
Actor/Name/ModelAdditionHarness,모델 추가 하네스 /// Model Addition Harness=292
Actor/Name/ModelAdditionNoAnims,모델 추가 애니메이션 없음 /// Model Addition No Anims=293
Actor/Name/ModelAdditionStatic,모델 추가 정지 /// ModelAdditionStatic=294
Actor/Name/ModelAnimationStyleContinuous,모델 애니메이션 양식 연속 /// ModelAnimationStyleContinuous=295
Actor/Name/ModelAnimationStyleContinuousUNIT,Model Animation Style Continuous Unit=296
Actor/Name/ModelAnimationStyleOneShot,모델 애니메이션 양식 반복 없음=297
Actor/Name/ModelAnimationStyleOneShotNoOrphan,모델 애니메이션 양식 반복 없음 연결 있음=298
Actor/Name/ModelAnimationStyleOneShotUNIT,Model Animation Style One Shot Unit=299
Actor/Name/ModelConstruction,모델 건설 /// Model Construction=300
Actor/Name/ModelHosted,모델 호스트됨 /// ModelHosted=301
Actor/Name/ModelHostedInheritVisibility,ModelHostedInheritVisibility=302
Actor/Name/ModelNoAnims,ModelNoAnims=303
Actor/Name/ModelOneShot,모델 반복 없음=304
Actor/Name/ModelPlaceholder,모델 자리 표시자 /// ModelPlaceholder=305
Actor/Name/ModelPretarget,모델 사전 대상 /// ModelPretarget=306
Actor/Name/ModelPretargetAir,모델 공중 사전 대상 /// ModelPretargetAir=307
Actor/Name/ModelPretargetGround,모델 지상 사전 대상 /// ModelPretargetGround=308
Actor/Name/ModelRagdoll,모델 물리인형 /// Model Ragdoll=309
Actor/Name/NanniteCreationMacro,나노로봇 생성 매크로 /// Nannite Creation Macro=310
Actor/Name/PathingBlocker,이동 경로 방해물 /// Pathing Blocker=311
Actor/Name/PhysicsImpactHarness,물리 충격 하네스 /// Physics Impact Harness=312
Actor/Name/PhysicsImpactSound,물리 충격 소리 /// Physics Impact Sound=313
Actor/Name/PhysicsWaterBloodSlickHarness,물리 물 피 매끈함 하네스 /// Physics Water Blood Slick Harness=314
Actor/Name/PlaceholderBase,자리 표시자 기본 /// PlaceholderBase=315
Actor/Name/PlaceholderModel,자리 표시자 모델 /// Placeholder Model=316
Actor/Name/PlacementModel,배치 모델 /// Placement Model=317
