AUTHENTICATION_BETA_REGION,베타 /// Beta=0
ActorCheat/ActorInfoDisplayOff,행위자 정보 표시를 끕니다. /// Actor info display off.=68
ActorCheat/ActorInfoDisplayOn,행위자 정보 표시를 켭니다. /// Actor info display on.=69
ActorCheat/ActorInfoDisplayPortraitsOff,초상화 행위자 정보 표시를 끕니다. /// Actor info display for portraits off.=70
ActorCheat/ActorInfoDisplayPortraitsOn,초상화 행위자 정보 표시를 켭니다. /// Actor info display for portraits on.=71
ActorCheat/ActorNameRequired,행위자 이름이 필요합니다. /// Actor name required.=72
ActorCheat/CannotKillScopeFromCheat,치트에서 이 범위를 없앨 수 없습니다. /// Cannot kill this scope from a cheat.=73
ActorCheat/CannotOrphanScopeFromCheat,치트에서 이 범위를 연결 없는 상태로 만들 수 없습니다. /// Cannot orphan this scope from a cheat.=74
ActorCheat/CouldNotCreateActor,행위자를 생성할 수 없습니다. /// Could not create actor.=75
ActorCheat/CouldNotCreateScope,범위를 생성할 수 없습니다. /// Could not create scope.=76
ActorCheat/CouldNotResolveActor,행위자를 분해할 수 없습니다. /// Could not resolve actor.=77
ActorCheat/CouldNotReturnActor,행위자를 반환할 수 없습니다. /// Could not return actor.=78
ActorCheat/CouldNotReturnActorScope,행위자 범위를 반환할 수 없습니다. /// Could not return actor scope.=79
ActorCheat/ExpectedOverlayLock,겹침 잠금을 켜거나 끄려면 0이나 1이 필요합니다. /// Expected 0 or 1 to toggle overlay lock.=80
ActorCheat/ExpectedSendAutoTargeting,자동 대상 지정을 켜거나 끄려면 0이나 1이 필요합니다. /// Expected 0 or 1 to toggle send auto-targeting.=81
ActorCheat/FXAnimator,FX 애니메이터 /// FX Animator=82
ActorCheat/HasNoParameters,매개 변수가 없습니다. /// Has no parameters.=83
ActorCheat/InvalidCatalog,유효하지 않은 카탈로그입니다. /// Invalid catalog.=84
ActorCheat/InvalidKey,유효하지 않은 키입니다. /// Invalid key.=85
ActorCheat/InvalidMessage,유효하지 않은 메시지입니다. /// Invalid message.=86
ActorCheat/InvalidOlderThanAge,유효하지 않은 '초과 기준' 시간입니다. /// Invalid 'older than' age.=87
ActorCheat/ModelWithoutActor,행위자 없는 모델 /// MODEL W/O ACTOR=88
ActorCheat/NoUserActor,::사용자 행위자가 없습니다. /// No ::User actor.=89
ActorCheat/NoUserActorScope,::사용자 행위자 범위가 없습니다. /// No ::User actor scope.=90
ActorCheat/ParametersRequired,매개 변수가 필요합니다. /// Parameters required.=91
ActorCheat/PrimaryNameRequired,주 이름이 필요합니다. /// Primary name required.=92
ActorCheat/RefNameHasNoValidActor,참조 이름[%1]이 유효한 행위자를 반환하지 않았습니다. /// RefName[%1] did not return a valid actor.=93
ActorCheat/RequiresGameScene,이 명령어는 현재 게임 장면 밖에서는 지원하지 않습니다. /// This command is not currently supported outside of the game scene.=94
ActorCheat/ScopeNameRequired,범위 이름이 필요합니다. /// Scope name required.=95
ActorCheat/StandaloneModel,독립 실행형 모델 /// Standalone Model=96
ActorCheat/TargetNameRequired,대상 이름이 필요합니다. /// Target name required.=97
ActorCheat/TracingDisabled,%1에 자취 추적을 사용하지 않습니다. /// Tracing disabled for %1.=98
ActorCheat/TracingEnabled,%1에 자취 추적을 사용합니다. /// Tracing enabled for %1.=99
ActorCheat/UnknownActorClass,알 수 없는 행위자 클래스 [%1]입니다. /// Unknown actor class [%1].=100
ActorCheat/UnknownCommand,알 수 없는 명령입니다. /// Unknown command.=101
ActorCheat/UserActorSetTo,::사용자 행위자가 %1(으)로 설정되었습니다. /// ::User actor set to %1.=102
ActorCheat/UserScopeSetTo,::사용자 범위가 %1(으)로 설정되었습니다. /// ::User scope set to %1.=103
ActorCheat/XYPositionRequired,x, y 위치가 필요합니다. /// x, y position required.=104
ActorDebug/ActionDamageMsgMustBeSentFromEffectMsg,행동 피해 메시지는 그 피해의 대상을 결정할 수 있도록 효과 메시지에 대한 응답으로 전송되어야 합니다. 원인: %1.=105
ActorDebug/ActorNot,%1(이)가 아님=106
ActorDebug/ActorScopeCannotBeKilledByUser,이 행위자 범위는 사용자 코드로 직접 제거할 수 없습니다.=107
ActorDebug/ActorScopeCannotBeOrphanedByUser,이 행위자 범위는 사용자 코드로 직접 연결 없음 상태로 만들 수 없습니다.=108
ActorDebug/ActorTraceActor,행위자 자취 [A]: %1.%2=109
ActorDebug/ActorTraceMsg,행위자 자취 [M]: %1=110
ActorDebug/ActorTraceScope,행위자 자취 [S]: %1=111
ActorDebug/AnimClearAllButNeedsName,애니메이션모두지우기예외를 실행하려면 애니메이션 이름이 필요합니다.=112
ActorDebug/AnimContinueNotForBaselines,기본 애니메이션에는 AnimContinue 메시지를 사용할 수 없습니다.=113
ActorDebug/AnimContinueRequiresPreexistingAnim,AnimContinue는 계속할 애니메이션이 있어야 하기 때문에, 보내졌을 때 재생될, 이름이 일치하는(이 경우에는 %1) 애니메이션이 필요합니다.=114
ActorDebug/AnimContinueRequiresValidAnimName,AnimContinue는 모델에 실행되는 애니메이션과 일치하는 유효한 애니메이션 이름이 필요합니다.=115
ActorDebug/AnimHookClearInvalidName,Cannot find anim hook [%1].=116
ActorDebug/AnimHookClearUnavailable,No anim hooks to clear.=117
ActorDebug/AnimHookNameConflict,Cannot use the name %1 since it is already in use by an anim hook.=118
ActorDebug/AnimHookNone,No anim hooks.=119
ActorDebug/AnimHookRefreshActorConflict,The anim hook [%1] refreshed and acquired an actor that is not a CActorModel or one of its subclasses.  As a result, this anim hook has been cleared.=120
ActorDebug/AnimHookSelfNotAllowed,Cannot hook an animation on the same actor.=121
ActorDebug/AnimHookSetActorConflict,Cannot hook an anim from an actor that is not a CActorModel or one of its subclasses.=122
ActorDebug/AnimHookSetBadActor,The actor referenced by name %1 does not exist.=123
ActorDebug/AnimHookSetEmptyName,Cannot set an anim hook without a hook name.=124
ActorDebug/AnimLoadFailure,모델 %1; 애니메이션 %2(을)를 불러올 수 없습니다.=125
ActorDebug/AnimNameInvalid,%1 message: Cannot find anim name %2.=126
ActorDebug/AnimPlayRequiresName,애니메이션을 재생할 땐 유효한 애니메이션 이름을 지정해야 합니다. 메시지:  %1.=127
ActorDebug/AnimTimeScaleInvalid,%1 message: Cannot find anim time scale labeled %2.=128
ActorDebug/AttachInitFailureOwnerNotModel,소유 행위자가 기본 행위자 모델 %1(이)가 아니어서 초기화에 실패했습니다.=129
ActorDebug/AttachMessageCannotSetSiteOps,메시지가 지정된 자리 연산을 설정할 수 없습니다. 원인: %1.=130
ActorDebug/AttachMessageMustCreateCActorModelOrSubclass,메시지가 기본 행위자 모델 유형이 아닌 기본 행위자를 생성했습니다. 원인: %1.=131
ActorDebug/AttachMessageRequiresMethods,메시지에 부착 방법이 필요합니다. 그래야 지정된 모델 및/또는 행위자 부착 방법을 알 수 있습니다. 원인: %1.=132
ActorDebug/AttachMethodPatternAttachOverflow,부착 방법 패턴; 추적할 부착 지점이 너무 많아 일부를 무시합니다.=133
ActorDebug/AttachMethodProximityAttachOverflow,부착 방법 근접; 정렬할 부착 지점이 너무 많아 일부를 무시합니다.=134
ActorDebug/AttachPropertiesMismatch,모델 링크[%1] 모델 %2; 존재하지 않는 부착 지점 %3의 속성이 감지되었습니다.=135
ActorDebug/AttachQueryFailure,부착 질의가 실패했습니다. 요청자: %1. 질의: %2=136
ActorDebug/BaseModelScaleRequiresScale,배율 상속이 없는 기본 모델 배율 상속은 지원되지 않습니다.=137
ActorDebug/BaselineNoOutroIntroStacking,속성 그룹에 걷기 끝내기와 서기 시작이 동시에 있을 수 없습니다. [%1]=138
ActorDebug/BaselineStandIntroTurnMismatch,속성 그룹에 서기, 시작, 왼쪽 그리고 서기, 시작, 오른쪽 애니메이션의 완전한 모음이 없습니다. [%1]=139
ActorDebug/BaselineStandIntroTurnsMissing,모델이 속성 그룹 [%1]에 걷기, 시작 애니메이션과 서기, 왼쪽 그리고 서기 오른쪽 애니메이션을 지니고 있으면, 그 속성 그룹에 서기, 시작, 왼쪽 그리고 서기, 시작, 오른쪽 애니메이션도 지니고 있어야 합니다. 유닛이 만약 유닛을 따르고 있다면, 서 있는 동안 도는 동작을 할 수 있습니다. 유닛에 가까이 접근하면, 서기 동작을 시작하지만, 따르는 대상을 바라보기 위해서는 도는 동작이 필요합니다.=140
ActorDebug/BaselineStandTurnMismatch,속성 그룹에 서기, 왼쪽 그리고 서기, 오른쪽 애니메이션의 완전한 모음이 없습니다. [%1]=141
ActorDebug/BaselineStartCannotLoop,[%1] 애니메이션을 반복으로 표시할 수 없습니다.=142
ActorDebug/BaselineWalkIntroTurnMismatch,속성 그룹에 걷기, 시작, 왼쪽 그리고 걷기, 시작, 오른쪽 애니메이션의 완전한 모음이 없습니다. [%1]=143
ActorDebug/BaselineWalkIntroTurnsMissing,모델이 속성 그룹 [%1]에 걷기, 시작 애니메이션과 걷기, 왼쪽 그리고 걷기, 오른쪽 애니메이션을 지니고 있으면, 그 속성 그룹에 걷기, 시작, 왼쪽 그리고 걷기, 시작, 오른쪽 애니메이션도 지니고 있어야 합니다. 유닛이 걷기 동작을 시작하는 동안 도는 동작을 할 수 있고 추가적인 왼쪽/오른쪽 걷기 시작 애니메이션을 지니고 있지 않으면 유닛의 걷기 시작 애니메이션이 중단됩니다.=144
ActorDebug/BaselineWalkTurnMismatch,속성 그룹에 걷기, 왼쪽 그리고 걷기, 오른쪽 애니메이션의 완전한 모음이 없습니다. [%1]=145
ActorDebug/BearingsInfiniteLoop,방위를 %1(으)로 %2(을)를 통해 밀어넣을 때 방위 업데이트 주기가 감지되었습니다. 무한 반복을 방지하고자 종료됩니다.=146
ActorDebug/BearingsInfiniteLoopStart,방위를 이 행위자의 생성 또는 하위 생성 시작에 밀어넣을 때 방위 업데이트 주기가 감지되었습니다. 무한 반복을 방지하고자 종료됩니다.=147
ActorDebug/BearingsMsgFailedHardAttach,이 행위자가 다른 해위자에 강제 부착되어 있기 때문에 %1 메시지가 실패했습니다. 강제 부착은 모든 위치 및 회전 변경에 우선합니다.=148
ActorDebug/BearingsMsgFailedSiteOpChain,이 행위자의 자리 연산 사슬의 오류 때문에 %1 메시지가 실패했습니다.=149
ActorDebug/BodySquibModelInvalid,몸통 폭죽 %2의 모델 %1(이)가 유효하지 않습니다.=150
ActorDebug/BodySquibSoundInvalid,몸통 폭죽 %2의 소리 %1(이)가 유효하지 않습니다.=151
ActorDebug/BoundingSphereSizeZero,크기 0 경계 구=152
ActorDebug/CActorForceConfiguredToApplyNoForce,데이터 구성 오류: 이 행위자의 지속 시간이 0이고 힘 규모가 0이어서 세계에 아무 영향을 주지 못합니다.=153
ActorDebug/CActorRefDoesNotExist,기본 행위자 참조[%1]가 존재하지 않습니다.=154
ActorDebug/CModelSetNull,기본 모델[%1] 설정을 시도하려 했을 때 NULL 모델을 가져왔습니다.=155
ActorDebug/CanOnlyHaveOneCActorCreep,살아 있는 기본 행위자 점막을 한 번에 하나만 가질 수 있습니다.=156
ActorDebug/CanOnlyHaveOneCActorScene,장면마다 살아 있는 기본 행위자 장면을 한 번에 하나만 가질 수 있습니다. 시스템 행위자는 데이터에서 생성될 수 없습니다.=157
ActorDebug/CanOnlyHaveOneCActorTerrain,살아 있는 기본 행위자 지형을 한 번에 하나만 가질 수 있습니다.=158
ActorDebug/CanOnlyHaveShieldFullWithNoSiteOpAttachVolume,기본 행위자 자리 연산 부착 볼륨이 관련된 충격 또는 피해 자리 연산에 지정되어 있지 않으면, 기본 행위자 행동은 보호막 깜빡임 유형 "최대" 또는 "없음"만 지원합니다.=159
ActorDebug/CanOnlyHostCActorForceOffCActorModels,지역 힘 끄기 기본 행위자 모델만 호스트할 수 있습니다. 어떤 일이 발생하려면 구동할 모델이 필요하기 때문입니다.=160
ActorDebug/CanOnlyHostCActorImpulseOffCActorModels,기본 행위자 모델에서 지역 자극만을 호스트할 수 있습니다. 자극이 무언가를 하려면 구동할 모델이 필요하기 때문입니다.=161
ActorDebug/CannotAcquireImpactSource,이 행위자의 호스트 충격 소스를 찾을 수 없습니다.=162
ActorDebug/CannotAcquireReceiverCActorModel,물리 행위자가 수신자인 기본 행위자 모델을 찾을 수 없습니다. 물리 행위자는 기본 행위자 모델에 지역 힘 또는 자극을 적용합니다.=163
ActorDebug/CannotAddFileAlias,%2 칸과 파일 경로 %3에 %1 파일 별칭을 추가할 수 없습니다.=164
ActorDebug/CannotAddSiteOps,호스트 %1에 자리 연산을 추가할 수 없습니다.=165
ActorDebug/CannotBeSaveLoadSuppressed,저장 불러오기 억제됨(SaveLoadSuppressed)으로 표시할 수 없습니다.=166
ActorDebug/CannotClearBaseline,기준선을 지울 수 없습니다.=167
ActorDebug/CannotClearClonedProp,복제한 속성 또는 속성 아이템을 지울 수 없습니다. 복제한 속성을 생성한 계층에서 상위의 클라이언트 설정 값을 지우십시오.=168
ActorDebug/CannotClearInternalProp,시스템에서 내부적으로 생성되어 사용되는 속성을 지울 수 없습니다.=169
ActorDebug/CannotClearMissingLabel,레이블 [%1](이)가 있는 속성 또는 속성 아이템을 찾을 수 없습니다.=170
ActorDebug/CannotClearMissingProp,속성 유형 %1(을)를 지울 수 없습니다. 속성이 없습니다.=171
ActorDebug/CannotClearPropGeneric,속성 %1(을)를 지우는 도중 불특정 오류가 발생했습니다.=172
ActorDebug/CannotClearPropMissingExternals,유형 %1에 지울 수 있는 사용자 설정 속성이 없습니다.=173
ActorDebug/CannotCopyActor,행위자를 복사할 수 없습니다. 원인: %1.=174
ActorDebug/CannotCreateActor,요청자가 효과로 생성되지 않으면 요청자를 벗어난 범위에 행위자를 생성할 수 없습니다. 요청자: %1=175
ActorDebug/CannotCreateActorBadLink,행위자 카탈로그 항목이 있는 행위자를 만들 수 없습니다. %1=176
ActorDebug/CannotCreateActorForAttach,부착을 위한 행위자를 생성할 수 없습니다. 원인: %1.=177
ActorDebug/CannotCreateActorSiteOpWithCreateMsg,Cannot directly create a siteOp with the actor Create message, since a siteOp must exist within the context of a siteOp chain.  Culprit: %1.=178
ActorDebug/CannotCreateActorUnitWithoutUnit,밑에 깔린 기본 유닛의 기본 행위자 범위 밖에서는 기본 행위자 유닛을 생성할 수 없습니다. 살아 있는 유닛의 기본 행위자 범위 안에서 행위자를 생성하거나, 기본 행위자 모델을 대신 생성하십시오.=179
ActorDebug/CannotCreateCBeamAsync,기본 비동기 광선 [%1](을)를 생성하지 못했습니다.=180
ActorDebug/CannotCreateFromSystemActor,시스템 행위자 참조에서 생성할 수 없습니다. 요청자: %1=181
ActorDebug/CannotCreateSnapshot,기본 행위자 스냅숏을 생성할 수 없습니다. [%1]=182
ActorDebug/CannotFindCreepHeightClass,현재 행위자 또는 현재 행위자의 부모 행위자에게서 점막 높이 클래스[%1](을)를 찾을 수 없습니다. 암시적 점막 에워싸기 높이 및 오프셋 값을 사용하는 데 높이 클래스가 필요합니다.=183
ActorDebug/CannotFindCreepMaterial,점막 재료를 찾을 수 없습니다! 자산이 없지 않은지 확인해 보십시오.=184
ActorDebug/CannotFindEffect,=185
ActorDebug/CannotFindMatchingTexture,%1 %2; %3 슬롯에 일치하는 텍스처를 %4에서 찾을 수 없습니다.=186
ActorDebug/CannotFindNonzeroShieldRadius,%1에 반경 > 0 보호막을 찾을 수 없습니다. (모델: %2)=187
ActorDebug/CannotFindShieldImpact,포함 범위에서 기본 행위자 보호막 충격 행위자를 찾을 수 없습니다.=188
ActorDebug/CannotFindSlot,%1 슬롯을 찾을 수 없습니다.=189
ActorDebug/CannotFindSlotMapping,%1; 슬롯 %2에 매핑이 없습니다.=190
ActorDebug/CannotFindSourceTexture,%1 %2; %3 슬롯이 있는 출처 텍스처를 찾을 수 없습니다.=191
ActorDebug/CannotFindTextureByFileAlias,%1 %2; 파일 별칭이 %3인 텍스처를 찾을 수 없습니다.=192
ActorDebug/CannotFindTextureById,%1 %2; %3의 ID를 가진 텍스처를 찾을 수 없습니다.=193
ActorDebug/CannotFindTextureBySlot,%1 %2; %3의 슬롯과 %4의 식을 가진 텍스처를 찾을 수 없습니다.=194
ActorDebug/CannotHaveNestedDeathGroups,기본 행위자 유닛[%1]; 죽음 사용자 지정 데이터 그룹 %2(이)가 데이터 그룹 내 구성 요소인 %3(을)를 포함하고 있습니다. 이는 허용되지 않습니다.=195
ActorDebug/CannotHostActor,Actor %1 does not support hosting.=196
ActorDebug/CannotHostAgain,이미 호스트 중인 %1(을)를 호스트 시도했습니다(반드시 직접은 아님).=197
ActorDebug/CannotHostAgainCleared,이미 호스트 중인 %1(을)를 호스트 시도했습니다(반드시 직접은 아님). 호스트가 취소되었습니다.=198
ActorDebug/CannotHostSelf,자신을 호스트할 수 없습니다. %1입니다.=199
ActorDebug/CannotHostSelfSiteOps,자신을 호스트할 수 없습니다. %1이며 %2에 있습니다.=200
ActorDebug/CannotInheritDeath,기본 행위자 유닛[%1]; 가죽음 %2(이)가 죽음 %3의 상속을 받을 수 없습니다. 죽음 목록에서 이전에 성공적으로 초기화된 죽음으로부터만 상속이 가능합니다.=201
ActorDebug/CannotInitializeHost,호스트를 초기화하지 못했습니다.=202
ActorDebug/CannotInitializeHostedAttachDueToQuery,호스트된 부착 %1(을)를 초기화하지 못했습니다. 부착 질의에 부착 지점이 반환되지 않았습니다.=203
ActorDebug/CannotInitializeHostedAttachDueToSiteOps,호스트된 부착 %1(을)를 초기화하지 못했습니다. 자리 연산을 초기화하지 못했습니다.=204
ActorDebug/CannotInitializeHostedAttachDueToUpdateBearings,호스트된 부착 %1(을)를 초기화하지 못했습니다. 방위를 업데이트하지 못했습니다.=205
ActorDebug/CannotMonitorStates,%1개 상태 이상 모니터할 수 없습니다.=206
ActorDebug/CannotOverrideAndInheritDeathSimultaneously,기본 행위자 유닛[%1]; 죽음 %2(와)과 죽음 %3(을)를 동시에 덮어쓸 수 없습니다.=207
ActorDebug/CannotOverrideDeathAndHaveMembers,기본 행위자 유닛[%1]; 죽음 사용자 지정 데이터 그룹 %2(이)가 구성 요소를 지니면서 같은 이름을 가지는 죽음을 덮어쓸 수 없습니다.=208
ActorDebug/CannotParseActorMessage,행위자 메시지를 분석할 수 없습니다. [%1]=209
ActorDebug/CannotParseActorTerm,행위자 조건을 분석할 수 없습니다. [%1]=210
ActorDebug/CannotPopulateValidLinkOnMsgTextureSelectByUpdateLink,CActorMsgTextureSelectByUpdateLink를 링크 [%1](으)로 채울 수 없습니다. 링크가 유효하지 않습니다.=211
ActorDebug/CannotReattachBeam,모델을 %1(으)로 바꾸는 도중 광선을 재부착할 수 없습니다.=212
ActorDebug/CannotRemoveSiteOps,호스트 %1에서 자리 연산을 제거할수 없습니다.=213
ActorDebug/CannotResolveActor,%1 메시지: 참조 이름 %2에서 행위자를 분해할 수 없습니다.=214
ActorDebug/CannotRouteMessage,효과를 생성하지 않아서 내부 메시지를 제대로 보낼 수 없습니다.=215
ActorDebug/CannotSelectTextureBadLink,텍스처 카탈로그 항목 [%1](이)가 있는 텍스처를 선택할 수 없습니다.=216
ActorDebug/CannotSetContinuousPhysics,내장 기능이 없는 기본 모델[%1]에서 계속 작동하도록 물리를 설정하고자 했습니다.=217
ActorDebug/CannotSetSiteOps,호스트 %1에 자리 연산을 설정할 수 없습니다.=218
ActorDebug/CannotSpawnActor,질의 모음 생성. 행위자 %1(을)를 생성할 수 없습니다.=219
ActorDebug/CannotSpawnBeam,%1 범위에 광선을 생성할 수 없습니다.=220
ActorDebug/CannotSpawnFoliageFX,초목 FX를 생성할 수 없습니다. 행위자[%1]=221
ActorDebug/CannotSupersedeSelf,소멸 데이터 그룹 %1(이)가 행위자 입력 %2에서 자신을 대체할 수 없습니다!=222
ActorDebug/CannotUseSourceNarrowing, '생성'이 아닌 내용을 전달하는 메시지에서는 Require, Exclude과 같이 소스를 압축하는 함수를 사용할 수 없습니다. %1=223
ActorDebug/CannotUseSourceNarrowingWithName,특정 소스 이름이 나타나는 메시지에서는 Require, Exclude과 같이 소스를 압축하는 함수를 사용할 수 없습니다. %1=224
ActorDebug/CannotUseSourceNarrowingWithoutUnit,유닛이 아닌 대상이 보내는 메시지에서는 Require, Exclude과 같이 소스를 압축하는 함수를 사용할 수 없습니다. %1=225
ActorDebug/CannotWithdrawActor,효과를 생성하지 않습니다. 내부 메시지 이동에서 행위자를 철수할 수 없습니다.=226
ActorDebug/CreateCannotRegisterTerm,"%1"(은)는 등록할 수 없는 단어입니다.=227
ActorDebug/CreatedWithoutUnit,유닛 없이, 즉 호스트 없이 범위 안에 생성되었습니다. 처치하는 중.=228
ActorDebug/CustomDeathMissingPriority,죽음 우선순위가 없기 때문에, 사용자 지정 죽음 %1(이)가 항목 %2에서 무시되고 있습니다. 이것을 해결하려면 상응하는 '기본 행위자 전역 구성' 행위자에 '사용자 지정 소멸 우선순위' 요소를 추가하십시오.=229
ActorDebug/CustomPortrait,사용자 지정 초상화=230
ActorDebug/CutsceneBadFilter,The %1 message requires a valid filter name.=231
ActorDebug/CutsceneBookmarkDoesNotExist,The bookmark %1 does not exist in cutscene %2.=232
ActorDebug/CutsceneBookmarkNameRequired,The CutsceneGoToBookmark message requires a valid bookmark name.=233
ActorDebug/CutsceneCannotPlay,Cannot play cutscene %1.=234
ActorDebug/CutsceneStepBookmarkNext,Cannot jump forward to next bookmark.=235
ActorDebug/CutsceneStepBookmarkPrev,Cannot jump backward to previous bookmark.=236
ActorDebug/DamagePhysicsArrivedBeforeAction,데이터 구성 오류; %1 개시 전에 '행동 피해 물리' 메시지가 도착했습니다.=237
ActorDebug/DeathGroupContainsInvalidDeath,기본 행위자 유닛[%1]; 죽음 사용자 지정 데이터 그룹 %2(이)가 유효하지 않은 죽음 %3(을)를 참조합니다. 참조 대상이 존재하지 않는 죽음입니다.=238
ActorDebug/EffectLinkRedundant,이 키워드로 효과 링크를 충분히 지정합니다. 목표는 효과 계통도의 범위입니다. 요청자: %1=239
ActorDebug/ErrorCannotInheritScale,배율 정보를 상속할 수 없습니다.=240
ActorDebug/EventMacroRunnableInvalid,The specified CActorEventMacroRunnable[%1] is invalid.=241
ActorDebug/EventWithInvalidMsg,유효하지 않은 메시지 약정이 있는 이벤트가 있습니다. %1=242
ActorDebug/EventWithInvalidSend,유효하지 않은 보내기 필드가 있는 이벤트가 있습니다. %1=243
ActorDebug/EventWithoutTrigger,트리거 발동 메시지 없는 이벤트가 있습니다. %1=244
ActorDebug/GamePortrait,게임 초상화=245
ActorDebug/GlazeFailed,=246
