Button/Hotkey/Taunt,T=0
UI/GameMenuLoad_Hotkey_USD,L=134
UI/GameMenuLoad_Hotkey_USDL,L=135
UI/GameMenuMessageLog_Hotkey,E=136
UI/GameMenuMoreOptions_Hotkey,P=137
UI/GameMenuOptions_Hotkey,O=138
UI/GameMenuOptions_Hotkey_USD,O=139
UI/GameMenuOptions_Hotkey_USDL,O=140
UI/GameMenuPause_Hotkey,P=141
UI/GameMenuPause_Hotkey_USD,P=142
UI/GameMenuPause_Hotkey_USDL,P=143
UI/GameMenuQuitCampaign_Hotkey,B=144
UI/GameMenuQuitCampaign_Hotkey_USD,B=145
UI/GameMenuQuitCampaign_Hotkey_USDL,B=146
UI/GameMenuQuitReplay_Hotkey,R=147
UI/GameMenuQuitReplay_Hotkey_USD,R=148
UI/GameMenuQuitReplay_Hotkey_USDL,R=149
UI/GameMenuQuit_Hotkey,B=150
UI/GameMenuQuit_Hotkey_USD,B=151
UI/GameMenuQuit_Hotkey_USDL,B=152
UI/GameMenuRestart_Hotkey,R=153
UI/GameMenuRestart_Hotkey_USD,R=154
UI/GameMenuRestart_Hotkey_USDL,R=155
UI/GameMenuResume_Hotkey,U=156
UI/GameMenuResume_Hotkey_USD,U=157
UI/GameMenuResume_Hotkey_USDL,U=158
UI/GameMenuReturn_Hotkey,L=159
UI/GameMenuReturn_Hotkey_USD,L=160
UI/GameMenuReturn_Hotkey_USDL,L=161
UI/GameMenuSave_Hotkey,V=162
UI/GameMenuSave_Hotkey_USD,V=163
UI/GameMenuSave_Hotkey_USDL,V=164
UI/GameMenuScoreScreen_Hotkey,S=165
UI/GameMenuScoreScreen_Hotkey_USD,S=166
UI/GameMenuScoreScreen_Hotkey_USDL,S=167
UI/GameMenuSound_Hotkey,S=168
UI/GameMenuSound_Hotkey_USD,S=169
UI/GameMenuSound_Hotkey_USDL,S=170
UI/GameMenuSurrender_Hotkey,R=171
UI/GameMenuSurrender_Hotkey_USD,R=172
UI/GameMenuSurrender_Hotkey_USDL,R=173
UI/GameMenuVideo_Hotkey,R=174
UI/GameMenuVideo_Hotkey_USD,R=175
UI/GameMenuVideo_Hotkey_USDL,R=176
UI/GameMenuVoice_Hotkey,V=177
UI/GameMenuVoice_Hotkey_USD,V=178
UI/GameMenuVoice_Hotkey_USDL,V=179
UI/GameResultDialog/ConvertToReplay_Hotkey,G=180
UI/GameResultDialog/Quit_Hotkey,B=181
UI/GameResultDialog/ReturnToGame_Hotkey,R=182
UI/GameResultDialog/ScoreScreen_Hotkey,S=183
UI/Gameplay_Hotkey,M=184
UI/Gameplay_Hotkey_USD,M=185
UI/Gameplay_Hotkey_USDL,M=186
UI/GlueChat_Hotkey,Enter=187
UI/GlueReply_Hotkey,R=188
UI/GlueSlashCommand_Hotkey,Slash=189
UI/Graph_Hotkey,G=190
UI/Graph_Hotkey_USD,G=191
UI/Graph_Hotkey_USDL,G=192
UI/Graphics_Hotkey,G=193
UI/Graphics_Hotkey_USD,G=194
UI/Graphics_Hotkey_USDL,G=195
UI/Help_Hotkey,H=196
UI/Help_Hotkey_USD,H=197
UI/Help_Hotkey_USDL,H=198
UI/Hotkey/CameraCenter,Control+F=199
UI/Hotkey/CameraCenter_USD,Control+F=200
UI/Hotkey/CameraCenter_USDL,Control+F=201
UI/Hotkey/CameraFollow,Control+Shift+F=202
UI/Hotkey/CameraFollow_USD,Control+Shift+F=203
UI/Hotkey/CameraFollow_USDL,Control+Shift+F=204
UI/Hotkey/CameraLock,C=205
UI/Hotkey/CameraMoveDown,Down=206
UI/Hotkey/CameraMoveDown_USD,Down=207
UI/Hotkey/CameraMoveDown_USDL,Down=208
UI/Hotkey/CameraMoveLeft,Left=209
UI/Hotkey/CameraMoveLeft_USD,Left=210
UI/Hotkey/CameraMoveLeft_USDL,Left=211
UI/Hotkey/CameraMoveRight,Right=212
UI/Hotkey/CameraMoveRight_USD,Right=213
UI/Hotkey/CameraMoveRight_USDL,Right=214
UI/Hotkey/CameraMoveUp,Up=215
UI/Hotkey/CameraMoveUp_USD,Up=216
UI/Hotkey/CameraMoveUp_USDL,Up=217
UI/Hotkey/CameraPush,MiddleMouseButton=218
UI/Hotkey/CameraPush_USD,MiddleMouseButton=219
UI/Hotkey/CameraPush_USDL,MiddleMouseButton=220
UI/Hotkey/CameraSave0,Control+F5=221
UI/Hotkey/CameraSave0_GRS,Control+F8=222
UI/Hotkey/CameraSave0_NRS,Control+F8=223
UI/Hotkey/CameraSave0_USD,Control+F5=224
UI/Hotkey/CameraSave0_USDL,Control+F8=225
UI/Hotkey/CameraSave1,Control+F6=226
UI/Hotkey/CameraSave1_GRS,Control+F9=227
UI/Hotkey/CameraSave1_NRS,Control+F9=228
UI/Hotkey/CameraSave1_USD,Control+F6=229
UI/Hotkey/CameraSave1_USDL,Control+F9=230
UI/Hotkey/CameraSave2,Control+F7=231
UI/Hotkey/CameraSave2_GRS,Control+F10=232
UI/Hotkey/CameraSave2_NRS,Control+F10=233
UI/Hotkey/CameraSave2_USD,Control+F7=234
UI/Hotkey/CameraSave2_USDL,Control+F10=235
UI/Hotkey/CameraSave3,Control+F8=236
UI/Hotkey/CameraSave3_GRS,Control+F11=237
UI/Hotkey/CameraSave3_NRS,Control+F11=238
UI/Hotkey/CameraSave3_USD,Control+F8=239
UI/Hotkey/CameraSave3_USDL,Control+F11=240
UI/Hotkey/CameraSave4,Control+Shift+F5=241
UI/Hotkey/CameraSave4_GRS,Control+Shift+F8=242
UI/Hotkey/CameraSave4_NRS,Control+Shift+F8=243
UI/Hotkey/CameraSave4_USD,Control+Shift+F5=244
UI/Hotkey/CameraSave4_USDL,Control+Shift+F8=245
UI/Hotkey/CameraSave5,Control+Shift+F6=246
UI/Hotkey/CameraSave5_GRS,Control+Shift+F9=247
UI/Hotkey/CameraSave5_NRS,Control+Shift+F9=248
UI/Hotkey/CameraSave5_USD,Control+Shift+F6=249
UI/Hotkey/CameraSave5_USDL,Control+Shift+F9=250
UI/Hotkey/CameraSave6,Control+Shift+F7=251
UI/Hotkey/CameraSave6_GRS,Control+Shift+F10=252
UI/Hotkey/CameraSave6_NRS,Control+Shift+F10=253
UI/Hotkey/CameraSave6_USD,Control+Shift+F7=254
UI/Hotkey/CameraSave6_USDL,Control+Shift+F10=255
UI/Hotkey/CameraSave7,Control+Shift+F8=256
UI/Hotkey/CameraSave7_GRS,Control+Shift+F11=257
UI/Hotkey/CameraSave7_NRS,Control+Shift+F11=258
UI/Hotkey/CameraSave7_USD,Control+Shift+F8=259
UI/Hotkey/CameraSave7_USDL,Control+Shift+F11=260
UI/Hotkey/CameraTurnLeft,Insert=261
UI/Hotkey/CameraTurnLeft_USD,Insert=262
UI/Hotkey/CameraTurnLeft_USDL,Insert=263
UI/Hotkey/CameraTurnRight,Delete=264
UI/Hotkey/CameraTurnRight_USD,Delete=265
UI/Hotkey/CameraTurnRight_USDL,Delete=266
UI/Hotkey/CameraView0,F5=267
UI/Hotkey/CameraView0_GRS,F8=268
UI/Hotkey/CameraView0_NRS,F8=269
UI/Hotkey/CameraView0_USD,F5=270
UI/Hotkey/CameraView0_USDL,F8=271
UI/Hotkey/CameraView1,F6=272
UI/Hotkey/CameraView1_GRS,F9=273
UI/Hotkey/CameraView1_NRS,F9=274
UI/Hotkey/CameraView1_USD,F6=275
UI/Hotkey/CameraView1_USDL,F9=276
UI/Hotkey/CameraView2,F7=277
UI/Hotkey/CameraView2_GRS,F10=278
UI/Hotkey/CameraView2_NRS,F10=279
UI/Hotkey/CameraView2_USD,F7=280
UI/Hotkey/CameraView2_USDL,F10=281
UI/Hotkey/CameraView3,F8=282
UI/Hotkey/CameraView3_GRS,F11=283
UI/Hotkey/CameraView3_NRS,F11=284
UI/Hotkey/CameraView3_USD,F8=285
UI/Hotkey/CameraView3_USDL,F11=286
UI/Hotkey/CameraView4,Shift+F5=287
UI/Hotkey/CameraView4_GRS,Shift+F8=288
UI/Hotkey/CameraView4_NRS,Shift+F8=289
UI/Hotkey/CameraView4_USD,Shift+F5=290
UI/Hotkey/CameraView4_USDL,Shift+F8=291
UI/Hotkey/CameraView5,Shift+F6=292
UI/Hotkey/CameraView5_GRS,Shift+F9=293
UI/Hotkey/CameraView5_NRS,Shift+F9=294
UI/Hotkey/CameraView5_USD,Shift+F6=295
UI/Hotkey/CameraView5_USDL,Shift+F9=296
UI/Hotkey/CameraView6,Shift+F7=297
UI/Hotkey/CameraView6_GRS,Shift+F10=298
UI/Hotkey/CameraView6_NRS,Shift+F10=299
UI/Hotkey/CameraView6_USD,Shift+F7=300
UI/Hotkey/CameraView6_USDL,Shift+F10=301
UI/Hotkey/CameraView7,Shift+F8=302
UI/Hotkey/CameraView7_GRS,Shift+F11=303
UI/Hotkey/CameraView7_NRS,Shift+F11=304
UI/Hotkey/CameraView7_USD,Shift+F8=305
UI/Hotkey/CameraView7_USDL,Shift+F11=306
UI/Hotkey/CameraZoomFirst,Home=307
UI/Hotkey/CameraZoomFirst_USD,Home=308
UI/Hotkey/CameraZoomFirst_USDL,Home=309
UI/Hotkey/CameraZoomLast,End=310
UI/Hotkey/CameraZoomLast_USD,End=311
UI/Hotkey/CameraZoomLast_USDL,End=312
UI/Hotkey/CameraZoomNext,PageDown=313
UI/Hotkey/CameraZoomNext_USD,PageDown=314
UI/Hotkey/CameraZoomNext_USDL,PageDown=315
UI/Hotkey/CameraZoomPrev,PageUp=316
UI/Hotkey/CameraZoomPrev_USD,PageUp=317
UI/Hotkey/CameraZoomPrev_USDL,PageUp=318
UI/Hotkey/ChatAll,Shift+Enter=319
UI/Hotkey/ChatAll_GRS,Shift+Tab=320
UI/Hotkey/ChatAll_NRS,Shift+Tab=321
UI/Hotkey/ChatAll_USD,Shift+Enter=322
UI/Hotkey/ChatAll_USDL,Shift+Tab=323
UI/Hotkey/ChatAllies,Control+Enter=324
UI/Hotkey/ChatAllies_GRS,Control+Tab=325
UI/Hotkey/ChatAllies_NRS,Control+Tab=326
UI/Hotkey/ChatAllies_USD,Control+Enter=327
UI/Hotkey/ChatAllies_USDL,Control+Tab=328
UI/Hotkey/ChatCancel,Escape=329
UI/Hotkey/ChatCancel_GRS,Escape,F12=330
UI/Hotkey/ChatCancel_NRS,Escape,F12=331
UI/Hotkey/ChatCancel_USD,Escape=332
UI/Hotkey/ChatCancel_USDL,Escape,F12=333
UI/Hotkey/ChatDefault,Enter,Slash=334
UI/Hotkey/ChatDefault_GRS,Tab=335
UI/Hotkey/ChatDefault_NRS,Tab,Slash=336
UI/Hotkey/ChatDefault_USD,Enter,Slash=337
UI/Hotkey/ChatDefault_USDL,Tab,Slash=338
UI/Hotkey/ChatIndividual,Control+Alt+Enter=339
UI/Hotkey/ChatIndividual_NRS,Control+Alt+Enter=340
UI/Hotkey/ChatIndividual_USD,Control+Alt+Enter=341
UI/Hotkey/ChatIndividual_USDL,Alt+Slash=342
UI/Hotkey/ChatRecipient,Tab=343
UI/Hotkey/ChatRecipient_USD,Tab=344
UI/Hotkey/ChatRecipient_USDL,Tab=345
UI/Hotkey/ChatSend,Enter=346
UI/Hotkey/ChatSend_USD,Enter=347
UI/Hotkey/ChatSend_USDL,Enter=348
UI/Hotkey/CinematicSkip,Escape=349
UI/Hotkey/CinematicSkip_GRS,F12,Escape=350
UI/Hotkey/CinematicSkip_NRS,F12,Escape=351
UI/Hotkey/CinematicSkip_USD,Escape=352
UI/Hotkey/CinematicSkip_USDL,F12,Escape=353
UI/Hotkey/CommandButton00_GLS,Q=354
UI/Hotkey/CommandButton00_GRS,U=355
UI/Hotkey/CommandButton01_GLS,W=356
UI/Hotkey/CommandButton01_GRS,I=357
UI/Hotkey/CommandButton02_GLS,E=358
UI/Hotkey/CommandButton02_GRS,O=359
UI/Hotkey/CommandButton03_GLS,R=360
UI/Hotkey/CommandButton03_GRS,P=361
UI/Hotkey/CommandButton04_GLS,T=362
UI/Hotkey/CommandButton04_GRS,BracketOpen=363
UI/Hotkey/CommandButton05_GLS,A=364
UI/Hotkey/CommandButton05_GRS,J=365
UI/Hotkey/CommandButton06_GLS,S=366
UI/Hotkey/CommandButton06_GRS,K=367
UI/Hotkey/CommandButton07_GLS,D=368
UI/Hotkey/CommandButton07_GRS,L=369
UI/Hotkey/CommandButton08_GLS,F=370
UI/Hotkey/CommandButton08_GRS,SemiColon=371
UI/Hotkey/CommandButton09_GLS,G=372
UI/Hotkey/CommandButton09_GRS,Apostrophe=373
UI/Hotkey/CommandButton10_GLS,Z=374
UI/Hotkey/CommandButton10_GRS,N=375
UI/Hotkey/CommandButton11_GLS,X=376
UI/Hotkey/CommandButton11_GRS,M=377
UI/Hotkey/CommandButton12_GLS,C=378
UI/Hotkey/CommandButton12_GRS,Comma=379
UI/Hotkey/CommandButton13_GLS,V=380
UI/Hotkey/CommandButton13_GRS,Period=381
UI/Hotkey/CommandButton14_GLS,B=382
UI/Hotkey/CommandButton14_GRS,Slash=383
UI/Hotkey/CommandButtonAlt00_GLS,Alt+Q=384
UI/Hotkey/CommandButtonAlt00_GRS,Alt+U=385
UI/Hotkey/CommandButtonAlt01_GLS,Alt+W=386
UI/Hotkey/CommandButtonAlt01_GRS,Alt+I=387
UI/Hotkey/CommandButtonAlt02_GLS,Alt+E=388
UI/Hotkey/CommandButtonAlt02_GRS,Alt+O=389
UI/Hotkey/CommandButtonAlt03_GLS,Alt+R=390
UI/Hotkey/CommandButtonAlt03_GRS,Alt+P=391
UI/Hotkey/CommandButtonAlt04_GLS,Alt+T=392
UI/Hotkey/CommandButtonAlt04_GRS,Alt+BracketOpen=393
UI/Hotkey/CommandButtonAlt05_GLS,Alt+A=394
UI/Hotkey/CommandButtonAlt05_GRS,Alt+J=395
UI/Hotkey/CommandButtonAlt06_GLS,Alt+S=396
UI/Hotkey/CommandButtonAlt06_GRS,Alt+K=397
UI/Hotkey/CommandButtonAlt07_GLS,Alt+D=398
UI/Hotkey/CommandButtonAlt07_GRS,Alt+L=399
UI/Hotkey/CommandButtonAlt08_GLS,Alt+C=400
UI/Hotkey/CommandButtonAlt08_GRS,Alt+SemiColon=401
UI/Hotkey/CommandButtonAlt09_GLS,Alt+G=402
UI/Hotkey/CommandButtonAlt09_GRS,Alt+Apostrophe=403
UI/Hotkey/CommandButtonAlt10_GLS,Alt+Z=404
UI/Hotkey/CommandButtonAlt10_GRS,Alt+N=405
UI/Hotkey/CommandButtonAlt11_GLS,Alt+X=406
UI/Hotkey/CommandButtonAlt11_GRS,Alt+M=407
UI/Hotkey/CommandButtonAlt12_GLS,Alt+C=408
UI/Hotkey/CommandButtonAlt12_GRS,Alt+Comma=409
UI/Hotkey/CommandButtonAlt13_GLS,Alt+V=410
UI/Hotkey/CommandButtonAlt13_GRS,Alt+Period=411
UI/Hotkey/CommandButtonAlt14_GLS,Alt+B=412
UI/Hotkey/CommandButtonAlt14_GRS,Alt+Slash=413
UI/Hotkey/CommanderAbility0,Ctrl+Z=414
UI/Hotkey/CommanderAbility1,Ctrl+X=415
UI/Hotkey/CommanderAbility2,Ctrl+C=416
UI/Hotkey/CommanderAbility3,Ctrl+V=417
UI/Hotkey/DialogDismiss,Escape=418
UI/Hotkey/DialogDismiss_GRS,F12,Escape=419
UI/Hotkey/DialogDismiss_NRS,F12,Escape=420
UI/Hotkey/DialogDismiss_USD,Escape=421
UI/Hotkey/DialogDismiss_USDL,F12,Escape=422
UI/Hotkey/DisplayMode,Alt+Enter=423
UI/Hotkey/FPS,Control+Alt+F=424
UI/Hotkey/InventoryButtonAlt0,Alt+NumPad1=425
UI/Hotkey/InventoryButtonAlt0_USD,Alt+NumPad1=426
UI/Hotkey/InventoryButtonAlt0_USDL,Alt+NumPad1=427
UI/Hotkey/InventoryButtonAlt1,Alt+NumPad2=428
UI/Hotkey/InventoryButtonAlt1_USD,Alt+NumPad2=429
UI/Hotkey/InventoryButtonAlt1_USDL,Alt+NumPad2=430
UI/Hotkey/InventoryButtonAlt2,Alt+NumPad3=431
UI/Hotkey/InventoryButtonAlt2_USD,Alt+NumPad3=432
UI/Hotkey/InventoryButtonAlt2_USDL,Alt+NumPad3=433
UI/Hotkey/InventoryButtonAlt3,Alt+NumPad4=434
UI/Hotkey/InventoryButtonAlt3_USD,Alt+NumPad4=435
UI/Hotkey/InventoryButtonAlt3_USDL,Alt+NumPad4=436
UI/Hotkey/InventoryButtonAlt4,Alt+NumPad5=437
UI/Hotkey/InventoryButtonAlt4_USD,Alt+NumPad5=438
UI/Hotkey/InventoryButtonAlt4_USDL,Alt+NumPad5=439
UI/Hotkey/InventoryButtonAlt5,Alt+NumPad6=440
UI/Hotkey/InventoryButtonAlt5_USD,Alt+NumPad6=441
UI/Hotkey/InventoryButtonAlt5_USDL,Alt+NumPad6=442
UI/Hotkey/InventoryButtonAlt6,Alt+NumPad7=443
UI/Hotkey/InventoryButtonAlt6_USD,Alt+NumPad7=444
UI/Hotkey/InventoryButtonAlt6_USDL,Alt+NumPad7=445
UI/Hotkey/InventoryButtonAlt7,Alt+NumPad8=446
UI/Hotkey/InventoryButtonAlt7_USD,Alt+NumPad8=447
UI/Hotkey/InventoryButtonAlt7_USDL,Alt+NumPad8=448
UI/Hotkey/InventoryButtonClickMove,RightMouseButton=449
UI/Hotkey/InventoryButtonClickPawn,Control+RightMouseButton=450
UI/Hotkey/InventoryButtonClickUse,LeftMouseButton=451
UI/Hotkey/InventoryButtonUse0,NumPad1=452
UI/Hotkey/InventoryButtonUse0_USD,NumPad1=453
UI/Hotkey/InventoryButtonUse0_USDL,NumPad1=454
UI/Hotkey/InventoryButtonUse1,NumPad2=455
UI/Hotkey/InventoryButtonUse1_USD,NumPad2=456
UI/Hotkey/InventoryButtonUse1_USDL,NumPad2=457
UI/Hotkey/InventoryButtonUse2,NumPad3=458
UI/Hotkey/InventoryButtonUse2_USD,NumPad3=459
UI/Hotkey/InventoryButtonUse2_USDL,NumPad3=460
UI/Hotkey/InventoryButtonUse3,NumPad4=461
UI/Hotkey/InventoryButtonUse3_USD,NumPad4=462
UI/Hotkey/InventoryButtonUse3_USDL,NumPad4=463
UI/Hotkey/InventoryButtonUse4,NumPad5=464
UI/Hotkey/InventoryButtonUse4_USD,NumPad5=465
UI/Hotkey/InventoryButtonUse4_USDL,NumPad5=466
UI/Hotkey/InventoryButtonUse5,NumPad6=467
UI/Hotkey/InventoryButtonUse5_USD,NumPad6=468
UI/Hotkey/InventoryButtonUse5_USDL,NumPad6=469
UI/Hotkey/InventoryButtonUse6,NumPad7=470
UI/Hotkey/InventoryButtonUse6_USD,NumPad7=471
UI/Hotkey/InventoryButtonUse6_USDL,NumPad7=472
UI/Hotkey/InventoryButtonUse7,NumPad8=473
UI/Hotkey/InventoryButtonUse7_USD,NumPad8=474
UI/Hotkey/InventoryButtonUse7_USDL,NumPad8=475
UI/Hotkey/LeaderAPM,M=476
UI/Hotkey/LeaderArmy_USD,A=477
UI/Hotkey/LeaderArmy_USDL,A=478
UI/Hotkey/LeaderCPM,Shift+C=479
UI/Hotkey/LeaderCPM_USD,Shift+C=480
UI/Hotkey/LeaderCPM_USDL,Shift+C=481
UI/Hotkey/LeaderIncome_USD,I=482
UI/Hotkey/LeaderIncome_USDL,I=483
UI/Hotkey/LeaderNone,N=484
UI/Hotkey/LeaderNone_USD,N=485
UI/Hotkey/LeaderNone_USDL,N=486
UI/Hotkey/LeaderProduction_USD,D=487
UI/Hotkey/LeaderProduction_USDL,D=488
UI/Hotkey/LeaderResources_USD,R=489
UI/Hotkey/LeaderResources_USDL,R=490
UI/Hotkey/LeaderSpending_USD,S=491
UI/Hotkey/LeaderSpending_USDL,S=492
UI/Hotkey/LeaderStructures_USD,T=493
UI/Hotkey/LeaderUnitsLost_USD,L=494
UI/Hotkey/LeaderUnitsLost_USDL,L=495
UI/Hotkey/LeaderUnits_USD,U=496
UI/Hotkey/LeaderUnits_USDL,U=497
UI/Hotkey/LeaderUpgrades_USD,G=498
UI/Hotkey/MenuAchievements_USD,F9=499
UI/Hotkey/MenuAchievements_USDL,F1=500
UI/Hotkey/MenuGame,F10=501
UI/Hotkey/MenuGame_GRS,F2=502
UI/Hotkey/MenuGame_NRS,F2=503
UI/Hotkey/MenuGame_USD,F10=504
UI/Hotkey/MenuGame_USDL,F2=505
UI/Hotkey/MenuHelp_USD,F12=506
UI/Hotkey/MenuHelp_USDL,F4=507
UI/Hotkey/MenuMessages_USD,F11=508
UI/Hotkey/MenuMessages_USDL,F3=509
UI/Hotkey/MenuSocial,Alt+F11=510
UI/Hotkey/MinimapColors,Alt+C=511
UI/Hotkey/MinimapColors_USD,Alt+C=512
UI/Hotkey/MinimapColors_USDL,Alt+C=513
UI/Hotkey/MinimapNormalView,LeftMouseButton,MiddleMouseButton=514
UI/Hotkey/MinimapPing,Alt+G=515
UI/Hotkey/MinimapPing_NRS,Alt+P=516
UI/Hotkey/MinimapPing_USD,Alt+G=517
UI/Hotkey/MinimapPing_USDL,Alt+P=518
UI/Hotkey/MinimapTargetingView,RightMouseButton,MiddleMouseButton=519
UI/Hotkey/MinimapTerrain,Alt+T=520
UI/Hotkey/MinimapTerrain_USD,Alt+T=521
UI/Hotkey/MinimapTerrain_USDL,Alt+T=522
UI/Hotkey/Music,Control+M=523
UI/Hotkey/Music_USD,Control+M=524
UI/Hotkey/Music_USDL,Control+M=525
UI/Hotkey/NamePanel,Control+N=526
UI/Hotkey/NamePanel_GRS,Control+N=527
UI/Hotkey/NamePanel_NRS,Control+N=528
UI/Hotkey/NamePanel_USDL,Control+N=529
